Rank,Number of Victims Killed in Terrorist/ Extremists Operations,Number of Victims Killed in Dacoity Operations or Other Raids,Number of Victims Killed by Riotous Mobs,Number of Victims Killed by Other Criminals,Number of Victims Killed on Border Duties,Number of Victims Killed in Accidents,Number of Victims Killed - Total,Number of Victims Injured in Terrorist/ Extremists Operations,Number of Victims Injured in Dacoity Operation or Other Raids,Number of Victims Injured by Riotous Mobs,Number of Victims Injured by Other Criminals,Number of Victims Injured on Border Duties,Number of Victims Injured in Accidents,Number of Victims Injured - Total
Constables,175,28,3,55,0,276,537,357,112,1161,399,6,507,2542
Head Constables,30,3,1,12,0,113,159,65,33,270,84,1,132,585
Assistant Sub-Inspectors,17,1,1,3,0,35,57,20,16,102,28,0,42,208
Sub-Inspectors,11,3,2,5,0,29,50,26,29,206,55,0,87,403
Inspectors,9,0,0,3,0,6,18,8,7,93,11,0,12,131
Other Gazetted Officers,3,0,0,1,0,3,7,9,0,43,10,0,5,67
Total,245,35,7,79,0,462,828,485,197,1875,587,7,785,3936
