Category,States/UTs,Arrested & Sent to Courts,Sent to Home After Advice or Admonition,Released on Probation and Placed under Care of - Parents Guardians,Released on Probation and Placed under Care of - Fit Instt.,Sent to Special Homes,Dealt with Fine,Acquitted or Otherwise Disposed of,Pending Disposal
State,Andhra Pradesh,1565,83,333,36,157,130,199,627
State,Arunachal Pradesh,137,0,38,0,0,0,0,99
State,Assam,253,0,83,8,51,0,15,96
State,Bihar,586,241,10,5,214,11,21,84
State,Chhattisgarh,1362,36,117,87,151,26,184,761
State,Goa,93,10,4,0,28,10,2,39
State,Gujarat,4370,628,378,95,252,92,147,2778
State,Haryana,2015,9,35,93,9,27,170,1672
State,Himachal Pradesh,142,0,0,0,0,2,11,129
State,Jammu & Kashmir,2,0,0,0,0,0,0,2
State,Jharkhand,298,20,25,49,52,17,27,108
State,Karnataka,843,172,20,0,7,1,495,148
State,Kerala,132,0,2,0,27,2,5,96
State,Madhya Pradesh,7328,1917,1425,181,1361,322,180,1942
State,Maharashtra,4990,328,679,273,599,93,182,2836
State,Manipur,0,0,0,0,0,0,0,0
State,Meghalaya,66,22,13,0,0,0,6,25
State,Mizoram,49,0,3,5,23,11,5,2
State,Nagaland,26,3,3,2,1,7,5,5
State,Orissa,212,42,33,6,49,0,2,80
State,Punjab,29,0,0,0,0,0,0,29
State,Rajasthan,3245,286,497,64,202,59,368,1769
State,Sikkim,17,2,0,4,5,0,0,6
State,Tamil Nadu,4555,243,1072,58,578,29,2259,316
State,Tripura,20,0,5,0,0,0,15,0
State,Uttar Pradesh,256,0,11,0,71,24,31,119
State,Uttaranchal,57,52,0,0,5,0,0,0
State,West Bengal,27,0,0,8,9,6,2,2
State,Total (States),32675,4094,4786,974,3851,869,4331,13770
Union Territory,A & N Islands,16,0,0,0,0,0,2,14
Union Territory,Chandigarh,71,6,17,0,5,0,4,39
Union Territory,D & N Haveli,2,0,1,0,0,0,0,1
Union Territory,Daman & Diu,2,0,0,0,1,0,0,1
Union Territory,Delhi,858,26,29,29,179,28,98,469
Union Territory,Lakshadweep,1,0,0,0,0,0,0,1
Union Territory,Pondicherry,3,1,0,0,1,0,0,1
Union Territory,Total (UTs),953,33,47,29,186,28,104,526
Total (All-India),Total (All-India),33628,4127,4833,1003,4037,897,4435,14296
