Category,States/UTs,Population (in Lakhs),Murder - Incidence,Murder - Rate,Murder - Percentage Contribution,Rape - Incidence,Rape - Rate,Rape - Percentage Contribution,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Contribution,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Contribution,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Contribution,Arson - Incidence,Arson - Rate,Arson - Percentage Contribution,Hurt - Incidence,Hurt - Rate,Hurt - Percentage Contribution,Prot. of Civil Rights Act - Incidence,Prot. of Civil Rights Act - Rate,Prot. of Civil Rights Act - Percentage Contribution,SC/ST Prev. of Atrocities Act - Incidence,SC/ST Prev. of Atrocities Act - Rate,SC/ST Prev. of Atrocities Act - Percentage Contribution,Other Offences - Incidence,Other Offences - Rate,Other Offences - Percentage Contribution,Total - Incidence,Total - Rate,Total - Percentage Contribution,Prot. of Civil Rights Act - Incidence,Prot. of Civil Rights Act - Rate,Prot. of Civil Rights Act - Percentage Contribution,Prev. of Atrocities Act for SCs - Incidence,Prev. of Atrocities Act for SCs - Rate,Prev. of Atrocities Act for SCs - Percentage Contribution,Other Offences - Incidence,Other Offences - Rate,Other Offences - Percentage Contribution,Total - Incidence,Total - Rate,Total - Percentage Contribution
State,Andhra Pradesh,757.3,45,0.1,5.9,69,0.1,5.2,22,0,5.5,3,0,7.3,2,0,1.5,6,0,1.7,518,0.7,11.4,312,0.4,49.3,950,1.3,7.2,1006,1.3,8.2,2933,3.9,8.8,312,0.4,49.3,950,1.3,7.2,1006,1.3,8.2,2933,3.9,0
State,Arunachal Pradesh,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,266.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,1,0,0.3,4,0,0.1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0
State,Bihar,828.8,28,0,3.7,35,0,2.7,8,0,2,2,0,4.9,1,0,0.8,17,0,4.8,378,0.5,8.3,81,0.1,12.8,513,0.6,3.9,240,0.3,2,1303,1.6,3.9,81,0.1,12.8,513,0.6,3.9,240,0.3,2,1303,1.6,0
State,Chhattisgarh,208,8,0,1,52,0.3,4,8,0,2,0,0,0,1,0,0.8,0,0,0,101,0.5,2.2,1,0,0.2,164,0.8,1.3,166,0.8,1.4,501,2.4,1.5,1,0,0.2,164,0.8,1.3,166,0.8,1.4,501,2.4,0
State,Goa,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,1,0.1,0,0,0,0,1,0.1,0,0,0,0,1,0.1,0
State,Gujarat,506,17,0,2.2,15,0,1.1,20,0,5,8,0,19.5,17,0,12.8,9,0,2.5,284,0.6,6.2,16,0,2.5,356,0.7,2.7,500,1,4.1,1242,2.5,3.7,16,0,2.5,356,0.7,2.7,500,1,4.1,1242,2.5,0
State,Haryana,210.8,7,0,0.9,25,0.1,1.9,15,0.1,3.8,0,0,0,0,0,0,5,0,1.4,76,0.4,1.7,1,0,0.2,33,0.2,0.3,67,0.3,0.5,229,1.1,0.7,1,0,0.2,33,0.2,0.3,67,0.3,0.5,229,1.1,0
State,Himachal Pradesh,60.8,1,0,0.1,7,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0.1,0.6,41,0.7,0.3,56,0.9,0.5,110,1.8,0.3,4,0.1,0.6,41,0.7,0.3,56,0.9,0.5,110,1.8,0
State,Jammu & Kashmir,100.7,1,0,0.1,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.1,0,0,0,0,0,0,3,0,0,10,0.1,0,0,0,0,0,0,0,3,0,0,10,0.1,0
