Category (Col.1),States/UTs (Col.2),Category of Complaints Received - Oral (Col.3),Category of Complaints Received - Written (Col.4),Category of Complaints Received - Distress Call over Phone 100 (Col.5),Category of Complaints Received - Complaints Initiated Sue-Moto by Police (Col.6),Category of Complaints Received - Total Complaints (Col.3 to Col.6) = (Col.7),No. of Cases Registered under IPC (Col.8),No. of Cases Registered under SLL (Col.9),Total (Col.8 + Col.9) = (Col.10)
State,Andhra Pradesh,136948,240291,11063,18834,407136,130089,525527,655616
State,Arunachal Pradesh,2,2323,0,73,2398,2342,56,2398
State,Assam,0,38024,17,1196,39237,36877,2360,39237
State,Bihar,8221,84211,5,4073,96510,88432,8078,96510
State,Chhattisgarh,108503,43242,2910,12198,166853,38460,127812,166272
State,Goa,968,832,2,539,2341,2341,1951,4292
State,Gujarat,116789,66616,1672,48067,233144,103419,161063,264482
State,Haryana,314,67133,1037,6952,75436,38759,25027,63786
State,Himachal Pradesh,2355,11928,0,1232,15515,11499,4016,15515
State,Jammu & Kashmir,2611,13375,598,5918,22502,19505,2997,22502
State,Jharkhand,5185,20748,276,828,27037,25447,1742,27189
State,Karnataka,25763,96153,711,14525,137152,109098,19319,128417
State,Kerala,59720,100237,7413,27503,194873,103847,31598,135445
State,Madhya Pradesh,124682,82256,62,80668,287668,181741,151386,333127
State,Maharashtra,188753,377917,5245,203216,775131,171233,202160,373393
State,Manipur,19,2781,42,826,3668,2489,1179,3668
State,Meghalaya,120,1803,43,164,2130,1687,149,1836
State,Mizoram,0,2926,0,545,3471,2246,1133,3379
State,Nagaland,10,1544,0,178,1732,1234,499,1733
State,Orissa,2030,51734,0,4088,57852,46661,11191,57852
State,Punjab,2876,141941,448,1504,146769,27774,22883,50657
State,Rajasthan,18714,144011,6,24365,187096,155185,31911,187096
State,Sikkim,22,654,104,23,803,444,51,495
State,Tamil Nadu,63976,178971,13491,419148,675586,154801,510950,665751
State,Tripura,615,2146,0,110,2871,2801,69,2870
State,Uttar Pradesh,7332,217935,211,430888,656366,178129,478237,656366
State,Uttaranchal,131,14111,758,32621,47621,8073,39548,47621
State,West Bengal,17915,100891,7868,897836,1024510,61563,1193034,1254597
State,Total (States),894574,2106734,53982,2238118,5293408,1706176,3555926,5262102
Union Territory,A & N Islands,1558,958,0,3,2519,658,3578,4236
Union Territory,Chandigarh,0,10484,15181,7,25672,3397,778,4175
Union Territory,D & N Haveli,0,350,0,0,350,350,42,392
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,239,14,253
Union Territory,Delhi,15291,94935,213940,6316,330482,54384,13749,68133
Union Territory,Lakshadweep,0,35,0,11,46,36,10,46
Union Territory,Pondicherry,2761,1317,0,1123,5201,4068,1133,5201
Union Territory,Total (UTs),19610,108079,229121,7460,364270,63132,19304,82436
Total (All-India),Total (All-India),914184,2214813,283103,2245578,5657678,1769308,3575230,5344538
