Crime Head,Total No. Persons under Arrest including those from Previous Year,Persons Released before Trial - No.,Persons Released before Trial - Percentage to Total,Persons Chargesheeted - No.,Persons Chargesheeted - Percentage to Total,Persons under Investigation at the end of the Year - No.,Persons under Investigation at the end of the Year - Percentage to Total
Murder,2634,70,2.7,2149,81.6,415,15.8
Rape,2060,115,5.6,1583,76.8,362,17.6
Kidnapping,870,104,12,645,74.1,121,13.9
Dacoity,354,30,8.5,261,73.7,63,17.8
Robbery,282,35,12.4,220,78,27,9.6
Arson,994,108,10.9,757,76.2,129,13
Hurt,11070,513,4.6,9247,83.5,1310,11.8
PCR Act,1329,82,6.2,1087,81.8,160,12
SC/ST Prev. of Atrocities Act,29756,1287,4.3,24554,82.5,3915,13.2
Other Crime against SC,27608,1631,5.9,22485,81.4,3492,12.6
Total,76957,3975,5.2,62988,81.8,9994,13
