Category,States/UTs,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Trains - Number,Railways - Running Trains - Value,Railways - Other Railways - Number,Railways - Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,100,44.5,57,53.4,2,1.5,8,17.5,5,0.8,3,16.8,0,0,10,113,37,61.4,214,291.3
State,Arunachal Pradesh,9,50.1,0,0,0,0,0,0,0,0,0,0,0,0,5,1.7,8,7.8,22,59.7
State,Assam,381,90.1,46,20.2,1,0.7,4,1.1,0,0,4,1.1,1,3.3,22,7.5,77,36.3,532,159.1
State,Bihar,818,274.4,162,102.5,1,0.3,50,21.2,45,17.1,5,4.1,23,143.7,27,53.3,210,69.8,1291,665.1
State,Chhattisgarh,54,40.1,10,5.6,0,0,2,0.3,2,0.3,0,0,2,4.3,4,0.3,15,8.6,87,59.2
State,Goa,3,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.4,7,5.2
State,Gujarat,105,64.8,58,235.4,2,2,6,9.7,6,9.7,0,0,2,9.3,39,171.4,115,131.6,327,624.1
State,Haryana,25,23.2,11,20.2,0,0,0,0,0,0,0,0,0,0,5,3.1,36,158.3,77,204.7
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5.4,4,5.4
State,Jammu & Kashmir,11,4.1,0,0,0,0,0,0,0,0,0,0,4,4.4,1,1.5,8,4.9,24,14.9
State,Jharkhand,339,49.5,209,33.6,0,0,13,4.2,3,0.4,10,3.8,4,82.8,16,8.2,55,2.3,636,180.7
State,Karnataka,70,94,16,13.5,0,0,3,0.2,0,0,3,0.2,0,0,14,61.1,75,45.7,178,214.5
State,Kerala,45,19.9,16,10.8,0,0,0,0,0,0,0,0,0,0,28,40.1,87,60.1,176,130.9
State,Madhya Pradesh,59,33.4,31,59.9,0,0,3,0.1,1,0,2,0.1,4,5,11,24.8,58,29.4,166,152.5
State,Maharashtra,162,255.3,76,415.9,0,0,8,2.9,7,1.9,1,1,5,30.5,39,108.6,239,253,529,1066.3
State,Manipur,1,1.8,17,11.7,0,0,0,0,0,0,0,0,0,0,0,0,2,4.7,20,18.2
State,Meghalaya,29,21.7,25,7.1,0,0,0,0,0,0,0,0,0,0,5,0.4,38,7.4,97,36.6
State,Mizoram,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5
State,Nagaland,2,0.4,3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,6,7.1,11,8.1
State,Orissa,90,40.8,26,158.5,0,0,5,0.3,4,0.3,1,0.1,6,20.7,22,7.8,50,33.4,199,261.5
State,Punjab,17,459.2,3,0.4,0,0,0,0,0,0,0,0,0,0,6,1.5,19,17.9,45,479.1
State,Rajasthan,9,5,15,51,0,0,0,0,0,0,0,0,0,0,6,2.4,30,30.8,60,89.2
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,61,62.7,24,110.5,0,0,2,9.4,0,0,2,9.4,1,0.6,22,54.3,48,152.5,158,390
State,Tripura,23,21.2,1,0.1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,26,24.3
State,Uttar Pradesh,402,190.5,208,289.5,1,0.2,21,3.9,18,3.9,3,0,0,0,36,18.1,237,84.7,905,586.8
State,Uttaranchal,18,17.6,4,2.5,0,0,0,0,0,0,0,0,1,0.3,2,18.9,7,16.3,32,55.6
State,West Bengal,75,139,40,12.5,0,0,10,8.8,9,8.6,1,0.1,4,5.8,17,11.7,128,107.7,274,285.4
State,Total (States),2911,2006.3,1058,1615.5,7,4.5,135,79.5,100,42.9,35,36.6,57,310.8,340,712.6,1592,1339.7,6100,6068.8
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,2,0.1,5,0.9
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,27,47.9,3,9.8,0,0,1,2.8,1,2.8,0,0,0,0,5,13.5,12,58.2,48,132.2
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.2
Union Territory,Total (UTs),30,49.6,3,9.8,0,0,1,2.8,1,2.8,0,0,0,0,6,13.9,14,58.2,54,134.3
Total (All-India),Total (All-India),2941,2055.9,1061,1625.3,7,4.5,136,82.2,101,45.6,35,36.6,57,310.8,346,726.5,1606,1397.9,6154,6203.1
