Category,States/UTs,Disposal of Cases under Murder - CF,Disposal of Cases under Murder - TR,Disposal of Cases under Murder - TL,Disposal of Cases under Attempt to Commit Murder - CF,Disposal of Cases under Attempt to Commit Murder - TR,Disposal of Cases under Attempt to Commit Murder - TL,Disposal of Cases under C.H. not Amounting to Murder - CF,Disposal of Cases under C.H. not Amounting to Murder - TR,Disposal of Cases under C.H. not Amounting to Murder - TL,Disposal of Cases under Rape - CF,Disposal of Cases under Rape - TR,Disposal of Cases under Rape - TL,Disposal of Cases under Kidnapping & Abduction - CF,Disposal of Cases under Kidnapping & Abduction - TR,Disposal of Cases under Kidnapping & Abduction - TL,Disposal of Cases under Women & Girls - CF,Disposal of Cases under Women & Girls - TR,Disposal of Cases under Women & Girls - TL,Disposal of Cases under - Others - CF,Disposal of Cases under - Others - TR,Disposal of Cases under - Others - TL,Disposal of Cases under Dacoity - CF,Disposal of Cases under Dacoity - TR,Disposal of Cases under Dacoity - TL,Disposal of Cases under Preparation & Assembly for Dacoity - CF,Disposal of Cases under Preparation & Assembly for Dacoity - TR,Disposal of Cases under Preparation & Assembly for Dacoity - TL,Disposal of Cases under Robbery - CF,Disposal of Cases under Robbery - TR,Disposal of Cases under Robbery - TL,Disposal of Cases under Riot - CF,Disposal of Cases under Riot - TR,Disposal of Cases under Riot - TL,Disposal of Cases under Arson - CF,Disposal of Cases under Arson - TR,Disposal of Cases under Arson - TL,Disposal of Cases under Dowry Deaths - CF,Disposal of Cases under Dowry Deaths - TR,Disposal of Cases under Dowry Deaths - TL,Disposal of Cases under - Total - CF,Disposal of Cases under - Total - TR,Disposal of Cases under - Total - TL
State,Andhra Pradesh,0,1827,1827,0,1391,1391,2,88,90,0,928,928,2,478,480,0,263,263,2,215,217,0,419,419,0,13,13,0,514,514,32,2182,2214,20,517,537,0,411,411,56,8768,8824
State,Arunachal Pradesh,0,16,16,0,3,3,0,0,0,0,3,3,0,9,9,0,9,9,0,0,0,0,2,2,0,0,0,0,32,32,0,2,2,0,3,3,0,0,0,0,70,70
State,Assam,49,811,860,8,176,184,1,30,31,17,418,435,20,390,410,18,353,371,2,37,39,10,210,220,0,15,15,10,209,219,51,1412,1463,5,142,147,1,20,21,172,3833,4005
State,Bihar,4,1620,1624,10,2302,2312,0,253,253,0,561,561,0,995,995,0,297,297,0,698,698,0,915,915,0,114,114,3,871,874,0,4879,4879,0,208,208,0,399,399,17,13117,13134
State,Chhattisgarh,313,377,690,158,235,393,15,29,44,157,521,678,22,66,88,20,48,68,2,18,20,8,21,29,2,10,12,26,88,114,126,118,244,22,41,63,25,21,46,874,1527,2401
State,Goa,0,59,59,0,23,23,0,10,10,0,20,20,0,27,27,0,22,22,0,5,5,0,11,11,0,0,0,0,45,45,0,293,293,0,41,41,0,3,3,0,532,532
State,Gujarat,13,651,664,3,257,260,0,1,1,8,168,176,6,311,317,4,272,276,2,39,41,0,92,92,0,5,5,1,265,266,2,910,912,2,228,230,0,22,22,35,2910,2945
State,Haryana,12,629,641,13,397,410,2,86,88,6,379,385,6,250,256,3,171,174,3,79,82,0,72,72,0,84,84,0,241,241,27,833,860,3,106,109,9,293,302,78,3370,3448
State,Himachal Pradesh,0,88,88,0,73,73,0,10,10,0,105,105,0,40,40,0,33,33,0,7,7,0,2,2,0,0,0,0,14,14,0,356,356,0,66,66,0,4,4,0,758,758
State,Jammu & Kashmir,0,145,145,0,299,299,0,13,13,0,105,105,0,251,251,0,223,223,0,28,28,0,5,5,0,0,0,0,25,25,0,305,305,0,48,48,0,7,7,0,1203,1203
