Category,State/UTs/Cities,Murder - I,Murder - R,Attempt to Commit Murder - I,Attempt to Commit Murder - R,C.H. not Amounting to Murder - I,C.H. not Amounting to Murder - R,Rape Total - I,Rape Total - R,Rape Custodial - I,Rape Custodial - R,Rape Others - I,Rape Others - R,Kidnapping & Abduction Total - I,Kidnapping & Abduction Total - R,Kidnapping & Abduction of Women & Girls - I,Kidnapping & Abduction of Women & Girls - R,Kidnapping & Abduction of Others - I,Kidnapping & Abduction of Others - R,Dacoity - I,Dacoity - R,Preparation & Assembly for Dacoity - I,Preparation & Assembly for Dacoity - R,Robbery - I,Robbery - R,Burglary - I,Burglary - R,Theft Total - I,Theft Total - R,Theft Auto Theft - I,Theft Auto Theft - R,Theft Other Theft - I,Theft Other Theft - R,Riots - I,Riots - R,Criminal Breach of Trust - I,Criminal Breach of Trust - R,Cheating - I,Cheating - R,Counterfeiting - I,Counterfeiting - R,Arson - I,Arson - R,Hurt - I,Hurt - R,Dowry Deaths - I,Dowry Deaths - R,Molestation - I,Molestation - R,Sexual Harassment - I,Sexual Harassment - R,Cruelty by Husband and Relatives - I,Cruelty by Husband and Relatives - R,Importation of Girls - I,Importation of Girls - R,Causing Death by Negligence - I,Causing Death by Negligence - R,Other IPC Crimes - I,Other IPC Crimes - R,Total Cognizable Crimes under IPC - I,Total Cognizable Crimes under IPC - R
State,Andhra Pradesh,2602,3.4,1555,2.1,136,0.2,871,1.2,0,0,871,1.2,1182,1.6,765,1,417,0.6,214,0.3,9,0,629,0.8,7220,9.5,16751,22.1,3051,4,13700,18.1,3001,4,788,1,5391,7.1,144,0.2,872,1.2,34947,46.1,420,0.6,3544,4.7,2271,3,5791,7.6,7,0,7400,9.8,34344,45.4,130089,171.8
State,Arunachal Pradesh,83,7.6,53,4.9,3,0.3,33,3,0,0,33,3,83,7.6,55,5,28,2.6,22,2,2,0.2,84,7.7,248,22.7,443,40.6,36,3.3,407,37.3,24,2.2,41,3.8,30,2.7,4,0.4,13,1.2,466,42.7,0,0,78,7.1,3,0.3,11,1,0,0,0,0,618,56.6,2342,214.7
State,Assam,1356,5.1,481,1.8,40,0.2,817,3.1,0,0,817,3.1,1480,5.6,1070,4,410,1.5,532,2,14,0.1,687,2.6,2423,9.1,5367,20.1,350,1.3,5017,18.8,2953,11.1,374,1.4,575,2.2,46,0.2,441,1.7,5805,21.8,59,0.2,850,3.2,4,0,1248,4.7,0,0,2010,7.5,9315,35,36877,138.4
State,Bihar,3643,4.4,3419,4.1,250,0.3,888,1.1,0,0,888,1.1,2159,2.6,518,0.6,1641,2,1291,1.6,147,0.2,2203,2.7,3233,3.9,9701,11.7,1050,1.3,8651,10.4,8606,10.4,946,1.1,1659,2,85,0.1,502,0.6,7544,9.1,859,1,562,0.7,21,0,1558,1.9,83,0.1,2406,2.9,36667,44.2,88432,106.7
State,Chhattisgarh,880,4.2,529,2.5,45,0.2,959,4.6,0,0,959,4.6,207,1,171,0.8,36,0.2,87,0.4,19,0.1,338,1.6,4144,19.9,4812,23.1,920,4.4,3892,18.7,871,4.2,154,0.7,402,1.9,8,0,215,1,5477,26.3,70,0.3,1763,8.5,161,0.8,840,4,0,0,689,3.3,15790,75.9,38460,184.9
State,Goa,36,2.7,30,2.2,5,0.4,12,0.9,0,0,12,0.9,9,0.7,6,0.4,3,0.2,7,0.5,0,0,25,1.9,359,26.7,576,42.9,168,12.5,408,30.4,64,4.8,39,2.9,62,4.6,2,0.1,16,1.2,174,12.9,2,0.1,17,1.3,7,0.5,11,0.8,0,0,191,14.2,697,51.9,2341,174.2
State,Gujarat,1226,2.4,537,1.1,94,0.2,286,0.6,0,0,286,0.6,998,2,857,1.7,141,0.3,327,0.6,19,0,991,2,5142,10.2,15834,31.3,5504,10.9,10330,20.4,1930,3.8,1748,3.5,1779,3.5,55,0.1,449,0.9,13760,27.2,67,0.1,756,1.5,111,0.2,3667,7.2,0,0,2924,5.8,50719,100.2,103419,204.4
State,Haryana,781,3.7,467,2.2,78,0.4,398,1.9,0,0,398,1.9,449,2.1,297,1.4,152,0.7,77,0.4,141,0.7,397,1.9,3109,14.7,6117,29,3022,14.3,3095,14.7,750,3.6,556,2.6,1016,4.8,37,0.2,203,1,4744,22.5,285,1.4,478,2.3,401,1.9,1513,7.2,0,0,856,4.1,15906,75.4,38759,183.8
State,Himachal Pradesh,119,2,75,1.2,11,0.2,124,2,0,0,124,2,126,2.1,105,1.7,21,0.3,4,0.1,0,0,28,0.5,844,13.9,600,9.9,142,2.3,458,7.5,628,10.3,69,1.1,146,2.4,2,0,134,2.2,1403,23.1,10,0.2,310,5.1,14,0.2,317,5.2,0,0,483,7.9,6052,99.6,11499,189.2
State,Jammu & Kashmir,1075,10.7,1474,14.6,33,0.3,169,1.7,0,0,169,1.7,606,6,504,5,102,1,24,0.2,0,0,161,1.6,1345,13.4,1919,19.1,633,6.3,1286,12.8,1072,10.6,90,0.9,391,3.9,15,0.1,437,4.3,318,3.2,13,0.1,622,6.2,288,2.9,50,0.5,0,0,357,3.5,9046,89.8,19505,193.7
