Year,Total Value of Property Stolen,Total Value of Property Recovered,Percentage Recovery
1991,59537,16012,28.6
1992,67210,17759,26.4
1993,136775,21334,15.6
1994,86505,20963,24.2
1995,106306,25717,24.2
1996,99670,28142,28.2
1997,131216,33514,25.5
1998,147770,35748,24.2
1999,158080,50319,31.8
2000,159323,39815,25
2001,151723,44733,29.5
Percentage Change in 2001 over 1991,154.8,179.4,3.1
