Category,States/UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - For SCs,Protection of Civil Rights Act - For SCs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act - For SCs,SC/ST (Prev.) of Atrocities Act - For STs,Forest Act,Other SLL Crimes,Total Cog. Crimes under SLL
State,Andhra Pradesh,99,99,100,98.9,99.4,95.8,100,100,100,99,98.9,100,100,100,NA,90,98.8,100,100,100,NA,94.8,94.1,100,100,100,100
State,Arunachal Pradesh,92.3,100,NA,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,75.5
State,Assam,62.2,85,80.9,94.8,100,41.8,41.7,75,50,NA,NA,NA,75,77.8,55.1,NA,64.2,NA,16.7,100,NA,NA,NA,NA,62.5,52.1,60.6
State,Bihar,95.6,96,97.5,94.3,100,80.6,100,58.7,100,93,92.9,100,100,84.9,NA,NA,91.4,100,100,100,NA,86.1,85.9,100,85.5,88.3,91.9
State,Chhattisgarh,100,99.7,100,99.9,NA,100,100,99.9,NA,100,100,100,NA,98.9,NA,NA,100,NA,NA,97.9,NA,96.7,96.9,95.8,100,100,100
State,Goa,90.9,94.9,100,NA,NA,NA,100,NA,100,NA,NA,NA,NA,33.3,NA,NA,NA,NA,NA,100,NA,0,0,NA,NA,96.7,98.6
State,Gujarat,99.6,95.2,99.7,NA,99.9,94.2,100,97.6,100,100,100,100,100,98.4,NA,NA,NA,100,NA,100,NA,98.1,97.9,98.8,100,98.6,99.5
State,Haryana,97.7,96.2,99.7,97.6,NA,81.3,100,93.3,83.3,NA,NA,NA,50,100,NA,NA,NA,NA,NA,100,NA,100,100,100,NA,97.7,97.8
State,Himachal Pradesh,100,94.9,100,99.8,NA,50,100,NA,100,100,100,NA,NA,100,NA,NA,100,NA,NA,87.5,NA,95,94.7,100,71.2,83.1,97
State,Jammu & Kashmir,54,91.5,100,99.7,NA,27.2,66.7,NA,77.8,NA,NA,NA,20,99.3,100,NA,NA,NA,NA,33.3,NA,NA,NA,NA,100,50.8,67
State,Jharkhand,88.7,94.3,98.7,96.3,NA,75.8,66.7,100,100,NA,NA,NA,NA,75.7,NA,NA,85.5,NA,NA,100,NA,81.1,78.4,87.5,89.2,90,89
State,Karnataka,87.4,94.8,100,86.5,NA,87.3,99.9,81.8,100,94.3,93.8,100,100,97.4,NA,100,80.6,50,NA,98.9,NA,89.7,89.6,90.7,92,97.2,96.2
State,Kerala,93.3,97.2,100,96.2,92,74.3,100,45.5,91.7,NA,NA,NA,75,98.3,NA,NA,100,0,100,98.2,NA,94.6,94.9,92.9,0,95.2,94.7
