Category,States/UTs/Cities,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,Protection of Civil Rights Act (Total) - Incidence,Protection of Civil Rights Act (Total) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Copyright Act - Incidence,Copyright Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev.) of Atrocities) Act (Total) - Incidence,SC/ST (Prev.) of Atrocities) Act (Total) - Rate,SC/ST (Prev) of Atrocities Act for SCs - Incidence,SC/ST (Prev) of Atrocities Act for SCs - Rate,SC/ST (Prev) of Atrocities Act for STs - Incidence,SC/ST (Prev) of Atrocities Act for STs - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes under SLL - Incidence,Total Cognizable Crimes under SLL - Rate
City,Kanpur,1095,40.7,687,25.5,258,9.6,442,16.4,0,0,181,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,0,0,1,0,13,0.5,0,0,0,0,15,0.6,0,0,110,4.1,110,4.1,0,0,47,1.7,21689,806.3,24542,912.3
City,Kochi,34,2.5,70,5.2,26,1.9,0,0,162,12,2,0.1,15,1.1,0,0,4,0.3,0,0,0,0,0,0,1,0.1,3,0.2,0,0,0,0,0,0,0,0,16,1.2,11,0.8,0,0,10,0.7,10,0.7,0,0,0,0,1967,145.2,2321,171.3
City,Kolkata,209,1.6,130,1,161,1.2,715,5.4,0,0,41,0.3,25,0.2,17,0.1,0,0,0,0,0,0,0,0,0,0,81,0.6,0,0,0,0,0,0,0,0,0,0,60,0.5,0,0,0,0,0,0,0,0,0,0,1181057,8935.9,1182496,8946.8
City,Lucknow,571,25.2,118,5.2,127,5.6,159,7,0,0,31,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.1,2,0.1,0,0,75,3.3,75,3.3,0,0,7,0.3,8599,379.3,9693,427.6
City,Ludhiana,200,14.3,81,5.8,272,19.5,262,18.8,0,0,1,0.1,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,25,1.8,0,0,0,0,0,0,0,0,1,0.1,19,1.4,0,0,5,0.4,5,0.4,0,0,0,0,32,2.3,901,64.6
City,Madurai,2,0.2,334,27.9,388,32.5,0,0,4027,337,1,0.1,171,14.3,0,0,0,0,0,0,0,0,0,0,2,0.2,1,0.1,0,0,0,0,0,0,0,0,0,0,28,2.3,0,0,16,1.3,16,1.3,0,0,0,0,12387,1036.6,17357,1452.5
City,Meerut,981,84.1,240,20.6,343,29.4,175,15,0,0,4,0.3,4,0.3,0,0,1,0.1,0,0,0,0,0,0,3,0.3,1,0.1,0,0,0,0,0,0,0,0,0,0,19,1.6,0,0,0,0,0,0,0,0,6,0.5,21097,1807.8,22874,1960.1
City,Mumbai,323,2,123,0.8,684,4.2,0,0,1800,11,7,0,180,1.1,5,0,0,0,1,0,1,0,0,0,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,190,1.2,0,0,9,0.1,9,0.1,0,0,0,0,3700,22.6,7036,43
City,Nagpur,444,20.9,52,2.4,746,35.1,0,0,2337,110.1,2,0.1,7,0.3,1,0,0,0,2,0.1,2,0.1,0,0,0,0,56,2.6,0,0,0,0,3,0.1,0,0,0,0,21,1,0,0,4,0.2,3,0.1,1,0,2,0.1,1180,55.6,4857,228.8
City,Nasik,8,0.7,5,0.4,150,13,0,0,968,84,0,0,2,0.2,0,0,0,0,1,0.1,1,0.1,0,0,0,0,3,0.3,0,0,0,0,0,0,1,0.1,0,0,14,1.2,0,0,3,0.3,2,0.2,1,0.1,0,0,475,41.2,1630,141.5
City,Patna,172,10.1,2,0.1,19,1.1,58,3.4,0,0,15,0.9,13,0.8,0,0,0,0,0,0,0,0,0,0,0,0,7,0.4,0,0,0,0,21,1.2,0,0,0,0,4,0.2,0,0,7,0.4,6,0.4,1,0.1,1,0.1,128,7.5,447,26.2
City,Pune,14,0.4,15,0.4,146,3.9,0,0,3066,81.6,2,0.1,18,0.5,2,0.1,16,0.4,0,0,0,0,0,0,0,0,5,0.1,0,0,0,0,0,0,0,0,0,0,73,1.9,0,0,4,0.1,4,0.1,0,0,0,0,3057,81.4,6418,170.9
City,Rajkot,0,0,16,1.6,214,21.4,0,0,1816,181.2,17,1.7,6,0.6,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,7,0.7,0,0,20,2,18,1.8,2,0.2,0,0,200,20,2298,229.3
City,Surat,38,1.4,13,0.5,575,20.5,0,0,13442,478.2,1,0,45,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,1.2,0,0,17,0.6,13,0.5,4,0.1,0,0,7488,266.4,21653,770.3
City,Vadodara,10,0.7,3,0.2,342,22.9,0,0,6181,414.3,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,16,1.1,0,0,7,0.5,6,0.4,1,0.1,0,0,1219,81.7,7782,521.6
City,Varanasi,517,42.7,598,49.3,92,7.6,201,16.6,0,0,31,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,0,0,0,0,3,0.2,0,0,25,2.1,25,2.1,0,0,17,1.4,9019,744.1,10507,866.9
City,Vijayawada,4,0.4,17,1.7,2356,233,263,26,42,4.2,13,1.3,70,6.9,0,0,0,0,18,1.8,14,1.4,4,0.4,0,0,1,0.1,0,0,0,0,2,0.2,0,0,0,0,25,2.5,0,0,5,0.5,4,0.4,1,0.1,0,0,61587,6091.7,64403,6370.2
City,Vishakhapatnam,5,0.4,6,0.5,1313,98.8,23,1.7,0,0,5,0.4,26,2,0,0,2,0.2,3,0.2,3,0.2,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,2,0.2,0,0,16,1.2,14,1.1,2,0.2,0,0,155601,11708.1,157004,11813.7
City,Total (Cities),11711,11.2,4275,4.1,19241,18.4,15315,14.6,42275,40.4,713,0.7,3633,3.5,40,0,52,0,39,0,35,0,4,0,158,0.2,691,0.7,0,0,9,0,329,0.3,4,0,449,0.4,1062,1,0,0,878,0.8,607,0.6,271,0.3,176,0.2,1662709,1589.2,1763759,1685.8
