Category,States/UTs,Number of Victims upto 10 Years - Male,Number of Victims upto 10 Years - Female,Number of Victims upto 10 Years - Total,Number of Victims - 10-15 Years - Male,Number of Victims - 10-15 Years - Female,Number of Victims - 10-15 Years - Total,Number of Victims - 15-18 Years - Male,Number of Victims - 15-18 Years - Female,Number of Victims - 15-18 Years - Total,Number of Victims - 18-30 Years - Male,Number of Victims - 18-30 Years - Female,Number of Victims - 18-30 Years - Total,Number of Victims - 30-50 Years - Male,Number of Victims - 30-50 Years - Female,Number of Victims - 30-50 Years - Total,Number of Victims above 50 Years - Male,Number of Victims above 50 Years - Female,Number of Victims above 50 Years - Total,Number of Victims - Total of All Age Groups - Male,Number of Victims - Total of All Age Groups - Female,Number of Victims - Total of All Age Groups - Total
State,Andhra Pradesh,1,0,1,3,0,3,5,0,5,54,3,57,64,0,64,17,2,19,144,5,149
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,3,0,3,2,0,2,1,0,1,6,0,6
State,Assam,0,0,0,0,0,0,0,1,1,20,0,20,16,1,17,2,0,2,38,2,40
State,Bihar,0,0,0,3,0,3,19,1,20,116,12,128,74,5,79,20,0,20,232,18,250
State,Chhattisgarh,2,1,3,2,0,2,3,0,3,33,4,37,25,1,26,8,1,9,73,7,80
State,Goa,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,0,2,5,0,5
State,Gujarat,44,40,84,23,21,44,11,17,28,61,59,120,73,52,125,18,32,50,230,221,451
State,Haryana,4,1,5,0,0,0,2,1,3,32,6,38,26,4,30,3,1,4,67,13,80
State,Himachal Pradesh,0,0,0,1,0,1,2,0,2,2,1,3,4,0,4,1,0,1,10,1,11
State,Jammu & Kashmir,0,1,1,8,0,8,8,0,8,6,2,8,5,6,11,0,0,0,27,9,36
State,Jharkhand,2,3,5,1,0,1,6,6,12,52,13,65,42,9,51,5,4,9,108,35,143
State,Karnataka,2,2,4,5,0,5,5,2,7,27,2,29,25,2,27,3,2,5,67,10,77
State,Kerala,3,2,5,4,1,5,0,4,4,23,12,35,44,8,52,7,3,10,81,30,111
State,Madhya Pradesh,2,1,3,3,2,5,3,4,7,44,18,62,27,8,35,7,6,13,86,39,125
State,Maharashtra,3,4,7,5,1,6,10,1,11,47,19,66,32,4,36,6,2,8,103,31,134
State,Manipur,0,0,0,0,0,0,0,0,0,2,1,3,1,1,2,0,0,0,3,2,5
State,Meghalaya,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
State,Mizoram,0,0,0,1,0,1,1,0,1,3,1,4,6,0,6,2,0,2,13,1,14
State,Nagaland,0,0,0,0,0,0,7,0,7,18,1,19,11,0,11,0,0,0,36,1,37
State,Orissa,0,0,0,0,0,0,5,0,5,17,17,34,16,0,16,0,0,0,38,17,55
State,Punjab,3,1,4,0,0,0,2,0,2,18,16,34,28,5,33,5,2,7,56,24,80
State,Rajasthan,1,2,3,0,0,0,0,1,1,18,3,21,32,3,35,3,0,3,54,9,63
State,Sikkim,0,0,0,0,0,0,0,0,0,6,0,6,1,0,1,0,0,0,7,0,7
State,Tamil Nadu,1,0,1,1,0,1,3,1,4,1,3,4,1,2,3,4,2,6,11,8,19
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,4,1,5,7,2,9,62,13,75,430,63,493,467,53,520,116,7,123,1086,139,1225
State,Uttaranchal,0,0,0,0,0,0,1,0,1,14,0,14,17,1,18,6,0,6,38,1,39
State,West Bengal,1,0,1,16,4,20,28,11,39,239,35,274,207,24,231,22,1,23,513,75,588
State,Total (States),73,59,132,83,31,114,183,63,246,1290,291,1581,1247,189,1436,258,65,323,3134,698,3832
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,6
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,1,2,3,1,1,2,10,0,10,31,4,35,20,6,26,0,1,1,63,14,77
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Union Territory,Total (UTs),1,2,3,1,1,2,10,0,10,37,4,41,20,6,26,0,2,2,69,15,84
Total (All-India),Total (All-India),74,61,135,84,32,116,193,63,256,1327,295,1622,1267,195,1462,258,67,325,3203,713,3916
