Category,States/UTs,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Trains - Number,Railways - Running Trains - Value,Railways - Other Railways - Number,Railways - Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value,
State,Andhra Pradesh,5158,1053.2,31,20,101,14.1,6,0.2,0,0,6,0.2,21,0,1041,269.2,862,113.3,7220,1470.2,
State,Arunachal Pradesh,99,18.7,0,0,0,0,0,0,0,0,0,0,0,0,84,19.9,65,10.7,248,49.3,
State,Assam,1695,138.7,7,2,0,0,3,0.9,0,0,3,0.9,5,1.4,442,47.7,271,23.9,2423,214.7,
State,Bihar,2486,133.5,0,0,0,0,0,0,0,0,0,0,11,1.5,231,14.8,505,20.4,3233,170.2,
State,Chhattisgarh,3336,221.9,12,0.8,0,0,0,0,0,0,0,0,6,2.8,370,37.2,420,41.9,4144,304.6,
State,Goa,185,62.9,0,0,0,0,1,0,0,0,1,0,7,0,109,31.1,57,5.9,359,99.9,
State,Gujarat,3217,816.9,2,0.1,0,0,0,0,0,0,0,0,32,0.8,889,286.1,1002,312.7,5142,1416.5,
State,Haryana,2072,465.6,12,1,0,0,72,13.8,2,0,70,13.8,19,1.1,534,115.2,400,49.1,3109,645.8,
State,Himachal Pradesh,328,82.4,0,0,0,0,0,0,0,0,0,0,75,1.8,235,63.1,206,23.6,844,170.9,
State,Jammu & Kashmir,879,146.6,2,13,0,0,0,0,0,0,0,0,9,0,235,56.2,220,56.4,1345,272.2,
State,Jharkhand,1158,90.4,0,0,0,0,0,0,0,0,0,0,1,0,15,3.6,92,1.5,1266,95.5,
State,Karnataka,4194,826.3,0,0,0,0,71,4,2,1.8,69,2.3,62,4.6,1026,407.2,1041,151.9,6394,1393.9,
State,Kerala,2409,781.6,91,19.6,1,1.7,2,8.7,0,0,2,8.7,9,42.5,844,315.8,1118,146.2,4474,1316.1,
State,Madhya Pradesh,9551,883,13,0.7,0,0,25,2.3,3,0.1,22,2.2,52,5.6,1107,125.3,2801,168.6,13549,1185.5,
State,Maharashtra,9817,2380.8,0,0,0,0,69,31.8,0,0,69,31.8,147,81.9,2697,1124,2343,824.3,15073,4442.8,
State,Manipur,28,8.8,0,0,0,0,0,0,0,0,0,0,0,0,27,10.9,20,6.9,75,26.6,
State,Meghalaya,77,6.6,0,0,0,0,0,0,0,0,0,0,1,0.1,34,2.2,58,4.7,170,13.5,
State,Mizoram,184,12.4,0,0,0,0,0,0,0,0,0,0,0,0,117,9.9,116,10.3,417,32.5,
State,Nagaland,66,11.6,0,0,0,0,0,0,0,0,0,0,0,0,65,39.4,32,18.2,163,69.2,
State,Orissa,2341,301,0,0,0,0,2,0,0,0,2,0,5,3.5,383,65.2,362,94,3093,463.6,
State,Punjab,1233,471.4,0,0,0,0,0,0,0,0,0,0,15,0.3,299,133,355,133.5,1902,738.1,
State,Rajasthan,4377,749.6,0,0,0,0,0,0,0,0,0,0,31,0.2,1875,340.2,1001,84.1,7284,1174,
State,Sikkim,50,6.8,0,0,0,0,0,0,0,0,0,0,0,0.2,9,1.2,17,0.5,76,8.6,
State,Tamil Nadu,3680,748.9,0,0,0,0,18,3.2,0,0,18,3.2,29,38.9,589,175.9,1649,282.2,5965,1249.1,
State,Tripura,161,28.8,0,0,0,0,0,0,0,0,0,0,0,0,8,0.5,29,2.2,198,31.6,
State,Uttar Pradesh,6693,1284.4,0,0,0,0,4,0.1,0,0,4,0.1,2,0,149,67.8,1563,5296.7,8411,6649,
State,Uttaranchal,376,81.3,7,0.2,0,0,12,0.2,0,0,12,0.2,1,0.3,45,8,92,9.2,533,99.2,
State,West Bengal,300,80.8,0,0,0,0,0,0,0,0,0,0,0,0,44,25,82,22.1,426,127.9,
State,Total (States),66150,11894.9,177,57.3,102,15.8,285,65.2,7,1.9,278,63.3,540,187.4,13503,3795.5,16779,7914.9,97536,23931.1,
Union Territory,A & N Islands,47,8.2,0,0,0,0,0,0,0,0,0,0,0,0,7,4.6,10,0.5,64,13.2,
Union Territory,Chandigarh,239,68.3,0,0,0,0,0,0,0,0,0,0,2,0,79,28.9,44,5,364,102.2,
Union Territory,D & N Haveli,18,4.7,0,0,0,0,0,0,0,0,0,0,0,0,13,7.3,3,1.3,34,13.3,
Union Territory,Daman & Diu,20,7.7,0,0,0,0,0,0,0,0,0,0,1,0,20,13.1,2,0,43,20.8,
Union Territory,Delhi,2175,527.9,0,0,0,0,2,0.2,0,0,2,0.2,0,0,624,559.7,228,412.6,3029,1500.3,
Union Territory,Lakshadweep,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,
Union Territory,Pondicherry,66,23,0,0,0,0,0,0,0,0,0,0,0,0,27,3.8,18,1.7,111,28.6,
Union Territory,Total (UTs),2566,639.9,0,0,0,0,2,0.2,0,0,2,0.2,3,0,770,617.4,305,421.1,3646,1678.6,
Total (All-India),Total (All-India),68716,12534.8,177,57.3,102,15.8,287,65.4,7,1.9,280,63.5,543,187.4,14273,4413,17084,8336,101182,25609.7,
