Category,States/UTs/Cities,Murder - 2000,Murder - 2001,Murder - % Variation,Attempt to Commit Murder - 2000,Attempt to Commit Murder - 2001,Attempt to Commit Murder - % Variation,C.H. not Amounting to Murder - 2000,C.H. not Amounting to Murder - 2001,C.H. not Amounting to Murder - % Variation,Rape Total - 2000,Rape Total - 2001,Rape Total - % Variation,Rape Custodial - 2000,Rape Custodial - 2001,Rape Custodial - % Variation,Rape Other - 2000,Rape Other - 2001,Rape Other - % Variation,Kidnapping & Abduction Total - 2000,Kidnapping & Abduction Total - 2001,Kidnapping & Abduction Total - % Variation,Kidnapping & Abduction of Women & Girls - 2000,Kidnapping & Abduction of Women & Girls - 2001,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction of Others - 2000,Kidnapping & Abduction of Others - 2001,Kidnapping & Abduction of Others - % Variation,Dacoity - 2000,Dacoity - 2001,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2000,Preparation & Assembly for Dacoity - 2001,Preparation & Assembly for Dacoity - % Variation,Robbery - 2000,Robbery - 2001,Robbery - % Variation,Burglary - 2000,Burglary - 2001,Burglary - % Variation,Theft Total - 2000,Theft Total - 2001,Theft Total - % Variation,Theft Auto Theft - 2000,Theft Auto Theft - 2001,Theft Auto Theft - % Variation,Theft Other Theft - 2000,Theft Other Theft - 2001,Theft Other Theft - % Variation,Riots - 2000,Riots - 2001,Riots - % Variation,Criminal Breach of Trust - 2000,Criminal Breach of Trust - 2001,Criminal Breach of Trust - % Variation,Cheating - 2000,Cheating - 2001,Cheating - % Variation,Counterfeiting - 2000,Counterfeiting - 2001,Counterfeiting - % Variation,Arson - 2000,Arson - 2001,Arson - % Variation,Hurt - 2000,Hurt - 2001,Hurt - % Variation,Dowry Deaths - 2000,Dowry Deaths - 2001,Dowry Deaths - % Variation,Molestation - 2000,Molestation - 2001,Molestation - % Variation,Sexual Harassment - 2000,Sexual Harassment - 2001,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2000,Cruelty by Husband and Relatives - 2001,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2000,Importation of Girls - 2001,Importation of Girls - % Variation,Causing Death by Negligence - 2000,Causing Death by Negligence - 2001,Causing Death by Negligence - % Variation,Other IPC Crimes - 2000,Other IPC Crimes - 2001,Other IPC Crimes - % Variation,Total Cognizable Crimes under IPC - 2000,Total Cognizable Crimes under IPC - 2001,Total Cognizable Crimes under IPC - % Variation,Note of Murder - % Variation,Note of C.H. not Amounting to Murder - % Variation,Note of Preparation & Assembly for Dacoity - % Variation,Note of Dacoity - % Variation,Note of Preparation & Assembly for Dacoity - % Variation,Note of Theft Auto Theft - % Variation,Note of Riots - % Variation,Note of Counterfeiting - % Variation,Note of Sexual Harassment - % Variation,Note of Cruelty by Husband and Relatives - % Variation,Note of Importation of Girls - % Variation
State,Mizoram,40,31,-22.5,17,15,-11.8,8,5,-37.5,58,52,-10.3,NA,0,NA,NA,52,NA,10,2,-80,3,1,-66.7,7,1,-85.7,6,3,-50,0,0,0,17,23,35.3,384,417,8.6,936,878,-6.2,32,17,-46.9,904,861,-4.8,2,3,50,34,23,-32.4,103,71,-31.1,11,12,9.1,11,24,118.2,105,94,-10.5,0,0,0,70,52,-25.7,0,0,0,0,16,NA,0,3,NA,NA,23,NA,504,499,-1,2316,2246,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,@
State,Nagaland,111,101,-9,37,39,5.4,16,9,-43.8,14,17,21.4,NA,0,NA,NA,17,NA,31,23,-25.8,4,6,50,27,17,-37,42,11,-73.8,6,0,-100,125,129,3.2,171,163,-4.7,261,258,-1.1,84,89,6,177,169,-4.5,11,2,-81.8,6,20,233.3,65,34,-47.7,4,2,-50,3,1,-66.7,34,37,8.8,1,0,-100,2,6,200,0,0,0,0,0,0,0,0,0,NA,19,NA,428,363,-15.2,1368,1234,-9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Orissa,1138,987,-13.3,1088,1151,5.8,37,53,43.2,747,790,5.8,NA,0,NA,NA,790,NA,434,522,20.3,359,434,20.9,75,88,17.3,283,199,-29.7,47,22,-53.2,1188,958,-19.4,3589,3093,-13.8,6454,5622,-12.9,738,817,10.7,5716,4805,-15.9,1505,1426,-5.2,285,285,0,635,681,7.2,13,10,-23.1,358,423,18.2,4208,4367,3.8,276,294,6.5,1658,1655,-0.2,135,458,239.3,1088,1266,16.4,13,0,-100,NA,1589,NA,24240,20810,-14.2,49419,46661,-5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Punjab,797,738,-7.4,668,789,18.1,80,80,0,334,298,-10.8,NA,0,NA,NA,298,NA,464,513,10.6,292,324,11,172,189,9.9,21,45,114.3,98,84,-14.3,62,131,111.3,1757,1902,8.3,2509,3023,20.5,939,1204,28.2,1570,1819,15.9,0,1,NA,326,368,12.9,2235,2621,17.3,77,58,-24.7,72,63,-12.5,3571,3996,11.9,199,159,-20.1,340,372,9.4,40,47,17.5,917,1128,23,0,0,0,NA,2154,NA,9807,9204,-6.1,24374,27774,13.9,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA
State,Rajasthan,1513,1259,-16.8,2005,1923,-4.1,69,63,-8.7,1242,1049,-15.5,NA,0,NA,NA,1049,NA,3070,2718,-11.5,2550,2165,-15.1,520,553,6.3,99,60,-39.4,24,40,66.7,1021,889,-12.9,8065,7284,-9.7,17026,16939,-0.5,3920,4324,10.3,13106,12615,-3.7,15687,11214,-28.5,858,1026,19.6,6338,6644,4.8,110,89,-19.1,1104,1092,-1.1,16776,27485,63.8,429,376,-12.4,3092,2878,-6.9,50,56,12,5437,5532,1.7,0,1,NA,NA,4221,NA,76968,62347,-19,160983,155185,-3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@
State,Sikkim,19,19,0,11,11,0,1,7,600,6,8,33.3,NA,0,NA,NA,8,NA,2,6,200,1,2,100,1,4,300,2,0,-100,0,0,0,2,3,50,74,76,2.7,61,74,21.3,0,6,NA,61,68,11.5,17,3,-82.4,4,1,-75,17,13,-23.5,0,0,0,1,1,0,72,35,-51.4,0,0,0,0,0,0,0,14,NA,14,0,-100,0,0,0,NA,7,NA,129,166,28.7,432,444,2.8,NA,NA,NA,NA,NA,@,NA,NA,@,NA,NA
State,Tamil Nadu,1711,1662,-2.9,1834,2204,20.2,31,19,-38.7,538,423,-21.4,NA,0,NA,NA,423,NA,1182,952,-19.5,805,607,-24.6,377,345,-8.5,159,158,-0.6,11,6,-45.5,660,672,1.8,5580,5965,6.9,17255,16709,-3.2,4234,4478,5.8,13021,12231,-6.1,5005,5196,3.8,432,360,-16.7,2221,2139,-3.7,248,104,-58.1,1137,980,-13.8,28208,28429,0.8,191,191,0,1948,1773,-9,2167,1012,-53.3,837,815,-2.6,7,14,100,NA,8550,NA,79967,76468,-4.4,151329,154801,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Tripura,306,240,-21.6,56,25,-55.4,0,0,0,86,102,18.6,NA,0,NA,NA,102,NA,293,93,-68.3,40,35,-12.5,253,58,-77.1,37,26,-29.7,0,0,0,71,63,-11.3,237,198,-16.5,294,259,-11.9,3,6,100,291,253,-13.1,286,138,-51.7,26,4,-84.6,28,17,-39.3,6,6,0,87,31,-64.4,518,412,-20.5,16,16,0,59,58,-1.7,0,0,0,129,227,76,0,0,0,NA,31,NA,837,855,2.2,3372,2801,-16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Uttar Pradesh,7755,7601,-2,8329,7964,-4.4,1176,1186,0.9,1865,1958,5,NA,0,NA,NA,1958,NA,4233,4330,2.3,2755,2879,4.5,1478,1451,-1.8,920,905,-1.6,62,38,-38.7,4171,3825,-8.3,9569,8411,-12.1,27449,27011,-1.6,5602,6189,10.5,21847,20822,-4.7,7682,7343,-4.4,3445,3430,-0.4,5207,5363,3,125,147,17.6,863,812,-5.9,14221,17816,25.3,2222,2211,-0.5,2607,2870,10.1,3160,2575,-18.5,6021,7365,22.3,0,0,0,NA,7129,NA,64586,57839,-10.4,175668,178129,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Uttaranchal,NA,316,NA,NA,279,NA,NA,38,NA,NA,74,NA,NA,0,NA,NA,74,NA,NA,183,NA,NA,126,NA,NA,57,NA,NA,32,NA,NA,3,NA,NA,191,NA,NA,533,NA,NR,1419,NA,NR,374,NA,NR,1045,NA,NA,440,NA,NA,171,NA,NA,318,NA,NA,4,NA,NA,30,NA,NR,830,NA,NR,56,NA,NA,103,NA,NA,84,NA,NA,301,NA,NA,0,NA,NA,441,NA,NA,2227,NA,NA,8073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,West Bengal,1892,1594,-15.8,503,449,-10.7,683,581,-14.9,814,709,-12.9,NA,0,NA,NA,709,NA,926,875,-5.5,749,695,-7.2,177,180,1.7,353,274,-22.4,306,421,37.6,817,660,-19.2,454,426,-6.2,15624,14245,-8.8,2498,2562,2.6,13126,11683,-11,3899,3095,-20.6,534,486,-9,1187,1216,2.4,103,102,-1,171,102,-40.4,3990,3658,-8.3,284,265,-6.7,1057,954,-9.7,55,48,-12.7,4025,3859,-4.1,0,3,NA,NA,2281,NA,28157,25260,-10.3,65834,61563,-6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@
State,Total (States),36737,35591,-3.1,30089,30964,2.9,3706,3297,-11,16023,15658,-2.3,0,0,NA,0,15658,NA,21427,20789,-3,13952,13621,-2.4,7475,7168,-4.1,6748,6100,-9.6,1464,1540,5.2,20143,19245,-4.5,101454,97536,-3.9,235830,231310,-1.9,49814,55002,10.4,186016,176308,-5.2,80025,75825,-5.2,14043,14259,1.5,39543,42337,7.1,2237,1632,-27,10294,10438,1.4,237526,268575,13.1,6865,6734,-1.9,32297,33537,3.8,10864,9613,-11.5,45617,48976,7.4,64,114,78.1,0,56578,NA,754057,675528,-10.4,1707053,1706176,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,A & N Islands,18,13,-27.8,7,0,-100,1,0,-100,5,3,-40,NA,0,NA,NA,3,NA,3,2,-33.3,3,2,-33.3,0,0,0,1,0,-100,0,0,0,8,4,-50,71,64,-9.9,89,65,-27,6,4,-33.3,83,61,-26.5,29,13,-55.2,6,10,66.7,17,8,-52.9,0,2,NA,7,4,-42.9,95,118,24.2,0,0,0,23,19,-17.4,1,1,0,12,9,-25,0,0,0,NA,0,NA,359,323,-10,752,658,-12.5,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA
Union Territory,Chandigarh,19,15,-21.1,20,10,-50,5,6,20,23,18,-21.7,NA,0,NA,NA,18,NA,67,56,-16.4,52,50,-3.8,15,6,-60,1,5,400,0,0,0,10,22,120,239,364,52.3,1071,1529,42.8,344,494,43.6,727,1035,42.4,75,91,21.3,31,26,-16.1,173,155,-10.4,7,2,-71.4,7,5,-28.6,93,95,2.2,2,3,50,34,24,-29.4,8,15,87.5,36,36,0,0,0,0,NA,6,NA,1014,914,-9.9,2935,3397,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,D & N Haveli,10,3,-70,4,2,-50,0,0,0,3,6,100,NA,0,NA,NA,6,NA,13,4,-69.2,7,2,-71.4,6,2,-66.7,1,0,-100,0,0,0,2,2,0,52,34,-34.6,72,45,-37.5,6,15,150,66,30,-54.5,28,4,-85.7,11,13,18.2,6,12,100,0,1,NA,3,1,-66.7,27,29,7.4,0,0,0,4,7,75,1,0,-100,2,4,100,0,0,0,NA,0,NA,201,183,-9,440,350,-20.5,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA
Union Territory,Daman & Diu,3,7,133.3,7,5,-28.6,0,0,0,1,0,-100,NA,0,NA,NA,0,NA,5,5,0,3,3,0,2,2,0,3,0,-100,0,0,0,1,0,-100,45,43,-4.4,40,40,0,10,20,100,30,20,-33.3,28,23,-17.9,2,5,150,5,9,80,1,1,0,4,3,-25,25,21,-16,0,0,0,0,0,0,0,0,0,2,4,100,0,0,0,NA,0,NA,79,73,-7.6,251,239,-4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,586,547,-6.7,598,510,-14.7,57,63,10.5,435,381,-12.4,NA,0,NA,NA,381,NA,1346,1627,20.9,998,964,-3.4,348,663,90.5,70,48,-31.4,41,74,80.5,758,624,-17.7,3453,3029,-12.3,21082,19276,-8.6,8043,7894,-1.9,13039,11382,-12.7,210,165,-21.4,476,479,0.6,1940,2183,12.5,49,42,-14.3,64,50,-21.9,2258,2011,-10.9,125,113,-9.6,549,502,-8.6,123,90,-26.8,106,138,30.2,0,0,0,NA,432,NA,21923,22000,0.4,56249,54384,-3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Lakshadweep,0,1,NA,0,0,0,0,0,0,1,0,-100,NA,0,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,-66.7,8,10,25,0,0,0,8,10,25,0,1,NA,1,1,0,0,0,0,0,0,0,1,2,100,2,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,8,17,112.5,24,36,50,@,NA,NA,NA,NA,NA,@,NA,NA,NA,NA
Union Territory,Pondicherry,26,25,-3.8,18,32,77.8,4,1,-75,5,9,80,NA,0,NA,NA,9,NA,10,4,-60,8,3,-62.5,2,1,-50,1,1,0,0,0,0,4,4,0,74,111,50,396,528,33.3,192,284,47.9,204,244,19.6,61,100,63.9,11,5,-54.5,17,23,35.3,5,3,-40,12,31,158.3,554,635,14.6,3,1,-66.7,33,35,6.1,27,27,0,3,3,0,0,0,0,NA,166,NA,2116,2324,9.8,3380,4068,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Total (UTs),662,611,-7.7,654,559,-14.5,67,70,4.5,473,417,-11.8,0,0,NA,0,417,NA,1444,1698,17.6,1071,1024,-4.4,373,674,80.7,77,54,-29.9,41,74,80.5,783,656,-16.2,3937,3646,-7.4,22758,21493,-5.6,8601,8711,1.3,14157,12782,-9.7,431,397,-7.9,538,539,0.2,2158,2390,10.8,62,51,-17.7,98,96,-2,3054,2912,-4.6,130,117,-10,643,587,-8.7,160,133,-16.9,161,194,20.5,0,0,0,0,604,NA,25700,25834,0.5,64031,63132,-1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
