Category,States/UTs/Cities,Murder - 2000,Murder - 2001,Murder - % Variation,Attempt to Commit Murder - 2000,Attempt to Commit Murder - 2001,Attempt to Commit Murder - % Variation,C.H. not Amounting to Murder - 2000,C.H. not Amounting to Murder - 2001,C.H. not Amounting to Murder - % Variation,Rape Total - 2000,Rape Total - 2001,Rape Total - % Variation,Rape Custodial - 2000,Rape Custodial - 2001,Rape Custodial - % Variation,Rape Other - 2000,Rape Other - 2001,Rape Other - % Variation,Kidnapping & Abduction Total - 2000,Kidnapping & Abduction Total - 2001,Kidnapping & Abduction Total - % Variation,Kidnapping & Abduction of Women & Girls - 2000,Kidnapping & Abduction of Women & Girls - 2001,Kidnapping & Abduction of Women & Girls - % Variation,Kidnapping & Abduction of Others - 2000,Kidnapping & Abduction of Others - 2001,Kidnapping & Abduction of Others - % Variation,Dacoity - 2000,Dacoity - 2001,Dacoity - % Variation,Preparation & Assembly for Dacoity - 2000,Preparation & Assembly for Dacoity - 2001,Preparation & Assembly for Dacoity - % Variation,Robbery - 2000,Robbery - 2001,Robbery - % Variation,Burglary - 2000,Burglary - 2001,Burglary - % Variation,Theft Total - 2000,Theft Total - 2001,Theft Total - % Variation,Theft Auto Theft - 2000,Theft Auto Theft - 2001,Theft Auto Theft - % Variation,Theft Other Theft - 2000,Theft Other Theft - 2001,Theft Other Theft - % Variation,Riots - 2000,Riots - 2001,Riots - % Variation,Criminal Breach of Trust - 2000,Criminal Breach of Trust - 2001,Criminal Breach of Trust - % Variation,Cheating - 2000,Cheating - 2001,Cheating - % Variation,Counterfeiting - 2000,Counterfeiting - 2001,Counterfeiting - % Variation,Arson - 2000,Arson - 2001,Arson - % Variation,Hurt - 2000,Hurt - 2001,Hurt - % Variation,Dowry Deaths - 2000,Dowry Deaths - 2001,Dowry Deaths - % Variation,Molestation - 2000,Molestation - 2001,Molestation - % Variation,Sexual Harassment - 2000,Sexual Harassment - 2001,Sexual Harassment - % Variation,Cruelty by Husband and Relatives - 2000,Cruelty by Husband and Relatives - 2001,Cruelty by Husband and Relatives - % Variation,Importation of Girls - 2000,Importation of Girls - 2001,Importation of Girls - % Variation,Causing Death by Negligence - 2000,Causing Death by Negligence - 2001,Causing Death by Negligence - % Variation,Other IPC Crimes - 2000,Other IPC Crimes - 2001,Other IPC Crimes - % Variation,Total Cognizable Crimes under IPC - 2000,Total Cognizable Crimes under IPC - 2001,Total Cognizable Crimes under IPC - % Variation,Note of Murder - % Variation,Note of C.H. not Amounting to Murder - % Variation,Note of Preparation & Assembly for Dacoity - % Variation,Note of Dacoity - % Variation,Note of Preparation & Assembly for Dacoity - % Variation,Note of Theft Auto Theft - % Variation,Note of Riots - % Variation,Note of Counterfeiting - % Variation,Note of Sexual Harassment - % Variation,Note of Cruelty by Husband and Relatives - % Variation,Note of Importation of Girls - % Variation
State,Andhra Pradesh,2704,2602,-3.8,1434,1555,8.4,141,136,-3.5,944,871,-7.7,NA,0,NA,NA,871,NA,1099,1182,7.6,716,765,6.8,383,417,8.9,261,214,-18,5,9,80,635,629,-0.9,7336,7220,-1.6,16296,16751,2.8,2620,3051,16.5,13676,13700,0.2,2481,3001,21,656,788,20.1,4852,5391,11.1,149,144,-3.4,863,872,1,29987,34947,16.5,442,420,-5,3231,3544,9.7,2280,2271,-0.4,5399,5791,7.3,0,7,NA,NA,7400,NA,40084,34344,-14.3,121279,130089,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@
State,Arunachal Pradesh,68,83,22.1,63,53,-15.9,7,3,-57.1,36,33,-8.3,NA,0,NA,NA,33,NA,58,83,43.1,42,55,31,16,28,75,47,22,-53.2,0,2,NA,100,84,-16,269,248,-7.8,432,443,2.5,47,36,-23.4,385,407,5.7,20,24,20,34,41,20.6,62,30,-51.6,3,4,33.3,20,13,-35,436,466,6.9,0,0,0,53,78,47.2,2,3,50,10,11,10,0,0,0,NA,0,NA,647,618,-4.5,2367,2342,-1.1,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA
State,Assam,1523,1356,-11,477,481,0.8,57,40,-29.8,762,817,7.2,NA,0,NA,NA,817,NA,1474,1480,0.4,1101,1070,-2.8,373,410,9.9,708,532,-24.9,30,14,-53.3,741,687,-7.3,2756,2423,-12.1,5633,5367,-4.7,370,350,-5.4,5263,5017,-4.7,3406,2953,-13.3,372,374,0.5,530,575,8.5,50,46,-8,400,441,10.3,4682,5805,24,50,59,18,777,850,9.4,18,4,-77.8,978,1248,27.6,0,0,0,NA,2010,NA,9754,9315,-4.5,35178,36877,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Bihar,5356,3643,-32,4313,3419,-20.7,778,250,-67.9,1570,888,-43.4,NA,0,NA,NA,888,NA,2711,2159,-20.4,700,518,-26,2011,1641,-18.4,2090,1291,-38.2,273,147,-46.2,2896,2203,-23.9,4949,3233,-34.7,14079,9701,-31.1,921,1050,14,13158,8651,-34.3,10647,8606,-19.2,1120,946,-15.5,2087,1659,-20.5,66,85,28.8,639,502,-21.4,5436,7544,38.8,1085,859,-20.8,456,562,23.2,122,21,-82.8,1396,1558,11.6,40,83,107.5,NA,2406,NA,61973,36667,-40.8,124082,88432,-28.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Chhattisgarh,NA,880,NA,NA,529,NA,NA,45,NA,NA,959,NA,NA,0,NA,NA,959,NA,NA,207,NA,NA,171,NA,NA,36,NA,NA,87,NA,NA,19,NA,NA,338,NA,NA,4144,NA,NR,4812,NA,NR,920,NA,NR,3892,NA,NA,871,NA,NA,154,NA,NA,402,NA,NA,8,NA,NA,215,NA,NR,5477,NA,NR,70,NA,NA,1763,NA,NA,161,NA,NA,840,NA,NA,0,NA,NA,689,NA,NA,15790,NA,NA,38460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Goa,42,36,-14.3,27,30,11.1,6,5,-16.7,21,12,-42.9,NA,0,NA,NA,12,NA,11,9,-18.2,7,6,-14.3,4,3,-25,4,7,75,0,0,0,33,25,-24.2,436,359,-17.7,668,576,-13.8,229,168,-26.6,439,408,-7.1,62,64,3.2,30,39,30,48,62,29.2,7,2,-71.4,25,16,-36,196,174,-11.2,2,2,0,20,17,-15,9,7,-22.2,13,11,-15.4,0,0,0,NA,191,NA,762,697,-8.5,2422,2341,-3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Gujarat,1317,1226,-6.9,597,537,-10.1,26,94,261.5,330,286,-13.3,NA,0,NA,NA,286,NA,1125,998,-11.3,868,857,-1.3,257,141,-45.1,339,327,-3.5,5,19,280,1159,991,-14.5,5853,5142,-12.1,16522,15834,-4.2,5239,5504,5.1,11283,10330,-8.4,2262,1930,-14.7,1960,1748,-10.8,1751,1779,1.6,68,55,-19.1,583,449,-23,14629,13760,-5.9,93,67,-28,944,756,-19.9,119,111,-6.7,3739,3667,-1.9,0,0,0,NA,2924,NA,62438,50719,-18.8,115859,103419,-10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Haryana,784,781,-0.4,517,467,-9.7,79,78,-1.3,421,398,-5.5,NA,0,NA,NA,398,NA,460,449,-2.4,299,297,-0.7,161,152,-5.6,108,77,-28.7,127,141,11,428,397,-7.2,3600,3109,-13.6,6513,6117,-6.1,2935,3022,3,3578,3095,-13.5,883,750,-15.1,441,556,26.1,1029,1016,-1.3,18,37,105.6,202,203,0.5,5344,4744,-11.2,263,285,8.4,605,478,-21,423,401,-5.2,1286,1513,17.7,0,0,0,NA,856,NA,15959,15906,-0.3,39490,38759,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Himachal Pradesh,123,119,-3.3,89,75,-15.7,8,11,37.5,129,124,-3.9,NA,0,NA,NA,124,NA,110,126,14.5,95,105,10.5,15,21,40,9,4,-55.6,0,0,0,17,28,64.7,821,844,2.8,690,600,-13,145,142,-2.1,545,458,-16,610,628,3,71,69,-2.8,131,146,11.5,4,2,-50,128,134,4.7,1591,1403,-11.8,4,10,150,288,310,7.6,15,14,-6.7,307,317,3.3,0,0,0,NA,483,NA,5990,6052,1,11135,11499,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Jammu & Kashmir,766,1075,40.3,1028,1474,43.4,25,33,32,183,169,-7.7,NA,0,NA,NA,169,NA,658,606,-7.9,566,504,-11,92,102,10.9,38,24,-36.8,0,0,0,136,161,18.4,1295,1345,3.9,1843,1919,4.1,497,633,27.4,1346,1286,-4.5,934,1072,14.8,103,90,-12.6,361,391,8.3,18,15,-16.7,328,437,33.2,332,318,-4.2,10,13,30,480,622,29.6,342,288,-15.8,51,50,-2,0,0,0,NA,357,NA,8586,9046,5.4,17517,19505,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Jharkhand,NA,1507,NA,NA,866,NA,NA,143,NA,NA,567,NA,NA,0,NA,NA,567,NA,NA,441,NA,NA,279,NA,NA,162,NA,NA,636,NA,NA,48,NA,NA,647,NA,NA,1266,NA,NR,3827,NA,NR,754,NA,NR,3073,NA,NA,2018,NA,NA,283,NA,NA,554,NA,NA,23,NA,NA,165,NA,NR,2254,NA,NR,217,NA,NA,297,NA,NA,5,NA,NA,484,NA,NA,2,NA,NA,420,NA,NA,8777,NA,NA,25447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Karnataka,1694,1626,-4,1550,1475,-4.8,56,74,32.1,281,293,4.3,NA,0,NA,NA,293,NA,587,559,-4.8,323,271,-16.1,264,288,9.1,236,178,-24.6,31,36,16.1,957,847,-11.5,7522,6394,-15,13664,12868,-5.8,3860,4016,4,9804,8852,-9.7,7571,6686,-11.7,514,494,-3.9,2295,2678,16.7,685,131,-80.9,341,352,3.2,23180,23285,0.5,217,220,1.4,1568,1665,6.2,75,81,8,1688,1755,4,0,0,0,NA,100,NA,44698,47301,5.8,109410,109098,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Kerala,465,472,1.5,504,615,22,95,111,16.8,552,562,1.8,NA,0,NA,NA,562,NA,139,183,31.7,89,97,9,50,86,72,119,176,47.9,3,13,333.3,375,517,37.9,4321,4474,3.5,4026,5441,35.1,1367,1795,31.3,2659,3646,37.1,7149,8108,13.4,411,428,4.1,2549,2756,8.1,175,239,36.6,359,768,113.9,17928,19829,10.6,25,27,8,1695,1942,14.6,69,81,17.4,2418,2561,5.9,0,0,0,NA,0,NA,55656,54544,-2,99033,103847,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Madhya Pradesh,3415,2425,-29,3287,2870,-12.7,223,125,-43.9,3737,2851,-23.7,NA,0,NA,NA,2851,NA,1177,956,-18.8,869,668,-23.1,308,288,-6.5,210,166,-21,146,130,-11,1850,1764,-4.6,17245,13549,-21.4,25534,20263,-20.6,4933,4535,-8.1,20601,15728,-23.7,4169,3395,-18.6,652,481,-26.2,1760,1413,-19.7,44,19,-56.8,1305,1014,-22.3,33080,30895,-6.6,685,609,-11.1,8516,7063,-17.1,840,751,-10.6,3092,2562,-17.1,4,0,-100,NA,3297,NA,105470,85143,-19.3,216441,181741,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Maharashtra,2857,2839,-0.6,1464,1454,-0.7,94,101,7.4,1310,1302,-0.6,NA,0,NA,NA,1302,NA,1050,985,-6.2,662,611,-7.7,388,374,-3.6,553,529,-4.3,288,328,13.9,2530,2239,-11.5,14930,15073,1,41470,39866,-3.9,8516,8873,4.2,32954,30993,-6,5633,6719,19.3,1701,1542,-9.3,3877,4273,10.2,230,265,15.2,1212,1208,-0.3,28642,30212,5.5,371,308,-17,2805,2823,0.6,930,1120,20.4,6768,6090,-10,0,1,NA,NA,8993,NA,54751,42963,-21.5,173466,171233,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@
State,Manipur,217,209,-3.7,142,168,18.3,5,5,0,8,20,150,NA,0,NA,NA,20,NA,92,94,2.2,44,62,40.9,48,32,-33.3,12,20,66.7,1,17,1600,27,19,-29.6,74,75,1.4,211,217,2.8,58,71,22.4,153,146,-4.6,94,131,39.4,13,33,153.8,142,66,-53.5,17,20,17.6,61,64,4.9,258,201,-22.1,0,0,0,18,21,16.7,0,0,0,4,5,25,0,0,0,NA,7,NA,1181,1097,-7.1,2577,2489,-3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Meghalaya,124,164,32.3,49,47,-4.1,5,2,-60,35,26,-25.7,NA,0,NA,NA,26,NA,31,55,77.4,13,11,-15.4,18,44,144.4,92,97,5.4,1,3,200,125,125,0,167,170,1.8,380,271,-28.7,27,16,-40.7,353,255,-27.8,10,8,-20,15,19,26.7,33,29,-12.1,6,3,-50,21,26,23.8,102,102,0,0,0,0,8,25,212.5,13,0,-100,0,4,NA,0,0,0,NA,0,NA,485,511,5.4,1702,1687,-0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA
