Category,States/UTs/Cities,Arms Act - 2000,Arms Act - 2001,Arms Act - PVR,Narcotic Drugs & Psychoropic Substances Act - 2000,Narcotic Drugs & Psychoropic Substances Act - 2001,Narcotic Drugs & Psychoropic Substances Act - PVR,Gambling Act - 2000,Gambling Act - 2001,Gambling Act - PVR,Excise Act - 2000,Excise Act - 2001,Excise Act - PVR,Prohibition Act - 2000,Prohibition Act - 2001,Prohibition Act - PVR,Explosive & Explosive Substances Act - 2000,Explosive & Explosive Substances Act - 2001,Explosive & Explosive Substances Act - PVR,Immoral Traffic (P) Act - 2000,Immoral Traffic (P) Act - 2001,Immoral Traffic (P) Act - PVR,Indian Railways Act - 2000,Indian Railways Act - 2001,Indian Railways Act - PVR,Registration of Foreigners Act - 2000,Registration of Foreigners Act - 2001,Registration of Foreigners Act - PVR,Protection of Civil Rights Act (Total) - 2000,Protection of Civil Rights Act (Total) - 2001,Protection of Civil Rights Act (Total) - PVR,PCR Act for SCs - 2000,PCR Act for SCs - 2001,PCR Act for SCs - PVR,PCR Act for STs - 2000,PCR Act for STs - 2001,PCR Act for STs - PVR,Indian Passport Act - 2000,Indian Passport Act - 2001,Indian Passport Act - PVR,Essential Commodities Act - 2000,Essential Commodities Act - 2001,Essential Commodities Act - PVR,Terrorist & Disruptive Activities Act - 2000,Terrorist & Disruptive Activities Act - 2001,Terrorist & Disruptive Activities Act - PVR,Antiquity & Art Treasure Act - 2000,Antiquity & Art Treasure Act - 2001,Antiquity & Art Treasure Act - PVR,Dowry Prohibition Act - 2000,Dowry Prohibition Act - 2001,Dowry Prohibition Act - PVR,Child Marriage Restraint Act - 2000,Child Marriage Restraint Act - 2001,Child Marriage Restraint Act - PVR,Indecent Representation of Women (P) Act - 2000,Indecent Representation of Women (P) Act - 2001,Indecent Representation of Women (P) Act - PVR,Copy Right Act - 2000,Copy Right Act - 2001,Copy Right Act - PVR,Sati Prevention Act - 2000,Sati Prevention Act - 2001,Sati Prevention Act - PVR,SC/ST (Prevention of Atrocities) Act (Total) - 2000,SC/ST (Prevention of Atrocities) Act (Total) - 2001,SC/ST (Prevention of Atrocities) Act (Total) - PVR,SC/ST (Prev.) of Atrocities Act for SCs - 2000,SC/ST (Prev.) of Atrocities Act for SCs - 2001,SC/ST (Prev.) of Atrocities Act for SCs - PVR,SC/ST (Prev.) of Atrocities Act for STs - 2000,SC/ST (Prev.) of Atrocities Act for STs - 2001,SC/ST (Prev.) of Atrocities Act for STs - PVR,Forest Act - 2000,Forest Act - 2001,Forest Act - PVR,Other SLL Crimes - 2000,Other SLL Crimes - 2001,Other SLL Crimes - PVR,Total Cognizable Crimes under SLL - 2000,Total Cognizable Crimes under SLL - 2001,Total Cognizable Crimes under SLL - PVR,Note of Arms Act - PVR,Note of Narcotic Drugs & Psychoropic Substances Act - PVR,Note of Gambling Act - PVR,Note of Excise Act - PVR,Note of Prohibition Act - PVR,Note of Explosive & Explosive Substances Act - PVR,Note of Immoral Traffic (P) Act - PVR,Note of Registration of Foreigners Act - PVR,Note of Protection of Civil Rights Act (Total) - PVR,Note of Indian Passport Act - PVR,Note of Essential Commodities Act - PVR,Note of Antiquity & Art Treasure Act - PVR,Note of Dowry Prohibition Act - PVR,Note of Child Marriage Restraint Act - PVR,Note of Indecent Representation of Women (P) Act - PVR,Note of Copy Right Act - PVR,Note of SC/ST (Prevention of Atrocities) Act (Total) - PVR,Note of Forest Act - PVR,Note of Other SLL Crimes - PVR
State,Andhra Pradesh,519,386,-25.6,680,651,-4.3,38369,33865,-11.7,2904,2871,-1.1,2778,1685,-39.3,646,488,-24.5,482,1332,176.3,688,43,-93.8,2,4,100,281,338,20.3,NA,312,NA,NA,26,NA,25,67,168,44,42,-4.5,0,0,0,13,8,-38.5,426,551,29.3,7,6,-14.3,379,925,144.1,123,222,80.5,0,0,0,682,1079,58.2,NA,950,NA,NA,129,NA,77,33,-57.1,520712,480931,-7.6,569837,525527,-7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Arunachal Pradesh,14,10,-28.6,7,17,142.9,0,0,0,0,0,0,0,0,0,4,2,-50,0,0,0,0,0,0,2,1,-50,0,0,0,NA,0,NA,NA,0,NA,1,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,8,26,225,36,56,55.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Assam,425,388,-8.7,131,146,11.5,111,103,-7.2,84,182,116.7,72,2,-97.2,90,75,-16.7,17,6,-64.7,9,14,55.6,2,1,-50,0,0,0,NA,0,NA,NA,0,NA,3,9,200,26,36,38.5,0,0,0,0,0,0,29,179,517.2,0,0,0,0,10,NA,4,3,-25,0,0,0,0,0,0,NA,0,NA,NA,0,NA,5,14,180,1441,1192,-17.3,2449,2360,-3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA
State,Bihar,2704,2861,5.8,212,225,6.1,155,174,12.3,1501,1285,-14.4,0,2,NA,294,378,28.6,9,29,222.2,35,45,28.6,3,3,0,0,89,NA,NA,81,NA,NA,8,NA,0,1,NA,272,244,-10.3,12,0,-100,0,0,0,868,835,-3.8,1,2,100,53,3,-94.3,5,8,60,0,0,0,725,523,NA,NA,513,NA,NA,10,NA,86,56,-34.9,1009,1315,30.3,7944,8078,1.7,NA,NA,NA,NA,@,NA,NA,NA,@,@,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Chhattisgarh,NA,551,NA,NA,299,NA,NA,6934,NA,NA,8907,NA,NA,0,NA,NA,207,NA,NA,12,NA,NA,7325,NA,NA,0,NA,NA,3,NA,NA,1,NA,NA,2,NA,NA,0,NA,NA,87,NA,NA,0,NA,NA,0,NA,NA,13,NA,NA,0,NA,NA,0,NA,NA,47,NA,NA,0,NA,NA,170,-76.6,NA,164,NA,NA,6,NA,NA,16,NA,NA,103241,NA,NA,127812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Goa,5,34,580,42,29,-31,1014,1238,22.1,0,0,0,0,0,0,2,3,50,28,28,0,3,0,-100,7,4,-42.9,0,0,0,NA,0,NA,NA,0,NA,0,0,0,2,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,NA,0,0,0,1,1,0,NA,1,NA,NA,0,NA,0,0,0,532,596,12,1636,1951,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA
State,Gujarat,324,245,-24.4,134,119,-11.2,7090,7850,10.7,0,0,0,106615,112114,5.2,58,46,-20.7,47,61,29.8,1775,1874,5.6,16,20,25,26,19,-26.9,NA,16,NA,NA,3,NA,23,18,-21.7,191,120,-37.2,0,0,0,1,0,-100,0,0,0,31,11,-64.5,0,0,0,221,174,-21.3,0,0,0,517,446,-13.7,NA,356,NA,NA,90,NA,5,1,-80,35802,37945,6,152876,161063,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Haryana,1066,1275,19.6,1168,1322,13.2,4399,5962,35.5,11788,12223,3.7,0,0,0,36,32,-11.1,13,21,61.5,883,1052,19.1,3,5,66.7,0,1,NA,NA,1,NA,NA,0,NA,4,1,-75,156,131,-16,0,0,0,2,0,-100,1,0,-100,2,0,-100,0,0,0,60,105,75,0,0,0,40,33,-17.5,NA,33,NA,NA,0,NA,0,0,0,3109,2864,-7.9,22730,25027,10.1,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Himachal Pradesh,17,20,17.6,194,229,18,229,314,37.1,2967,2949,-0.6,0,0,0,7,8,14.3,1,1,0,2,1,-50,9,8,-11.1,11,4,-63.6,NA,4,NA,NA,0,NA,0,0,0,11,10,-9.1,0,0,0,0,0,0,3,9,200,4,0,-100,0,0,0,6,18,200,0,0,0,20,43,115,NA,41,NA,NA,2,NA,284,279,-1.8,76,123,61.8,3841,4016,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Jammu & Kashmir,1338,1259,-5.9,115,111,-3.5,58,72,24.1,313,314,0.3,0,0,0,306,353,15.4,2,7,250,0,0,0,9,19,111.1,2,0,-100,NA,0,NA,NA,0,NA,21,7,-66.7,575,591,2.8,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,0,3,4,33.3,0,0,0,0,0,0,NA,0,NA,NA,0,NA,16,6,-62.5,517,251,-51.5,3275,2997,-8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,@,NA,NA,NA,NA,NA,NA
