Category,States/UTs,Persons in Cust./ Bail during investigation at Beginning of the Year,Persons Arrested during the Year,Persons Released by Police/ Magistrate before Trial,Persons in Custody/ Bail during Investigation at the end of Year,Persons in whose Cases Chargesheets were Laid,Persons under Trial at the Beginning of Year,Total Persons under Trial,No. of Persons whose Cases Withdrawn or Otherwise Disposed of,Persons in Custody/ Bail during Trial at the end of Year,Persons in whose Cases Trial Completed,Persons Convicted,Persons Acquitted,Percentage of Persons Convicted to Trial Completed,Persons Reported for Regular Deptt. Action,Persons Reported for Suitable Action,Persons Punished Departmentally - Dismissed from Service,Persons Punished Departmentally - Removed from Service,Persons Punished Departmentally - Awarded other Major Punishment,Persons Punished Departmentally - Awarded Minor Punishment,Gazetted or Equal Status Officers in Public Undertaking involved - Group 'A' Officers,Gazetted or Equal Status Officers in Public Undertaking involved - Group 'B' Officers,Non Gazetted or Equal Status Officers in Govt. or Public Undertaking involved,Private Persons involved
State,Andhra Pradesh,92,201,83,54,156,479,635,5,586,44,22,22,50,17,0,0,0,0,13,0,0,133,5
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,27,3,0,5,25,27,52,1,50,1,0,1,0,0,0,0,0,0,0,0,8,17,0
State,Bihar,27,26,0,10,43,1097,1140,2,1128,10,8,2,80,1,0,0,0,0,0,8,17,35,23
State,Chhattisgarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Goa,8,14,1,17,4,24,28,0,27,1,0,1,0,0,0,0,0,0,0,1,0,4,9
State,Gujarat,27,281,2,44,262,1903,2165,2,1998,165,24,141,14.5,9,0,0,0,0,2,35,6,189,18
State,Haryana,1805,198,7,906,1090,1235,2325,24,2238,63,4,59,6.3,0,0,0,0,0,0,0,43,87,79
State,Himachal Pradesh,96,58,14,105,35,103,138,4,111,23,4,19,17.4,2,2,0,0,0,0,18,31,19,13
State,Jammu & Kashmir,204,134,0,259,79,2108,2187,4,2146,37,6,31,16.2,140,0,0,0,0,0,0,44,53,9
State,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Karnataka,473,202,152,425,98,1145,1243,7,1062,174,15,159,8.6,1,0,0,0,0,0,24,32,140,6
State,Kerala,185,49,49,0,185,453,638,0,560,78,58,20,74.4,33,0,0,0,0,0,0,404,502,476
State,Madhya Pradesh,411,66,0,288,189,942,1131,17,900,214,69,145,32.2,4,0,0,0,0,4,28,97,208,14
State,Maharashtra,835,712,15,803,729,3205,3934,7,3564,363,117,246,32.2,8,0,0,0,45,23,37,83,514,78
State,Manipur,4,6,5,3,2,16,18,0,18,0,0,0,0,0,0,0,0,0,0,2,0,4,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,4,1,1,1,3,2,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,19,0,0,19,0,19,0,19,0,0,0,0,0,11,1,0,0,0,8,2,13,1
State,Orissa,78,239,91,75,151,1708,1859,7,1789,63,10,53,15.9,208,5,0,0,9,4,77,71,296,46
State,Punjab,90,411,3,219,279,1439,1718,51,1512,155,43,112,27.7,0,0,0,0,0,4,4,73,191,143
State,Rajasthan,196,216,0,118,294,2109,2403,0,2058,345,77,268,22.3,139,139,1,1,4,24,0,11,19,0
State,Sikkim,4,4,1,4,3,6,9,0,3,6,3,3,50,1,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,437,129,0,448,118,181,299,0,274,25,13,12,52,32,0,2,3,4,9,1,25,100,3
State,Tripura,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
State,Uttar Pradesh,53,108,1,41,119,163,282,2,277,3,0,3,0,1,5,0,0,6,0,3,0,109,20
State,Uttaranchal,5,4,0,5,4,8,12,3,8,1,0,1,0,1,1,0,0,0,1,0,0,1,0
State,West Bengal,33,4,0,33,4,53,57,0,56,1,1,0,100,0,0,0,0,0,0,2,0,2,0
State,Total (States),5094,3088,425,3866,3891,18406,22297,137,20388,1772,474,1298,26.7,597,163,4,4,68,84,248,947,2637,943
Union Territory,A & N Islands,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,9,43,5,35,12,60,72,0,71,1,0,1,0,0,0,0,0,0,0,2,0,8,33
Union Territory,D & N Haveli,2,0,0,2,0,4,4,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,144,87,5,103,123,443,566,12,477,77,5,72,6.5,78,0,0,0,0,0,0,7,69,11
Union Territory,Lakshadweep,0,0,0,0,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,4,5,0,8,1,7,8,0,8,0,0,0,0,0,0,0,0,0,0,1,0,3,6
Union Territory,Total (UTs),167,135,10,156,136,521,657,12,566,79,5,74,6.3,78,0,0,0,0,0,3,7,80,50
Total (All-India),Total (All-India),5261,3223,435,4022,4027,18927,22954,149,20954,1851,479,1372,25.9,675,163,4,4,68,84,251,954,2717,993
