Crime Head,Total No. Persons under Arrest* Including those from Previous Year,Persons Released before Trial - No.,Persons Released before Trial - Percentage to Total,Persons Chargesheeted - No.,Persons Chargesheeted - Percentage to Total,Persons under Investigation at the end of the Year - No.,Persons under Investigation at the end of the Year - Percentage to Total
Arms Act,76863,1538,2,63814,83,11511,15
Narcotic Drugs & Psy. Substances Act,35537,511,1.4,25721,72.4,9305,26.2
Gambling Act,323407,1048,0.3,307806,95.2,14553,4.5
Excise Act,144444,2970,2.1,125386,86.8,16088,11.1
Prohibition Act,612167,6654,1.1,512512,83.7,93001,15.2
Explosive & Explosive Substances Act,9247,450,4.9,5801,62.7,2996,32.4
Immoral Traffic (P) Act,13627,116,0.9,12645,92.8,866,6.4
Indian Railways Act,70526,14,0,70162,99.5,350,0.5
Registration of Foreigners Act,3306,34,1,2585,78.2,687,20.8
Protection of Civil Rights Act - Total,1397,95,6.8,1130,80.9,172,12.3
Protection of Civil Rights Act - (i) PCR Act for SCs,1329,82,6.2,1087,81.8,160,12
Protection of Civil Rights Act - (ii) PCR Act for STs,68,13,19.1,43,63.2,12,17.6
Indian Passport Act,1015,75,7.4,568,56,372,36.7
Essential Commodities Act,10064,982,9.8,6233,61.9,2849,28.3
Terrorist & Disruptive Activities Act,2583,169,6.5,214,8.3,2200,85.2
Antiquity & Art Treasure Act,73,2,2.7,22,30.1,49,67.1
Dowry Prohibition Act,9309,666,7.2,6382,68.6,2261,24.3
Child Marriage Restraint Act,321,0,0,303,94.4,18,5.6
Indecent Representation of Women (P) Act,806,1,0.1,675,83.7,130,16.1
Copyrights Act,4546,96,2.1,3511,77.2,939,20.7
Sati Prevention Act,0,0,0,0,0,0,0
SC/ST (Prevention of Atrocities) Act - Total,32618,1325,4.1,27111,83.1,4182,12.8
SC/ST (Prevention of Atrocities) Act - (i) Atrocities Act for SCs,29756,1287,4.3,24554,82.5,3915,13.2
SC/ST (Prevention of Atrocities) Act - (ii) Atrocities Act for STs,2862,38,1.3,2557,89.3,267,9.3
Forest Act,11152,402,3.6,10260,92,490,4.4
Other SLL Crimes,2990014,173960,5.8,2755461,92.2,60593,2
Total Cognizable Crimes under SLL,4353022,191108,4.4,3938302,90.5,223612,5.1
