Crime Head,2000,2001,Percentage Variation in 2001 over 2000,Percentage Share of Arrestees under Each Crime during 2001
Arms Act,64930,64772,-0.2,1.6
Narcotic Drugs & Psychotropic Substances Act,25126,26825,6.8,0.6
Gambling Act,301886,311186,3.1,7.5
Excise Act,127911,125553,-1.8,3
Prohibition Act,536379,527475,-1.7,12.8
Explosive & Explosive Substances Act,6177,6025,-2.5,0.1
Immoral Traffic (P) Act,13870,12823,-7.5,0.3
Indian Railways Act,55516,70167,26.4,1.7
Registration of foreigners Act,2641,2755,4.3,0.1
Protection of Civil Rights Act - Total,1260,1165,-7.5,0
Protection of Civil Rights Act - (i) PCR Act for SCs,NA,1101,NA,0
Protection of Civil Rights Act - (ii) PCR Act for STs,NA,64,NA,0
Indian Passport Act,630,656,4.1,0
Essential Commodities Act,6493,6420,-1.1,0.2
TerroriST & Disruptive Activities Act,43,15,-65.1,0
Antiquity & Art Treasure Act,48,41,-14.6,0
Dowry Prohibition Act,6711,7056,5.1,0.2
Child Marriage Restraint Act,332,281,-15.4,0
Indecent Representation of Women (P) Act,2373,694,-70.8,0
Copyrights Act,3688,3833,3.9,0.1
Sati Prevention Act,0,0,NA,NA
SC/ST (Prevention of Atrocities) Act - Total,26773,28408,6.1,0.7
SC/ST (Prevention of Atrocities) Act - (i) Attrocities Act for SCs,NA,25808,NA,0.6
SC/ST (Prevention of Atrocities) Act - (ii) Attrocities Act for STs,NA,2600,NA,0.1
Forest Act,9590,10450,9,0.3
Other SLL Crimes,2754205,2925131,6.2,70.8
Total Cognizable Crimes under SLL,3946582,4131731,4.7,100
