Category,States/ UTs,DG/Addl.DG/IG/DIG - Sanctioned,DG/Addl.DG/IG/DIG - Actual,SSP/SP/Addl.SP/ ASP/DY.SP - Sanctioned,SSP/SP/Addl.SP/ ASP/DY.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers below A.S.I. - Sanctioned,Officers below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,Andhra Pradesh,0,0,74,69,1097,835,12308,11606,13479,12510
State,Arunachal Pradesh,0,0,24,18,81,78,2186,2136,2291,2232
State,Assam,0,0,202,187,1006,970,24712,22806,25920,23963
State,Bihar,0,0,0,0,10,6,387,367,397,373
State,Chhattisgarh,0,0,12,15,72,70,1247,1218,1331,1303
State,Goa,0,0,5,2,38,40,578,541,621,583
State,Gujarat,0,0,42,33,1490,1392,10653,10166,12185,11591
State,Haryana,3,3,21,18,293,288,4385,4111,4702,4420
State,Himachal Pradesh,3,3,42,24,268,209,4930,3437,5243,3673
State,Jammu & Kashmir,4,4,201,201,972,972,17582,17582,18759,18759
State,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Karnataka,0,0,2,2,61,61,957,957,1020,1020
State,Kerala,0,0,59,37,404,378,8889,7431,9352,7846
State,Madhya Pradesh,9,9,162,162,2673,2673,25213,25213,28057,28057
State,Maharashtra,4,0,79,40,2040,1360,13869,11985,15992,13385
State,Manipur,4,3,90,82,325,325,9133,9062,9552,9472
State,Meghalaya,0,0,23,30,138,99,4801,2570,4962,2699
State,Mizoram,0,0,43,37,145,121,3645,3532,3833,3690
State,Nagaland,0,0,37,37,171,171,6388,6388,6596,6596
State,Orissa,0,0,95,74,575,457,8493,7754,9163,8285
State,Punjab,11,9,225,113,1018,938,17702,15467,18956,16527
State,Rajasthan,4,4,97,60,464,320,12155,11198,12720,11582
State,Sikkim,1,1,12,6,78,41,1826,1226,1917,1274
State,Tamil Nadu,3,3,65,56,531,481,11076,10188,11675,10728
State,Tripura,1,1,80,36,368,214,9324,6510,9773,6761
State,Uttar Pradesh,13,13,159,119,1139,1014,32070,32037,33381,33183
State,Uttaranchal,0,0,0,0,108,78,2914,2588,3022,2666
State,West Bengal,9,9,150,115,1378,1206,23388,20557,24925,21887
State,Total (States),69,62,2001,1573,17915,14797,270811,248633,289824,265065
Union Territory,A & N Islands,1,1,3,2,34,33,791,730,829,766
Union Territory,Chandigarh,0,0,2,0,36,0,1115,0,1153,0
Union Territory,D & N Haveli,0,0,0,0,2,2,94,92,96,94
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,2,2,54,53,528,515,9844,9863,10428,10433
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,1,1,24,24,658,658,683,683
Union Territory,Total (UTs),3,3,60,56,624,574,12502,11343,13189,11976
Total (All-India),Total (All-India),72,65,2061,1629,18539,15371,283313,259976,303013,277041
