Category,States/UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape,Kidnapping and Abduction,Dacoity,Preparation and Assembly for Dacoity,Robbery,Riots,Arson,Dowry Death,Total Violent Crimes,Percentage Share to All-India Crimes,Rate of Violent Crimes,Percentage to Total Cognizable Crimes under IPC
State,Andhra Pradesh,2602,1555,136,871,1182,214,9,629,3001,872,420,11491,5,15.2,8.8
State,Arunachal Pradesh,83,53,3,33,83,22,2,84,24,13,0,400,0.2,36.7,17.1
State,Assam,1356,481,40,817,1480,532,14,687,2953,441,59,8860,3.8,33.3,24
State,Bihar,3643,3419,250,888,2159,1291,147,2203,8606,502,859,23967,10.4,28.9,27.1
State,Chhattisgarh,880,529,45,959,207,87,19,338,871,215,70,4220,1.8,20.3,11
State,Goa,36,30,5,12,9,7,0,25,64,16,2,206,0.1,15.3,8.8
State,Gujarat,1226,537,94,286,998,327,19,991,1930,449,67,6924,3,13.7,6.7
State,Haryana,781,467,78,398,449,77,141,397,750,203,285,4026,1.7,19.1,10.4
State,Himachal Pradesh,119,75,11,124,126,4,0,28,628,134,10,1259,0.5,20.7,10.9
State,Jammu & Kashmir,1075,1474,33,169,606,24,0,161,1072,437,13,5064,2.2,50.3,26
State,Jharkhand,1507,866,143,567,441,636,48,647,2018,165,217,7255,3.1,27,28.5
State,Karnataka,1626,1475,74,293,559,178,36,847,6686,352,220,12346,5.3,23.4,11.3
State,Kerala,472,615,111,562,183,176,13,517,8108,768,27,11552,5,36.3,11.1
State,Madhya Pradesh,2425,2870,125,2851,956,166,130,1764,3395,1014,609,16305,7.1,27,9
State,Maharashtra,2839,1454,101,1302,985,529,328,2239,6719,1208,308,18012,7.8,18.6,10.5
State,Manipur,209,168,5,20,94,20,17,19,131,64,0,747,0.3,31.3,30
State,Meghalaya,164,47,2,26,55,97,3,125,8,26,0,553,0.2,24,32.8
State,Mizoram,31,15,5,52,2,3,0,23,3,24,0,158,0.1,17.7,7
State,Nagaland,101,39,9,17,23,11,0,129,2,1,0,332,0.1,16.7,26.9
State,Orissa,987,1151,53,790,522,199,22,958,1426,423,294,6825,3,18.6,14.6
State,Punjab,738,789,80,298,513,45,84,131,1,63,159,2901,1.3,11.9,10.4
State,Rajasthan,1259,1923,63,1049,2718,60,40,889,11214,1092,376,20683,9,36.6,13.3
State,Sikkim,19,11,7,8,6,0,0,3,3,1,0,58,0,10.7,13.1
State,Tamil Nadu,1662,2204,19,423,952,158,6,672,5196,980,191,12463,5.4,20.1,8.1
State,Tripura,240,25,0,102,93,26,0,63,138,31,16,734,0.3,23,26.2
State,Uttar Pradesh,7601,7964,1186,1958,4330,905,38,3825,7343,812,2211,38173,16.5,23,21.4
State,Uttaranchal,316,279,38,74,183,32,3,191,440,30,56,1642,0.7,19.4,20.3
State,West Bengal,1594,449,581,709,875,274,421,660,3095,102,265,9025,3.9,11.3,14.7
State,Total (States),35591,30964,3297,15658,20789,6100,1540,19245,75825,10438,6734,226181,97.9,22.4,13.3
Union Territory,A & N Islands,13,0,0,3,2,0,0,4,13,4,0,39,0,11,5.9
Union Territory,Chandigarh,15,10,6,18,56,5,0,22,91,5,3,231,0.1,25.6,6.8
Union Territory,D & N Haveli,3,2,0,6,4,0,0,2,4,1,0,22,0,10,6.3
Union Territory,Daman & Diu,7,5,0,0,5,0,0,0,23,3,0,43,0,27.2,18
Union Territory,Delhi,547,510,63,381,1627,48,74,624,165,50,113,4202,1.8,30.5,7.7
Union Territory,Lakshadweep,1,0,0,0,0,0,0,0,1,2,0,4,0,6.6,11.1
Union Territory,Pondicherry,25,32,1,9,4,1,0,4,100,31,1,208,0.1,21.4,5.1
Union Territory,Total (UTs),611,559,70,417,1698,54,74,656,397,96,117,4749,2.1,28.9,7.5
Total (All-India),Total (All-India),36202,31523,3367,16075,22487,6154,1614,19901,76222,10534,6851,230930,100,22.5,13.1
