Category,States/UTs,Criminal Breach of Trust,Cheating,Counterfeiting,Total Economic Crimes,Percentage Share to All-India,Crime Rate of Economic Crimes,Percentage to Total Cog. Crimes under IPC
State,Andhra Pradesh,788,5391,144,6323,10.33,8.35,4.86
State,Arunachal Pradesh,41,30,4,75,0.12,6.87,3.2
State,Assam,374,575,46,995,1.63,3.74,2.7
State,Bihar,946,1659,85,2690,4.39,3.25,3.04
State,Chhattisgarh,154,402,8,564,0.92,2.71,1.47
State,Goa,39,62,2,103,0.17,7.66,4.4
State,Gujarat,1748,1779,55,3582,5.85,7.08,3.46
State,Haryana,556,1016,37,1609,2.63,7.63,4.15
State,Himachal Pradesh,69,146,2,217,0.35,3.57,1.89
State,Jammu & Kashmir,90,391,15,496,0.81,4.93,2.54
State,Jharkhand,283,554,23,860,1.41,3.2,3.38
State,Karnataka,494,2678,131,3303,5.4,6.26,3.03
State,Kerala,428,2756,239,3423,5.59,10.75,3.3
State,Madhya Pradesh,481,1413,19,1913,3.13,3.17,1.05
State,Maharashtra,1542,4273,265,6080,9.93,6.28,3.55
State,Manipur,33,66,20,119,0.19,4.98,4.78
State,Meghalaya,19,29,3,51,0.08,2.21,3.02
State,Mizoram,23,71,12,106,0.17,11.9,4.72
State,Nagaland,20,34,2,56,0.09,2.82,4.54
State,Orissa,285,681,10,976,1.59,2.66,2.09
State,Punjab,368,2621,58,3047,4.98,12.54,10.97
State,Rajasthan,1026,6644,89,7759,12.68,13.74,5
State,Sikkim,1,13,0,14,0.02,2.59,3.15
State,Tamil Nadu,360,2139,104,2603,4.25,4.19,1.68
State,Tripura,4,17,6,27,0.04,0.85,0.96
State,Uttar Pradesh,3430,5363,147,8940,14.61,5.38,5.02
State,Uttaranchal,171,318,4,493,0.81,5.81,6.11
State,West Bengal,486,1216,102,1804,2.95,2.25,2.93
State,Total (States),14259,42337,1632,58228,95.13,5.76,3.41
Union Territory,A & N Islands,10,8,2,20,0.03,5.62,3.04
Union Territory,Chandigarh,26,155,2,183,0.3,20.31,5.39
Union Territory,D & N Haveli,13,12,1,26,0.04,11.82,7.43
Union Territory,Daman & Diu,5,9,1,15,0.02,9.49,6.28
Union Territory,Delhi,479,2183,42,2704,4.42,19.62,4.97
Union Territory,Lakshadweep,1,0,0,1,0,1.64,2.78
Union Territory,Pondicherry,5,23,3,31,0.05,3.18,0.76
Union Territory,Total (UTs),539,2390,51,2980,4.87,18.11,4.72
Total (All-India),Total (All-India),14798,44727,1683,61208,100,5.96,3.46
