Crime Head (Col.1),Cases Withdrawn by Govt. (Col.2),Percentage of Cases to Total Cases for Investigation in which Investigation was Refused (Col.3),Percentage of Cases to Total Cases for Investigation in which Investigation was Completed - Charge Found False/Mistake of Fact or Law Etc. (Col.4),Percentage of Cases to Total Cases for Investigation in which Investigation was Completed - Final Report True Submitted (Col.5),Percentage of Cases to Total Cases for Investigation in which Investigation was Completed - Chargesheets were Submitted (Col.6),Percentage of Cases to Total Cases for Investigation in which Investigation was Completed - Total {(Col.4) + (Col.5) + (Col.6)} = (Col.7),Percentage of Cases Pending Investigation (Col.8),Chargesheeting Rate {(Col.6)/(Col.5 + Col.6) X 100} = (Col.9)
Arms Act,0,0,0.2,2.9,80.3,83.3,16.6,96.6
Narcotic Drugs & Psychotropic Substances Act,0.1,0.4,0.5,1.5,70.6,72.6,26.9,98
Gambling Act,0.1,0,0,0.6,94.9,95.5,4.3,99.3
Excise Act,0.1,1.6,0.2,1.2,84.8,86.3,12,98.6
Prohibition Act,0,0.5,0.3,3.7,78.7,82.7,16.8,95.5
Explosive & Explosive Substances Act,0,0.2,1.1,9.9,50.3,61.2,38.6,83.6
Immoral Traffic (P) Act,0,0,0.1,0.1,92,92.2,7.8,99.8
Indian Railways Act,0,0,0.2,1.1,98.1,99.3,0.6,98.9
Registration of Foreigners Act,0,0.1,0.1,3.7,76.7,80.4,19.6,95.4
Protection of Civil Rights Act - Total,0,0.2,20.9,4.8,54.7,80.3,19.5,92
Protection of Civil Rights Act - (i) PCR Act for SCs,0,0.2,21.5,5.1,54.7,81.3,18.5,91.5
Protection of Civil Rights Act - (ii) PCR Act for STs,0,0,11.5,0,54.1,70.7,34.4,100
Indian Passport Act,0,0.7,4.6,6.9,40.9,52.4,47,85.7
Essential Commodities Act,0,0.2,3.1,5.5,53.9,62.5,37.3,90.8
Terrorist & Disruptive Activities Act,0,0,0,24.7,14.8,39.5,60.5,37.5
Antiquity & Art Treasure Act,0,3.8,9,3.8,20.5,33.3,62.8,84.2
Dowry Prohibition Act,0,0.4,5.3,6.9,60,72.2,27.4,89.7
Child Marriage Restraint Act,0,0.9,12.3,2.8,71.7,86.8,12.3,96.2
Indecent Representation of Women (P) Act,0,0.1,0.3,0.4,87.6,88.3,11.7,99.5
Copyrights Act,0.2,0.3,0.8,1.4,72.8,74.9,24.6,98.1
Sati Prevention Act,0,0,0,0,0,0,0,0
SC/ST (Prevention of Atrocities) Act - Total,0.1,0.3,18.7,5.5,58.1,82.4,17.3,91.3
SC/ST (Prevention of Atrocities) Act - (i) Atrocities Act for SCs,0,0.3,17.7,5.9,58.4,82,17.7,90.8
SC/ST (Prevention of Atrocities) Act - (ii) Atrocities Act for STs,0.6,0.1,27.1,2.4,56.1,85.6,13.8,95.9
Forest Act,0.2,2.1,1.7,4.8,85.3,91.8,5.9,94.7
Other SLL Crimes,0,1.3,1.4,1.9,94.3,97.6,1.2,98
Total Cognizable Crimes under SLL,0,1,1.2,2.2,90.6,93.9,5,97.7
