Nature of Property,Number of Cases in which Property was Stolen,Number of Cases in which Property was Recovered,Percentage of Recovery (Cases),Value of Property (Rs.in lakh) Stolen,Value of Property (Rs.in lakh) Recovered,Percentage Recovery
Communication & Electricity Wire,12443,3797,30.5,2017,538.1,26.7
Cattle,7892,4454,56.4,759,445.1,58.6
Cycle,15868,9330,58.8,232.7,140.2,60.2
Motor Vehicles - Total,62529,20649,33,35747.1,13906.6,38.9
Motor Vehicles - (i) Motor Cycle & Scooter Etc.,45036,14512,32.2,11213.9,4147.6,37
Motor Vehicles - (ii) Motor Car/taxi/jeep,13376,4337,32.4,18008.2,6442.4,35.8
Motor Vehicles - (iii) Other Motor Vehicles,4117,1800,43.7,6525,3316.6,50.8
Fire Arms,452,159,35.2,153.4,59.3,38.7
Explosives/Explosive Substances,51,30,58.8,10.9,2.7,24.5
Electronic Equipments,10505,3746,35.7,1550.8,605.9,39.1
Cultural Property including Antiques,1913,705,36.9,655.6,445.6,68
Other Kinds of Property Stolen,283765,93551,33,110596.7,28589.2,25.8
Total,395418,136421,34.5,151723.2,44732.6,29.5
