Purpose,Total No. of Cases Reported,Sex-wise/Age Group-wise - Upto 10 Years - Male,Sex-wise/Age Group-wise - Upto 10 Years - Female,Sex-wise/Age Group-wise - 10 - 15 Years - Male,Sex-wise/Age Group-wise - 10 - 15 Years - Female,Sex-wise/Age Group-wise - 15 - 18 Years - Male,Sex-wise/Age Group-wise - 15 - 18 Years - Female,Sex-wise/Age Group-wise - 18 - 30 Years - Male,Sex-wise/Age Group-wise - 18 - 30 Years - Female,Sex-wise/Age Group-wise - 30- 50 Years - Male,Sex-wise/Age Group-wise - 30- 50 Years - Female,Sex-wise/Age Group-wise - Above 50 Years - Male,Sex-wise/Age Group-wise - Above 50 Years - Female,Sex-wise/Age Group-wise - Total - Male,Sex-wise/Age Group-wise - Total - Female,Sex-wise/Age Group-wise - Grand Total
For Adoption,89,10,5,2,5,2,21,28,13,6,0,0,0,48,44,92
For Begging,28,7,1,6,5,0,5,2,2,0,1,0,0,15,14,29
For Camel Racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For Illicit Intercourse,2038,4,19,18,236,18,657,11,901,3,170,0,4,54,1987,2041
For Marriage,9199,6,17,7,772,119,3329,155,4094,82,635,6,5,375,8852,9227
For Prostitution,122,1,1,0,5,0,54,1,58,7,2,0,0,9,120,129
For Ransom,1366,130,5,150,5,251,19,604,28,350,10,31,6,1516,73,1589
For Revenge,941,23,8,28,7,110,78,404,64,199,12,17,0,781,169,950
For Sale,34,1,1,0,6,2,11,7,3,2,1,0,0,12,22,34
For Selling Body Parts,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
For Slavery,130,7,3,6,14,12,15,36,14,25,3,0,0,86,49,135
For Unlawaful Activity,526,17,7,14,31,75,34,166,85,106,14,10,2,388,173,561
Others,8008,230,161,356,328,636,892,1976,1713,1289,405,141,81,4628,3580,8208
Total,22482,436,229,587,1414,1225,5115,3390,6975,2069,1253,205,98,7912,15084,22996
