Category,States/UTs,Total No. of Cases Reported,Sex-wise/Age Group-wise - Upto 10 Years - Male,Sex-wise/Age Group-wise - Upto 10 Years - Female,Sex-wise/Age Group-wise - 10 - 15 Years - Male,Sex-wise/Age Group-wise - 10 - 15 Years - Female,Sex-wise/Age Group-wise - 15 - 18 Years - Male,Sex-wise/Age Group-wise - 15 - 18 Years - Female,Sex-wise/Age Group-wise - 18 - 30 Years - Male,Sex-wise/Age Group-wise - 18 - 30 Years - Female,Sex-wise/Age Group-wise - 30- 50 Years - Male,Sex-wise/Age Group-wise - 30- 50 Years - Female,Sex-wise/Age Group-wise - Above 50 Years - Male,Sex-wise/Age Group-wise - Above 50 Years - Female,Sex-wise/Age Group-wise - Total - Male,Sex-wise/Age Group-wise - Total - Female,Sex-wise/Age Group-wise - Grand Total
State,Andhra Pradesh,1182,17,6,12,105,64,265,218,348,121,25,5,0,437,749,1186
State,Arunachal Pradesh,83,0,0,0,0,0,0,16,51,12,4,0,0,28,55,83
State,Assam,1480,1,5,21,41,124,451,142,482,114,39,8,52,410,1070,1480
State,Bihar,2159,83,0,51,34,160,142,829,389,419,14,38,0,1580,579,2159
State,Chhattisgarh,207,8,1,4,53,0,82,12,32,11,2,2,0,37,170,207
State,Goa,9,0,1,1,4,0,0,1,1,0,0,1,0,3,6,9
State,Gujarat,998,11,14,11,139,25,420,90,225,56,15,6,4,199,817,1016
State,Haryana,449,19,4,9,62,21,141,50,77,51,13,4,5,154,302,456
State,Himachal Pradesh,126,0,1,1,16,0,38,2,41,10,14,3,2,16,112,128
State,Jammu & Kashmir,606,2,2,3,8,6,182,39,276,50,36,2,0,102,504,606
State,Jharkhand,441,1,0,12,0,46,106,55,162,25,30,4,0,143,298,441
State,Karnataka,559,22,14,35,37,18,106,108,133,67,31,9,0,259,321,580
State,Kerala,183,4,4,9,11,9,49,17,29,45,5,6,2,90,100,190
State,Madhya Pradesh,956,6,9,28,147,63,325,146,166,66,50,9,8,318,705,1023
State,Maharashtra,985,33,33,34,108,41,353,84,185,96,26,8,3,296,708,1004
State,Manipur,94,0,0,0,7,3,27,13,28,13,0,3,0,32,62,94
State,Meghalaya,55,1,0,0,2,2,2,10,1,35,1,1,0,49,6,55
State,Mizoram,2,0,0,0,0,0,1,1,2,0,0,0,0,1,3,4
State,Nagaland,23,0,1,0,0,2,5,15,2,2,0,0,0,19,8,27
State,Orissa,522,0,0,10,12,33,217,45,196,10,1,0,0,98,426,524
State,Punjab,513,7,1,6,21,28,211,64,109,49,12,4,1,158,355,513
State,Rajasthan,2718,5,15,28,76,86,453,266,1222,158,391,10,8,553,2165,2718
State,Sikkim,6,0,0,0,0,0,0,6,0,1,0,0,0,7,0,7
State,Tamil Nadu,952,0,4,0,3,114,158,65,395,132,50,31,0,342,610,952
State,Tripura,93,0,0,70,18,100,11,58,6,15,8,0,0,243,43,286
State,Uttar Pradesh,4330,18,8,90,199,166,732,714,1588,393,392,39,13,1420,2932,4352
State,Uttaranchal,183,0,0,5,11,0,8,33,107,19,0,0,0,57,126,183
State,West Bengal,875,14,6,18,76,46,291,65,332,20,13,4,0,167,718,885
State,Total (States),20789,252,129,458,1190,1157,4776,3164,6585,1990,1172,197,98,7218,13950,21168
Union Territory,A & N Islands,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
Union Territory,Chandigarh,56,0,2,4,26,0,11,1,10,1,1,0,0,6,50,56
Union Territory,D & N Haveli,4,0,0,0,1,0,2,2,0,0,0,0,0,2,3,5
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,1627,184,98,125,197,68,321,223,380,76,80,7,0,683,1076,1759
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,4,0,0,0,0,0,3,0,0,2,0,1,0,3,3,6
Union Territory,Total (UTs),1693,184,100,129,224,68,339,226,390,79,81,8,0,694,1134,1828
Total (All-India),Total (All-India),22482,436,229,587,1414,1225,5115,3390,6975,2069,1253,205,98,7912,15084,22996
