Category,States/UTs,No. of Officers (DY. SP and Above) - Sanctioned,No. of Officers (DY. SP and Above) - Actual,No. of Upper Subordinates (ASI to Inspectors) - Sanctioned,No. of Upper Subordinates (ASI to Inspectors) - Actual,No. of Lower Subordinates and Supporting Staff - Sanctioned,No. of Lower Subordinates and Supporting Staff - Actual
State,Andhra Pradesh,16,15,44,42,190,173
State,Arunachal Pradesh,0,0,0,0,0,0
State,Assam,67,55,220,218,2609,2568
State,Bihar,253,140,166,76,5109,4909
State,Chhattisgarh,93,88,133,525,949,868
State,Goa,1,0,18,13,500,498
State,Gujarat,155,104,1568,1366,45595,39236
State,Haryana,72,36,168,120,978,844
State,Himachal Pradesh,19,13,370,232,239,201
State,Jammu & Kashmir,35,19,64,64,1738,1506
State,Jharkhand,24,14,169,99,3525,783
State,Karnataka,2210,2106,45,46,1359,1352
State,Kerala,0,0,0,0,0,0
State,Madhya Pradesh,66,53,659,545,16607,15136
State,Maharashtra,2,2,0,0,777,675
State,Manipur,13,13,105,105,2232,2232
State,Meghalaya,18,14,63,46,1091,1065
State,Mizoram,8,7,18,12,130,121
State,Nagaland,22,22,22,22,59,59
State,Orissa,20,20,48,47,376,374
State,Punjab,2975,993,3505,1088,20484,14080
State,Rajasthan,50,32,237,210,376,332
State,Sikkim,9,9,3,3,8,8
State,Tamil Nadu,153,149,285,229,6291,5786
State,Tripura,7,3,10,4,3044,2536
State,Uttar Pradesh,85,63,262,233,3004,2286
State,Uttaranchal,14,1,51,40,6569,5542
State,West Bengal,827,774,1016,929,18734,17339
State,Total (States),7214,4745,9249,6314,142573,120509
Union Territory,A & N Islands,1,1,6,3,17,15
Union Territory,Chandigarh,1,1,3,2,1146,1124
Union Territory,D & N Haveli,0,0,0,0,0,0
Union Territory,Daman & Diu,NA,NA,NA,NA,NA,NA
Union Territory,Delhi,3,3,9,9,10285,6169
Union Territory,Lakshadweep,0,0,0,0,0,0
Union Territory,Pondicherry,1,1,2,2,5,4
Union Territory,Total (UTs),6,6,20,16,11453,7312
Total (All-India),Total (All-India),7220,4751,9269,6330,154026,127821
