Category,States/UTs,Total No. of Persons under Arrest* Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Persons Charge Sheeted,Number of - Persons Under Investigation at the End of the Year,Pendency Percentage,Percentage of Pendency to All India Total
State,Andhra Pradesh,247489,6725,178586,62178,25.1,11.2
State,Arunachal Pradesh,4003,648,2232,1123,28.1,0.2
State,Assam,101946,20305,28664,52977,52,9.6
State,Bihar,359809,76505,178139,105165,29.2,19
State,Chhattisgarh,53165,0,51656,1509,2.8,0.3
State,Goa,3776,290,2375,1111,29.4,0.2
State,Gujarat,166110,260,155271,10579,6.4,1.9
State,Haryana,64163,336,59823,4004,6.2,0.7
State,Himachal Pradesh,19407,233,17446,1728,8.9,0.3
State,Jammu & Kashmir,24898,896,23918,84,0.3,0
State,Jharkhand,63140,5157,38421,19562,31,3.5
State,Karnataka,179829,7020,154165,18644,10.4,3.4
State,Kerala,176752,2693,144065,29994,17,5.4
State,Madhya Pradesh,289747,3195,281565,4987,1.7,0.9
State,Maharashtra,316821,6179,267171,43471,13.7,7.8
State,Manipur,2810,1493,169,1148,40.9,0.2
State,Meghalaya,3789,429,1267,2093,55.2,0.4
State,Mizoram,3511,22,2458,1031,29.4,0.2
State,Nagaland,2534,114,615,1805,71.2,0.3
State,Orissa,73652,655,69046,3951,5.4,0.7
State,Punjab,57449,2408,32895,22146,38.5,4
State,Rajasthan,201004,16,200195,793,0.4,0.1
State,Sikkim,509,102,172,235,46.2,0
State,Tamil Nadu,255734,13844,190418,51472,20.1,9.3
State,Tripura,5361,1356,2159,1846,34.4,0.3
State,Uttar Pradesh,345418,16868,295281,33269,9.6,6
State,Uttaranchal,13628,945,11119,1564,11.5,0.3
State,West Bengal,159680,28585,67088,64007,40.1,11.5
State,Total (States),3196134,197279,2456379,542476,17,97.8
Union Territory,A & N Islands,1533,0,850,683,44.6,0.1
Union Territory,Chandigarh,3568,372,2548,648,18.2,0.1
Union Territory,D & N Haveli,622,7,452,163,26.2,0
Union Territory,Daman & Diu,461,14,291,156,33.8,0
Union Territory,Delhi,56070,4230,41823,10017,17.9,1.8
Union Territory,Lakshadweep,33,4,20,9,27.3,0
Union Territory,Pondicherry,5600,23,5257,320,5.7,0.1
Union Territory,Total (UTs),67887,4650,51241,11996,17.7,2.2
Total (All-India),Total (All-India),3264021,201929,2507620,554472,17,100
