Category,States/UTs,Area (in Sqr. kms.),Estimated Mid-Year Population (in 000),Total Cases for Investigation (including Pending Cases from Previous Year) - IPC,Total Cases for Investigation (including Pending Cases from Previous Year) - SLL,Total Cases for Investigation (including Pending Cases from Previous Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total - Police,Actual Police Strength (of Ranks) - D.G. to A.S.I.,Actual Police Strength (of Ranks) - Head Constables to Constables,Actual Police Strength (of Ranks) - Teeth to Tail Ratio,Actual Police Strength of I.Os. (Insp.+ SI+ ASI of CIV. POL.),No. of Policemen Per 100 Sqr. Kms. of Area,No. of Policemen Per 1000 of Population,No. of Policemen Per 100000 of Population,No. of IPC Cases Per Civil Policeman,Work Load of I.Os - IPC,Work Load of I.Os - SLL,Work Load of I.Os - Total,Total Police Expenditure (Rs. in Crores) @@,Unit Cost Per Policemen (Per Annum)
State,Andhra Pradesh,275045,75728,169037,535410,704447,65336,12510,77846,83.9,8342,69504,'1:08,6968,28.3,1,103,2.6,24.3,76.8,101.1,1115.94,143352
State,Arunachal Pradesh,83743,1091,3009,70,3079,3166,2232,5398,58.7,630,4768,'1:08,495,6.4,4.9,495,1,6.1,0.1,6.2,69.99,129659
State,Assam,78438,26638,76584,7293,83877,29382,23963,53345,55.1,6418,46927,'1:07,4958,68,2,200,2.6,15.4,1.5,16.9,596.38,111797
State,Bihar,94163,82879,142902,12771,155673,45031,373,45404,99.2,8085,37319,'1:05,7872,48.2,0.5,55,3.2,18.2,1.6,19.8,897.8,197736
State,Chhattisgarh,135191,20796,41987,141471,183458,10909,1303,12212,89.3,1465,10747,'1:07,1281,9,0.6,59,3.8,32.8,110.4,143.2,241.55,197797
State,Goa,3702,1344,3131,2075,5206,3074,583,3657,84.1,300,3357,'1:11,232,98.8,2.7,272,1,13.5,8.9,22.4,52.39,143260
State,Gujarat,196024,50597,113900,174822,288722,48747,11591,60338,80.8,10384,49954,'1:05,8645,30.8,1.2,119,2.3,13.2,20.2,33.4,691.03,114527
State,Haryana,44212,21083,44373,28568,72941,27387,4420,31807,86.1,3805,28002,'1:07,3285,71.9,1.5,151,1.6,13.5,8.7,22.2,455.09,143079
State,Himachal Pradesh,55673,6077,14162,5198,19360,8457,3673,12130,69.7,1632,10498,'1:06,1237,21.8,2,200,1.7,11.4,4.2,15.7,143.94,118664
State,Jammu & Kashmir,101387,10070,26286,5103,31389,40278,18759,59037,68.2,6351,52686,'1:08,4810,58.2,5.9,586,0.7,5.5,1.1,6.5,778.85,131926
State,Jharkhand,79714,26909,33314,2277,35591,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
