Crime Head (Col.1),Total No. of Cases for Investigation including Pending Cases (Col.2),Cases Withdrawn by Govt. (Col.3),No. of Cases in which Investigation was Refused (Col.4),No. of Cases in which Investigation was Completed - Charge Found False/Mistake of Fact or Law Etc. (Col.5),No. of Cases in which Investigation was Completed - Final Report True Submitted (Col.6),No. of Cases in which Investigation was Completed - Chargesheets were Submitted (Col.7),No. of Cases in which Investigation was Completed - Total {(Col.5) + (Col.6) + (Col.7)} = (Col.8),No. of Cases Pending Investigation (Col.9)
Arms Act,72747,15,24,132,2086,58413,60631,12077
Narcotic Drugs & Psychotropic Substances Act,32206,28,134,157,476,22752,23385,8659
Gambling Act,156117,223,11,28,970,148151,149149,6734
Excise Act,136171,157,2147,327,1648,115526,117501,16366
Prohibition Act,597127,28,2837,2017,21918,469906,493841,100421
Explosive & Explosive Substances Act,7581,1,17,81,748,3811,4640,2923
Immoral Traffic (P) Act,9583,0,0,9,14,8817,8840,743
Indian Railways Act,64854,0,15,109,694,63618,64421,418
Registration of Foreigners Act,1825,0,1,1,67,1399,1467,357
Protection of Civil Rights Act - Total,944,0,2,197,45,516,758,184
Protection of Civil Rights Act - (i) PCR Act for SCs,883,0,2,190,45,483,718,163
Protection of Civil Rights Act - (ii) PCR Act for STs,61,0,0,7,0,33,40,21
Indian Passport Act,613,0,4,28,42,251,321,288
Essential Commodities Act,7644,1,17,238,418,4118,4774,2852
Terrorist & Disruptive Activities Act,385,0,0,0,95,57,152,233
Antiquity & Art Treasure Act,78,0,3,7,3,16,26,49
Dowry Prohibition Act,4527,0,19,240,312,2716,3268,1240
Child Marriage Restraint Act,106,0,1,13,3,76,92,13
Indecent Representation of Women (P) Act,1167,0,1,3,5,1022,1030,136
Copyrights Act,3510,7,10,27,49,2554,2630,863
Sati Prevention Act,0,0,0,0,0,0,0,0
SC/ST (Prevention of Atrocities) Act - Total,18497,15,52,3465,1022,10750,15237,3193
SC/ST (Prevention of Atrocities) Act - (i) Atrocities Act for SCs,16535,4,51,2934,975,9649,13558,2922
SC/ST (Prevention of Atrocities) Act - (ii) Atrocities Act for STs,1962,11,1,531,47,1101,1679,271
Forest Act,5997,12,127,102,287,5114,5503,355
Other SLL Crimes,2649914,236,33424,36255,51213,2498177,2585645,30609
Total Cognizable Crimes under SLL,3771593,723,38846,43436,82115,3417760,3543311,188713
