Crime Head,Total No. of Persons under Arrest* Including those from Previous Year,Persons Released Before Trial - No.,Persons Released Before Trial - Percentage to Total,Persons Charge Sheeted - No.,Persons Charge Sheeted - Percentage to Total,Persons under Investigation at the End of the Year - No.,Persons Under Investigation at the End of the Year - Percentage to Total
Murder,104597,5318,5.1,69620,66.6,29659,28.4
Attempt to Commit Murder,99731,3083,3.1,73195,73.4,23453,23.5
C.H. not Amounting to Murder,8897,517,5.8,6123,68.8,2257,25.4
Rape - Total,26014,992,3.8,19579,75.3,5443,20.9
Rape - i) Custodial Rape,3,0,0,3,0,0,0
Rape - ii) Other Rape,26011,992,3.8,19576,75.3,5443,20.9
Kidnapping & Abduction - Total,44183,3914,8.9,27753,62.8,12516,28.3
Kidnapping & Abduction - i) of Women & Girls,24927,2336,9.4,15479,62.1,7112,28.5
Kidnapping & Abduction - ii) of Others,19256,1578,8.2,12274,63.7,5404,28.1
Dacoity,41424,3456,8.3,19179,46.3,18789,45.4
Preparation & Assembly for Dacoity,10798,401,3.7,6754,62.5,3643,33.7
Robbery,42162,4324,10.3,25874,61.4,11964,28.4
Burglary,82624,7254,8.8,59543,72.1,15827,19.2
Theft - Total,210387,25195,12,142862,67.9,42330,20.1
Theft - i) Auto Theft,35942,2835,7.9,26630,74.1,6477,18
Theft - ii) Other Theft,174445,22360,12.8,116232,66.6,35853,20.6
Riots,539886,61560,11.4,381550,70.7,96776,17.9
Criminal Breach of Trust,22635,1348,6,14325,63.3,6962,30.8
Cheating,59318,3303,5.6,36885,62.2,19130,32.2
Counterfeiting,3554,149,4.2,1839,51.7,1566,44.1
Arson,17903,1202,6.7,12672,70.8,4029,22.5
Hurt,544403,14513,2.7,470113,86.4,59777,11
Dowry Death,25117,1169,4.7,18697,74.4,5251,20.9
Molestation,47345,1417,3,40336,85.2,5592,11.8
Sexual Harassment,13310,167,1.3,12105,90.9,1038,7.8
Cruelty by Husband and Relatives,128342,5275,4.1,102477,79.8,20590,16
Importation of Girls,244,6,2.5,138,56.6,100,41
Causing Death by Negligence,58922,3108,5.3,46727,79.3,9087,15.4
Other IPC Crimes,1132225,54258,4.8,919274,81.2,158693,14
Total Cognizable Crimes under IPC,3264021,201929,6.2,2507620,76.8,554472,17
