Category (Col. 1),States/UTs (Col. 2),Total No. of Persons Arrested (Col. 3),New offenders - No. (Col. 4),New offenders - Percentage to Total (Col. 5),Old offenders Convicted in the Past Once - No. (Col. 6),Old offenders Convicted in the Past Once - Percentage to Total (Col. 7),Old offenders Convicted in the Past Twice - No. (Col. 8),Old offenders Convicted in the Past Twice - Percentage to Total (Col. 9),Old offenders Convicted in the Past Thrice or More - No. (Col. 10),Old offenders Convicted in the Past Thrice or More - Percentage to Total (Col. 11),Old offenders Convicted in the Past - Percentage of Recidivists {(Col. 7)+(Col. 9) +(Col. 11)} = (Col. 12)
State,Andhra Pradesh,188419,161688,85.8,19481,10.3,4796,2.5,2454,1.3,14.2
State,Arunachal Pradesh,2965,2817,95,138,4.7,10,0.3,0,0,5
State,Assam,53500,46466,86.9,4515,8.4,1780,3.3,739,1.4,13.1
State,Bihar,202285,195055,96.4,6322,3.1,758,0.4,150,0.1,3.6
State,Chhattisgarh,50839,46811,92.1,2815,5.5,743,1.5,470,0.9,7.9
State,Goa,2898,2876,99.2,15,0.5,5,0.2,2,0.1,0.8
State,Gujarat,153251,142722,93.1,9192,6,1069,0.7,268,0.2,6.9
State,Haryana,59977,53344,88.9,5361,8.9,966,1.6,306,0.5,11.1
State,Himachal Pradesh,17217,16827,97.7,242,1.4,103,0.6,45,0.3,2.3
State,Jammu & Kashmir,24423,24034,98.4,365,1.5,24,0.1,0,0,1.6
State,Jharkhand,41607,31960,76.8,5004,12,4020,9.7,623,1.5,23.2
State,Karnataka,160150,149903,93.6,10072,6.3,111,0.1,64,0,6.4
State,Kerala,147522,142951,96.9,3101,2.1,1172,0.8,298,0.2,3.1
State,Madhya Pradesh,285193,253856,89,23071,8.1,6842,2.4,1424,0.5,11
State,Maharashtra,280202,272756,97.3,6117,2.2,765,0.3,564,0.2,2.7
State,Manipur,1525,1525,100,0,0,0,0,0,0,0
State,Meghalaya,1643,1311,79.8,183,11.1,98,6,51,3.1,20.2
State,Mizoram,2358,1957,83,341,14.5,37,1.6,23,1,17
State,Nagaland,1129,905,80.2,88,7.8,81,7.2,55,4.9,19.8
State,Orissa,69741,65506,93.9,3493,5,568,0.8,174,0.2,6.1
State,Punjab,39794,34827,87.5,3402,8.5,1474,3.7,91,0.2,12.5
State,Rajasthan,199980,182922,91.5,13646,6.8,2586,1.3,826,0.4,8.5
State,Sikkim,411,359,87.3,39,9.5,9,2.2,4,1,12.7
State,Tamil Nadu,206590,140725,68.1,38893,18.8,20189,9.8,6783,3.3,31.9
State,Tripura,3465,3044,87.8,391,11.3,20,0.6,10,0.3,12.2
State,Uttar Pradesh,314055,305811,97.4,6528,2.1,1411,0.4,305,0.1,2.6
State,Uttaranchal,12120,11606,95.8,330,2.7,153,1.3,31,0.3,4.2
State,West Bengal,91422,84199,92.1,6194,6.8,805,0.9,224,0.2,7.9
State,Total (States),2614681,2378763,91,169339,6.5,50595,1.9,15984,0.6,9
Union Territory,A & N Islands,671,500,74.5,156,23.2,15,2.2,0,0,25.5
Union Territory,Chandigarh,2863,1920,67.1,914,31.9,21,0.7,8,0.3,32.9
Union Territory,D & N Haveli,514,514,100,0,0,0,0,0,0,0
Union Territory,Daman & Diu,343,343,100,0,0,0,0,0,0,0
Union Territory,Delhi,47020,42105,89.5,3058,6.5,1169,2.5,688,1.5,10.5
Union Territory,Lakshadweep,16,16,100,0,0,0,0,0,0,0
Union Territory,Pondicherry,5432,5295,97.5,108,2,22,0.4,7,0.1,2.5
Union Territory,Total (UTs),56859,50693,89.2,4236,7.5,1227,2.2,703,1.2,10.8
Total (All-India),Total (All-India),2671540,2429456,90.9,173575,6.5,51822,1.9,16687,0.6,9.1
