Category,States/UTs,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs & Psychotropic Substances Act - Male,Narcotic Drugs & Psychotropic Substances Act - Female,Narcotic Drugs & Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosive & Explosive Substances Act - Male,Explosive & Explosive Substances Act - Female,Explosive & Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act Total - Male,Protection of Civil Rights Act Total - Female,Protection of Civil Rights Act Total - Total,Protection of Civil Rights Act for SCs - Male,Protection of Civil Rights Act for SCs - Female,Protection of Civil Rights Act for SCs - Total,Protection of Civil Rights Act for STs - Male,Protection of Civil Rights Act for STs - Female,Protection of Civil Rights Act for STs - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activities Act - Male,Terrorist & Disruptive Activities Act - Female,Terrorist & Disruptive Activities Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Child Marriage Restraint Act - Male,Child Marriage Restraint Act - Female,Child Marriage Restraint Act - Total,Indecent Representation of Women (P) Act - Male,Indecent Representation of Women (P) Act - Female,Indecent Representation of Women (P) Act - Total,Copyright Act - Male,Copyright Act - Female,Copyright Act - Total,Sati Prevention Act - Male,Sati Prevention Act - Female,Sati Prevention Act - Total,SC/ST (Prev.) of Atrocities Act Total - Male,SC/ST (Prev.) of Atrocities Act Total - Female,SC/ST (Prev.) of Atrocities Act Total - Total,SC/ST (Prev.) of Atrocities Act for SCs - Male,SC/ST (Prev.) of Atrocities Act for SCs - Female,SC/ST (Prev.) of Atrocities Act for SCs - Total,SC/ST (Prev.) of Atrocities Act for STs - Male,SC/ST (Prev.) of Atrocities Act for STs - Female,SC/ST (Prev.) of Atrocities Act for STs - Total,Forest Act - Male,Forest Act - Female,Forest Act - Total,Other SLL Crimes - Male,Other SLL Crimes - Female,Other SLL Crimes - Total,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total,Percentage of Female to Total
State,Andhra Pradesh,532,4,536,644,32,676,35870,0,35870,2897,237,3134,2222,398,2620,703,6,709,1258,602,1860,21,0,21,5,0,5,445,61,506,435,61,496,10,0,10,42,31,73,84,1,85,0,0,0,8,0,8,744,298,1042,3,0,3,69,440,509,388,0,388,0,0,0,2970,272,3242,2805,265,3070,165,7,172,2805,265,3070,442820,7177,449997,491740,9562,501302,1.9
State,Arunachal Pradesh,17,0,17,30,3,33,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,71,3,74,4.1
State,Assam,532,1,533,179,8,187,290,0,290,189,0,189,3,0,3,114,0,114,5,1,6,19,0,19,1,0,1,0,0,0,0,0,0,0,0,0,9,0,9,54,0,54,0,0,0,0,0,0,195,2,197,0,0,0,1,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,35,2027,3627,47,3674,1.3
State,Bihar,4591,0,4591,546,0,546,768,0,768,2501,47,2548,6,0,6,734,0,734,54,114,168,84,0,84,5,0,5,138,0,138,120,0,120,18,0,18,14,0,14,664,0,664,0,0,0,0,0,0,2154,347,2501,6,4,10,42,0,42,22,0,22,0,0,0,1307,7,1314,1293,7,1300,14,0,14,1293,7,1300,2743,49,2792,16497,568,17065,3.3
State,Chhattisgarh,570,1,571,312,26,338,18238,423,18661,8552,1447,9999,0,0,0,196,0,196,9,27,36,2142,141,2283,0,0,0,3,0,3,1,0,1,2,0,2,0,0,0,148,3,151,0,0,0,0,0,0,11,6,17,0,0,0,0,0,0,50,0,50,0,0,0,159,11,170,155,9,164,4,2,6,155,9,164,100826,380,101206,131248,2465,133713,1.8
State,Goa,60,0,60,31,0,31,1445,1,1446,0,0,0,0,0,0,3,0,3,10,91,101,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,67,869,2378,162,2540,6.4
State,Gujarat,346,0,346,174,8,182,23955,94,24049,0,0,0,82107,36730,118837,76,1,77,176,214,390,1854,7,1861,49,0,49,40,1,41,35,1,36,5,0,5,74,1,75,219,0,219,0,0,0,0,0,0,0,0,0,30,16,46,0,0,0,287,0,287,0,0,0,986,40,1026,767,35,802,219,5,224,767,35,802,44937,2701,47638,155310,39813,195123,20.4
State,Haryana,1355,0,1355,1401,37,1438,9045,4,9049,13442,113,13555,0,0,0,32,0,32,48,45,93,1267,0,1267,11,0,11,3,0,3,3,0,3,0,0,0,1,0,1,214,2,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,139,0,0,0,43,2,45,43,2,45,0,0,0,43,2,45,3308,49,3357,30309,252,30561,0.8
State,Himachal Pradesh,23,0,23,264,9,273,644,0,644,2451,637,3088,0,0,0,8,0,8,3,2,5,0,0,0,8,0,8,5,1,6,5,1,6,0,0,0,0,0,0,20,1,21,0,0,0,0,0,0,17,12,29,0,0,0,0,0,0,19,0,19,0,0,0,56,12,68,55,12,67,1,0,1,55,12,67,162,8,170,4222,686,4908,14
State,Jammu & Kashmir,941,2,943,150,4,154,226,0,226,354,21,375,0,0,0,162,0,162,14,2,16,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,3,0,3,611,0,611,15,0,15,0,0,0,1,1,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,12,444,2967,42,3009,1.4
State,Jharkhand,739,0,739,51,0,51,308,0,308,270,3,273,0,0,0,70,0,70,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,61,1,62,0,0,0,0,0,0,701,154,855,0,0,0,0,0,0,3,0,3,0,0,0,78,11,89,51,7,58,27,4,31,51,7,58,759,18,777,3080,187,3267,5.7
State,Karnataka,209,2,211,505,15,520,21366,21,21387,4833,104,4937,0,0,0,158,2,160,221,2104,2325,33,1,34,19,3,22,233,16,249,216,8,224,17,8,25,36,4,40,637,13,650,0,0,0,4,0,4,394,126,520,14,3,17,0,0,0,172,9,181,0,0,0,2854,179,3033,2532,144,2676,322,35,357,2532,144,2676,5241,164,5405,37439,2775,40214,6.9
State,Kerala,810,1,811,578,38,616,12333,34,12367,386,0,386,8376,310,8686,550,3,553,120,290,410,9,0,9,7,0,7,0,0,0,0,0,0,0,0,0,26,1,27,144,1,145,0,0,0,0,0,0,2,1,3,1,0,1,50,0,50,131,0,131,0,0,0,293,6,299,243,6,249,50,0,50,243,6,249,21729,53,21782,45629,738,46367,1.6
