Category,States/UTs,Total Cognizable Crimes under IPC - Male,Total Cognizable Crimes under IPC - Female,Total Cognizable Crimes under IPC - Total,Percentage of Female to Total
State,Andhra Pradesh,199728,16549,216277,7.7
State,Arunachal Pradesh,2453,35,2488,1.4
State,Assam,66367,2307,68674,3.4
State,Bihar,183519,2621,186140,1.4
State,Chhattisgarh,53388,2612,56000,4.7
State,Goa,2433,155,2588,6
State,Gujarat,144385,12212,156597,7.8
State,Haryana,56014,2926,58940,5
State,Himachal Pradesh,16387,2241,18628,12
State,Jammu & Kashmir,25641,1975,27616,7.2
State,Jharkhand,44650,2264,46914,4.8
State,Karnataka,129597,8991,138588,6.5
State,Kerala,140721,4888,145609,3.4
State,Madhya Pradesh,301294,13667,314961,4.3
State,Maharashtra,261065,26049,287114,9.1
State,Manipur,1254,136,1390,9.8
State,Meghalaya,1575,19,1594,1.2
State,Mizoram,2257,459,2716,16.9
State,Nagaland,1203,23,1226,1.9
State,Orissa,74219,4081,78300,5.2
State,Punjab,37192,2345,39537,5.9
State,Rajasthan,165979,12832,178811,7.2
State,Sikkim,427,28,455,6.2
State,Tamil Nadu,180015,14830,194845,7.6
State,Tripura,3692,560,4252,13.2
State,Uttar Pradesh,206326,4949,211275,2.3
State,Uttaranchal,12466,958,13424,7.1
State,West Bengal,94526,7635,102161,7.5
State,Total (States),2408773,148347,2557120,5.8
Union Territory,A & N Islands,747,101,848,11.9
Union Territory,Chandigarh,2896,93,2989,3.1
Union Territory,D & N Haveli,693,21,714,2.9
Union Territory,Daman & Diu,272,18,290,6.2
Union Territory,Delhi,50881,2437,53318,4.6
Union Territory,Lakshadweep,45,0,45,0
Union Territory,Pondicherry,5931,292,6223,4.7
Union Territory,Total (UTs),61465,2962,64427,4.6
Total (All-India),Total (All-India),2470238,151309,2621547,5.8
