Crime Head,Total No. for cases for Trial Including Pending cases from previous year,Cases Withdrawn by Govt.,No. of cases compounded or withdrawn,No. of cases in which Trials were Completed - Convicted,No. of cases in which Trials were Completed - Acquitted or Discharged,No. of cases in which Trials were Completed - Total,No. of cases Pending Trial at the end of the year
Infanticide,196,0,0,10,30,40,156
Murder,4256,0,6,359,481,840,3410
Rape,11478,3,20,801,1639,2440,9018
Kidnapping & Abduction,8970,1,40,477,1064,1541,7389
Foeticide,97,0,0,5,14,19,78
Abetment of Suicide,98,0,0,2,14,16,82
Exposure and Abandonment,751,0,3,15,65,80,668
Procuration Minor Girl,458,2,3,16,85,101,354
Buying of Girls for Prost.,42,0,0,0,6,6,36
Seling of Girls for Prost,94,0,0,8,7,15,79
Child Marriage Restraint Act,438,0,2,24,41,65,371
Other Crime,15286,1,368,1129,1685,2814,12104
Total,42164,7,442,2846,5131,7977,33745
