Category,States/UTs,Incidence,Percentage Contribution to All - India Total,Estimated Mid Year Population (in Lakhs)#,Rate of Total Cognizable Crimes,Rank as per Rate of Total Cognizable Crimes,Rank as per Percentage Share
State,Andhra Pradesh,3117,11.9,798.09,3.9,3,4
State,Arunachal Pradesh,2,0,11.59,0.2,24,27
State,Assam,282,1.1,286.92,1,18,14
State,Bihar,1824,7,898.2,2,8,5
State,Chhattisgarh,454,1.7,225.82,2,9,11
State,Goa,2,0,15.07,0.1,26,26
State,Gujarat,1307,5,542.74,2.4,7,8
State,Haryana,288,1.1,227.92,1.3,12,13
State,Himachal Pradesh,55,0.2,63.81,0.9,20,18
State,Jammu & Kashmir,1,0,113.71,0,28,28
State,Jharkhand,277,1.1,288.85,1,19,15
State,Karnataka,1780,6.8,557.02,3.2,5,6
State,Kerala,345,1.3,333.38,1,17,12
State,Madhya Pradesh,4356,16.7,659.52,6.6,1,2
State,Maharashtra,865,3.3,1031.59,0.8,21,10
State,Manipur,0,0,25.39,0,NA,NA
State,Meghalaya,0,0,24.52,0,NA,NA
State,Mizoram,0,0,9.47,0,NA,NA
State,Nagaland,0,0,21.17,0,NA,NA
State,Orissa,1439,5.5,387.53,3.7,4,7
State,Punjab,140,0.5,257.64,0.5,23,16
State,Rajasthan,3795,14.5,616.68,6.2,2,3
State,Sikkim,7,0,5.75,1.2,13,23
State,Tamil Nadu,1206,4.6,648.56,1.9,10,9
State,Tripura,38,0.1,33.9,1.1,15,19
State,Uttar Pradesh,4397,16.8,1814.88,2.4,6,1
State,Uttaranchal,99,0.4,91.19,1.1,16,17
State,West Bengal,12,0,850.55,0,27,22
State,Total (States),26088,99.9,10841.46,2.4,NA,NA
Union Territory,A & N Islands,0,0,3.88,0,NA,NA
Union Territory,Chandigarh,0,0,9.98,0,NA,NA
Union Territory,D & N Haveli,2,0,2.44,0.8,22,25
Union Territory,Daman & Diu,2,0,1.75,1.1,14,24
Union Territory,Delhi,21,0.1,157.43,0.1,25,20
Union Territory,Lakshadweep,0,0,0.65,0,NA,NA
Union Territory,Pondicherry,14,0.1,10.32,1.4,11,21
Union Territory,Total (UTs),39,0.1,186.45,0.2,NA,NA
Total (All-India),Total (All-India),26127,100,11027.91,2.4,NA,NA
