Category,States/UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape,Kidnapping and Abduction,Dacoity,Preparation and Assembly for Dacoity,Robbery,Riots,Arson,Dowry Death,Total Violent Crimes,Percentage Share to All-India Crimes,Rate of Violent Crimes,Percentage to Total Cognizable Crimes under IPC
State,Andhra Pradesh,2750,1724,111,935,1612,250,4,794,2026,967,443,11616,5.7,14.6,7.4
State,Arunachal Pradesh,81,37,5,35,58,23,0,77,23,13,0,352,0.2,30.4,15.3
State,Assam,1194,503,117,1238,1751,334,22,451,2760,423,99,8892,4.4,31,21.2
State,Bihar,3471,3307,259,1147,2693,1212,165,2374,7671,760,1014,24073,11.9,26.8,24.6
State,Chhattisgarh,1013,660,41,990,246,204,25,401,893,214,100,4787,2.4,21.2,11
State,Goa,45,15,5,20,17,2,0,28,45,12,2,191,0.1,12.7,9
State,Gujarat,1033,452,27,324,1164,282,15,966,1628,320,48,6259,3.1,11.5,5.5
State,Haryana,784,513,57,461,492,88,138,390,899,119,212,4153,2,18.2,9.7
State,Himachal Pradesh,110,79,22,141,118,6,0,22,558,97,2,1155,0.6,18.1,9.4
State,Jammu & Kashmir,647,905,37,201,748,13,0,116,1222,240,5,4134,2,36.4,20.6
State,Jharkhand,1523,1084,87,753,621,592,49,732,2524,202,257,8424,4.2,29.2,23.9
State,Karnataka,1609,1406,80,343,589,208,119,1202,6151,238,261,12206,6,21.9,10.4
State,Kerala,388,341,88,478,226,110,158,621,6535,456,21,9422,4.6,28.3,9
State,Madhya Pradesh,2405,2512,134,2921,847,147,130,1557,2573,817,739,14782,7.3,22.4,7.8
State,Maharashtra,2621,1614,98,1545,1194,641,307,2411,6779,1123,341,18674,9.2,18.1,10
State,Manipur,256,252,4,25,106,4,0,8,35,155,0,845,0.4,33.3,29
State,Meghalaya,134,35,2,63,48,81,1,95,42,70,1,572,0.3,23.3,30.4
State,Mizoram,24,24,5,37,13,3,0,6,35,20,4,171,0.1,18.1,7.9
State,Nagaland,87,26,8,17,26,12,0,80,8,4,0,268,0.1,12.7,25.5
State,Orissa,1079,1279,48,799,641,184,50,998,1515,386,334,7313,3.6,18.9,14.1
State,Punjab,713,723,216,398,478,27,103,85,1,55,99,2898,1.4,11.2,10.7
State,Rajasthan,1221,1920,59,993,1993,41,79,590,2290,648,361,10195,5,16.5,7.2
State,Sikkim,8,16,2,18,3,2,0,4,19,3,0,75,0,13,13.6
State,Tamil Nadu,1440,1759,28,571,1029,73,0,437,2551,495,215,8598,4.2,13.3,5.3
State,Tripura,121,56,1,162,85,22,0,61,148,35,34,725,0.4,21.4,21.6
State,Uttar Pradesh,5711,5637,1520,1217,2955,286,89,2049,3926,398,1564,25352,12.5,14,20.8
State,Uttaranchal,279,202,30,133,203,48,0,159,433,24,63,1574,0.8,17.3,19.6
State,West Bengal,1453,434,408,1686,1207,211,1221,426,2635,92,446,10219,5,12,15.4
State,Total (States),32200,27515,3499,17651,21163,5106,2675,17140,55925,8386,6665,197925,97.7,18.3,11.3
Union Territory,A & N Islands,14,3,3,4,2,0,0,4,4,6,0,40,0,10.3,5.9
Union Territory,Chandigarh,18,15,4,33,54,0,2,12,43,1,3,185,0.1,18.5,5.9
Union Territory,D & N Haveli,7,5,0,5,13,3,0,2,18,1,0,54,0,22.1,12.4
Union Territory,Daman & Diu,5,2,0,2,4,4,0,0,19,1,1,38,0,21.7,15.6
Union Territory,Delhi,455,467,64,658,1590,27,157,510,61,47,114,4150,2,26.4,7.4
Union Territory,Lakshadweep,1,0,0,0,0,0,0,0,6,0,0,7,0,10.8,16.7
Union Territory,Pondicherry,19,24,8,6,6,1,0,5,159,9,4,241,0.1,23.4,5.3
Union Territory,Total (UTs),519,516,79,708,1669,35,159,533,310,65,122,4715,2.3,25.3,7.2
Total (All-India),Total (All-India),32719,28031,3578,18359,22832,5141,2834,17673,56235,8451,6787,202640,100,18.4,11.1
