Year,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1995,106306,25717,24.2
1996,99669,28142,28.2
1997,131216,33514,25.5
1998,147770,35748,24.2
1999,158080,50319,31.8
2000,159323,39815,25
2001,151723,44733,29.5
2002,246723,47742,19.4
2003,173504,44759,25.8
2004,236170,46947,19.9
2005,240900,57600,23.9
Percentage Change in 2005 Over 1995,126.6,124,-1.2
