Category,States/UTs/ Cities,Estimated Mid-Year Population#,Infanticide - I,Infanticide - R,Infanticide - P,Murder - I,Murder - R,Murder - P,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Foeticide - I,Foeticide - R,Foeticide - P,Abetment to Suicide - I,Abetment to Suicide - R,Abetment to Suicide - P,Exposure and Abandonment - I,Exposure and Abandonment - R,Exposure and Abandonment - P,Procuration of Minor Girl - I,Procuration of Minor Girl - R,Procuration of Minor Girl - P,Buying of Girls for Prostitution - I,Buying of Girls for Prostitution - R,Buying of Girls for Prostitution - P,Selling of Girls for Prostitution - I,Selling of Girls for Prostitution - R,Selling of Girls for Prostitution - P,Child Marriage Restraint Act - I,Child Marriage Restraint Act - R,Child Marriage Restraint Act - P,Other Crimes - I,Other Crimes - R,Other Crimes - P,Total - I,Total - R,Total - P
State,West Bengal,850.55,0,0,0,2,0,0.2,6,0,0.1,102,0.1,2.9,0,0,0,1,0,2.3,0,0,0,20,0,13.8,2,0,7.1,44,0.1,88,2,0,1.6,57,0.1,1.2,236,0.3,1.6
State,Total (States),10841.46,108,0,100,1179,0.1,96.7,3764,0.3,93.5,2977,0.3,84.6,83,0,96.5,43,0,100,876,0.1,93.9,145,0,100,19,0,67.9,50,0,100,122,0,100,4500,0.4,95.8,13866,1.3,92.6
Union Territory,A & N Islands,3.88,0,0,0,1,0.3,0.1,2,0.5,0,2,0.5,0.1,0,0,0,0,0,0,2,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0,8,2.1,0.1
Union Territory,Chandigarh,9.98,0,0,0,3,0.3,0.2,21,2.1,0.5,23,2.3,0.7,0,0,0,0,0,0,7,0.7,0.8,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.1,57,5.7,0.4
Union Territory,D & N Haveli,2.44,0,0,0,1,0.4,0.1,0,0,0,4,1.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0
Union Territory,Daman & Diu,1.75,0,0,0,1,0.6,0.1,1,0.6,0,2,1.1,0.1,0,0,0,0,0,0,1,0.6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.9,0
Union Territory,Delhi,157.43,0,0,0,34,0.2,2.8,235,1.5,5.8,507,3.2,14.4,3,0,3.5,0,0,0,47,0.3,5,0,0,0,9,0.1,32.1,0,0,0,0,0,0,191,1.2,4.1,1026,6.5,6.9
Union Territory,Lakshadweep,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,10.32,0,0,0,0,0,0,3,0.3,0.1,3,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,8,0.8,0.1
Union Territory,Total (UTs),186.45,0,0,0,40,0.2,3.3,262,1.4,6.5,541,2.9,15.4,3,0,3.5,0,0,0,57,0.3,6.1,0,0,0,9,0,32.1,0,0,0,0,0,0,197,1.1,4.2,1109,5.9,7.4
Total (All-India),Total (All-India),11027.91,108,0,100,1219,0.1,100,4026,0.4,100,3518,0.3,100,86,0,100,43,0,100,933,0.1,100,145,0,100,28,0,100,50,0,100,122,0,100,4697,0.4,100,14975,1.4,100
City,Agra,13.21,0,0,0,1,0.1,0.7,4,0.3,0.7,35,2.6,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.2,42,3.2,1.4
City,Ahmedabad,45.19,1,0,11.1,4,0.1,2.9,14,0.3,2.6,21,0.5,2.4,0,0,0,0,0,0,22,0.5,10.4,0,0,0,0,0,0,0,0,0,2,0,14.3,83,1.8,6.8,147,3.3,4.8
City,Allahabad,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Amritsar,10.11,0,0,0,0,0,0,2,0.2,0.4,11,1.1,1.2,0,0,0,0,0,0,0,0,0,1,0.1,4.8,0,0,0,0,0,0,0,0,0,12,1.2,1,26,2.6,0.8
City,Asansol,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Bangalore,56.87,0,0,0,1,0,0.7,0,0,0,3,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.1,1,0,0.1,6,0.1,0.2
City,Bhopal,14.55,0,0,0,5,0.3,3.6,32,2.2,5.9,17,1.2,1.9,0,0,0,0,0,0,8,0.5,3.8,0,0,0,0,0,0,0,0,0,1,0.1,7.1,0,0,0,63,4.3,2.1
City,Chennai,64.25,0,0,0,9,0.1,6.6,27,0.4,5,8,0.1,0.9,0,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.7,1.5
City,Coimbatore,14.46,0,0,0,2,0.1,1.5,5,0.3,0.9,2,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.6,0.3
City,Delhi (city),127.91,0,0,0,25,0.2,18.2,200,1.6,37,396,3.1,44.3,3,0,33.3,0,0,0,46,0.4,21.8,0,0,0,9,0.1,60,0,0,0,0,0,0,173,1.4,14.2,852,6.7,27.7
City,Dhanbad,10.64,0,0,0,0,0,0,0,0,0,2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.2,5,0.5,0.2
City,Faridabad,10.55,7,0.7,77.8,7,0.7,5.1,8,0.8,1.5,38,3.6,4.3,2,0.2,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.3,1.1,76,7.2,2.5
City,Hyderabad,55.34,0,0,0,5,0.1,3.6,6,0.1,1.1,1,0,0.1,0,0,0,0,0,0,73,1.3,34.6,9,0.2,42.9,0,0,0,2,0,66.7,1,0,7.1,1,0,0.1,98,1.8,3.2
City,Indore,16.39,0,0,0,7,0.4,5.1,8,0.5,1.5,2,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,26.3,35.4,448,27.3,14.6
City,Jabalpur,11.17,0,0,0,0,0,0,0,0,0,4,0.4,0.4,1,0.1,11.1,0,0,0,2,0.2,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.6,0.2
City,Jaipur,23.24,0,0,0,1,0,0.7,13,0.6,2.4,21,0.9,2.4,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,37,1.6,1.2
City,Jamshedpur,11.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Kanpur,26.9,0,0,0,4,0.1,2.9,6,0.2,1.1,4,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,0.3,18,0.7,0.6
City,Kochi,13.55,0,0,0,0,0,0,2,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,3,0.2,0.1
City,Kolkata,132.17,0,0,0,2,0,1.5,6,0,1.1,43,0.3,4.8,0,0,0,0,0,0,0,0,0,9,0.1,42.9,1,0,6.7,1,0,33.3,0,0,0,57,0.4,4.7,119,0.9,3.9
City,Lucknow,22.67,0,0,0,9,0.4,6.6,3,0.1,0.6,8,0.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.9,0.7
City,Ludhiana,13.95,0,0,0,3,0.2,2.2,7,0.5,1.3,6,0.4,0.7,1,0.1,11.1,0,0,0,4,0.3,1.9,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5,0.6,28,2,0.9
City,Madurai,11.95,0,0,0,0,0,0,3,0.3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.1
City,Meerut,11.67,0,0,0,3,0.3,2.2,3,0.3,0.6,2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,0.3,12,1,0.4
City,Mumbai,163.68,0,0,0,9,0.1,6.6,78,0.5,14.4,35,0.2,3.9,1,0,11.1,0,0,0,0,0,0,2,0,9.5,0,0,0,0,0,0,0,0,0,178,1.1,14.6,303,1.9,9.9
City,Nagpur,21.23,0,0,0,7,0.3,5.1,34,1.6,6.3,44,2.1,4.9,0,0,0,0,0,0,5,0.2,2.4,0,0,0,0,0,0,0,0,0,1,0,7.1,43,2,3.5,134,6.3,4.4
City,Nasik,11.52,0,0,0,5,0.4,3.6,3,0.3,0.6,2,0.2,0.2,0,0,0,0,0,0,5,0.4,2.4,0,0,0,0,0,0,0,0,0,1,0.1,7.1,1,0.1,0.1,17,1.5,0.6
City,Patna,17.07,0,0,0,1,0.1,0.7,0,0,0,2,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,7.1,0,0,0,4,0.2,0.1
City,Pune,37.56,0,0,0,11,0.3,8,47,1.3,8.7,49,1.3,5.5,0,0,0,0,0,0,16,0.4,7.6,0,0,0,5,0.1,33.3,0,0,0,5,0.1,35.7,181,4.8,14.8,314,8.4,10.2
City,Rajkot,10.02,0,0,0,2,0.2,1.5,4,0.4,0.7,30,3,3.4,0,0,0,1,0.1,50,11,1.1,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4.8,1.6
City,Surat,28.11,1,0,11.1,3,0.1,2.2,9,0.3,1.7,33,1.2,3.7,1,0,11.1,0,0,0,9,0.3,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,1.8
City,Vadodara,14.92,0,0,0,0,0,0,2,0.1,0.4,23,1.5,2.6,0,0,0,0,0,0,9,0.6,4.3,0,0,0,0,0,0,0,0,0,1,0.1,7.1,9,0.6,0.7,44,2.9,1.4
City,Varanasi,12.12,0,0,0,7,0.6,5.1,2,0.2,0.4,7,0.6,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,0.3,20,1.7,0.7
City,Vijayawada,10.11,0,0,0,3,0.3,2.2,2,0.2,0.4,21,2.1,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.9,0.7,35,3.5,1.1
City,Vishakhapatnam,13.29,0,0,0,1,0.1,0.7,10,0.8,1.9,23,1.7,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2.6,1.1
City,Total (cities),1078.8,9,0,100,137,0.1,100,540,0.5,100,893,0.8,100,9,0,100,2,0,100,211,0.2,100,21,0,100,15,0,100,3,0,100,14,0,100,1219,1.1,100,3073,2.8,100
