Category,States/UTs,DG/ Addl. DG/IG/DIG - Sanctioned,DG/ Addl. DG/IG/DIG - Actual,SSP/SP/Addl.SP/ASP/Dy.SP - Sanctioned,SSP/SP/Addl.SP/ASP/Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,Andhra Pradesh,3,4,9,9,74,53,1386,1327,1472,1393
State,Arunachal Pradesh,0,0,0,0,13,13,52,125,65,138
State,Assam,0,0,0,0,22,22,201,201,223,223
State,Bihar,0,0,7,7,61,61,822,822,890,890
State,Chhattisgarh,0,0,0,0,82,82,485,485,567,567
State,Goa,0,0,0,1,4,22,181,200,185,223
State,Gujarat,0,0,0,0,282,163,2047,1469,2329,1632
State,Haryana,0,0,0,1,60,99,823,729,883,829
State,Himachal Pradesh,0,0,0,6,3,30,137,439,140,475
State,Jammu & Kashmir,0,1,0,10,0,131,0,746,0,888
State,Jharkhand,0,0,0,0,1,23,157,222,158,245
State,Karnataka,0,0,16,5,531,198,5928,2909,6475,3112
State,Kerala,0,0,2,2,97,80,2678,1936,2777,2018
State,Madhya Pradesh,2,2,40,40,161,161,1752,1752,1955,1955
State,Maharashtra,0,2,3,24,216,518,3278,6739,3497,7283
State,Manipur,0,0,0,0,5,7,259,227,264,234
State,Meghalaya,0,0,0,5,4,34,39,86,43,125
State,Mizoram,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,1,0,13,1,58,18,72,19
State,Orissa,0,0,1,1,100,81,241,241,342,323
State,Punjab,0,0,0,0,175,175,1340,1340,1515,1515
State,Rajasthan,0,0,2,2,61,119,879,1129,942,1250
State,Sikkim,0,0,0,2,0,32,0,144,0,178
State,Tamil Nadu,5,5,50,50,1565,829,7959,7096,9579,7980
State,Tripura,0,0,3,3,57,28,419,193,479,224
State,Uttar Pradesh,0,1,0,33,194,138,1683,1956,1877,2128
State,Uttaranchal,0,1,0,1,9,31,177,402,186,435
State,West Bengal,0,1,1,13,298,262,1145,1042,1444,1318
State,Total (States),10,17,135,215,4088,3393,34126,33975,38359,37600
Union Territory,A & N Islands,0,0,0,0,2,12,14,117,16,129
Union Territory,Chandigarh,0,0,0,0,2,30,33,231,35,261
Union Territory,D & N Haveli,0,0,0,0,2,2,7,6,9,8
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,1,1,589,493,1639,1533,2229,2027
Union Territory,Lakshadweep,0,0,0,0,1,0,7,16,8,16
Union Territory,Pondicherry,0,0,0,1,5,4,76,55,81,60
Union Territory,Total (UTs),0,0,1,2,601,541,1776,1958,2378,2501
Total (All-India),Total (All-India),10,17,136,217,4689,3934,35902,35933,40737,40101
