Rank,Number of Victims Killed In Terrorist/ Extremists Operations,Number of Victims Killed in Dacoity Operations Or other Raids,Number of Victims Killed by Riotous Mobs,Number of Victims Killed by Other Criminals,Number of Victims Killed on Border Duties,Number of Victims Killed in Accidents,Number of Victims Killed - Total,Number of Victims Injured in Terrorist/ Extremists Operations,Number of Victims Injured in Dacoity Operation or other Raids,Number of Victims Injured by Riotous Mobs,Number of Victims Injured by Other Criminals,Number of Victims Injured on Border Duties,Number of Victims Injured in Accidents,Number of Victims Injured - Total
Constables,82,4,7,54,9,379,535,164,47,909,262,12,453,1847
Head Constables,12,1,2,10,6,112,143,22,4,159,58,3,186,432
Assistant Sub-inspectors,3,0,2,6,2,44,57,11,6,101,43,1,41,203
Sub-Inspectors,17,0,1,3,1,30,52,12,5,139,39,4,75,274
Inspectors,2,0,0,1,0,6,9,6,4,65,12,0,11,98
Other Gazetted Officers,2,0,3,1,0,3,9,8,2,42,6,0,6,64
Total,118,5,15,75,18,574,805,223,68,1415,420,20,772,2918
