Crime Head (Col.1),Total No. of Cases for Investigation Including Pending Cases from previous year (Col.2),Cases Withdrawn by Govt. (Col.3),No. of Cases in which Investigation was Refused (Col.4),No. of Cases in which Investigation was Completed - Charge Found False /Mistakeof Fact or Law Etc. (Col.5),No. of Cases in which Investigation was Completed - Final Report True Submitted (Col.6),No. of Cases in which Investigation was Completed - Chargesheets were Submitted (Col.7),No. of Cases in which Investigation was Completed - Total {(Col.6) + (Col.7) + (Col.8)} (Col.8),No. of Cases Pending Investigation at the end of the year (Col.9)
Arms Act,85002,29,2,125,1100,71460,72685,12286
Narcotic Drugs & Psychotropic Substances Act,40786,117,509,92,511,27435,28038,12122
Gambling Act,198725,26,3,79,360,188826,189265,9431
Excise Act,169759,90,851,108,834,148053,148995,19823
Prohibition Act,441139,77,1922,13493,15281,312766,341540,97600
Explosive & Explosive Substances Act,7007,0,2,71,427,3642,4140,2865
Immoral Traffic (P) Act,7218,2,0,9,21,5968,5998,1218
Railways Act,435,0,2,24,118,142,284,149
Registration of Foreigners Act,2126,3,0,3,16,1790,1809,314
Protection of Civil Rights Act - Total,567,0,0,65,14,218,297,270
Protection of Civil Rights Act - (i) PCR Act for SCs,387,0,0,63,10,202,275,112
Protection of Civil Rights Act - (ii) PCR Act for STs,180,0,0,2,4,16,22,158
Indian Passport Act,1887,0,3,14,32,774,820,1064
Essential Commodities Act,9873,0,4,140,309,6128,6577,3292
Terrorist & Disruptive Activities Act,264,0,0,0,24,29,53,211
Antiquity & Art Treasure Act,130,0,1,6,6,49,61,68
Dowry Prohibition Act,5025,0,26,238,208,2421,2867,2132
Child Marriage Restraint Act,139,0,0,13,4,88,105,34
Indecent Representation of Women (P) Act,3065,0,0,7,12,2946,2965,100
Copyrights Act,8503,9,5,62,101,6481,6644,1845
Sati Prevention Act,1,0,0,0,0,1,1,0
SC/ST (Prevention of Atrocities) Act - Total,14030,12,26,1524,560,7177,9261,4731
SC/ST (Prevention of Atrocities) Act - (i) Attrocities Act for SCs,12319,3,19,1367,488,6242,8097,4200
SC/ST (Prevention of Atrocities) Act - (ii) Attrocities Act for STs,1711,9,7,157,72,935,1164,531
Forest Act,4485,0,41,62,170,3768,4000,444
Other SLL Crimes,2426280,1241,58468,58689,148780,2114202,2321671,44900
Total Cognizable Crimes Under SLL,3426446,1606,61865,74824,168888,2904364,3148076,214899
