States/ UTs,Murder,Attempt to Commit Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Women & Girls,Kidnapping & Abduction - Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Arson,Hurt,Causing Death by Negligence,Other IPC Crimes,Total IPC Crimes
Andhra Pradesh,14,0,0,1,1,1,0,4,0,12,0,982,6,1,27,11,275,1334
Assam,4,0,0,0,1,1,0,6,0,3,0,55,7,0,10,0,96,182
Bihar,59,27,2,6,25,10,15,79,11,65,16,1481,47,2,60,12,582,2474
Chhattisgarh,1,3,0,1,2,2,0,0,0,2,5,198,1,0,12,0,102,327
Gujarat,9,4,0,2,4,2,2,10,0,89,21,1178,5,0,27,4,200,1553
Haryana,19,6,0,1,0,0,0,1,3,2,0,149,9,0,5,10,524,729
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Jammu & Kashmir,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,10,25
Jharkhand,15,1,0,2,6,5,1,50,0,44,16,204,43,0,0,10,207,598
Karnataka,13,3,1,0,2,0,2,7,0,9,0,538,15,0,20,0,204,812
Kerala,3,0,1,0,0,0,0,0,0,4,2,157,10,0,16,0,47,240
Madhya Pradesh,10,7,2,3,4,2,2,2,4,45,44,1420,9,1,25,0,527,2103
Maharashtra,17,10,0,8,4,4,0,2,3,48,6,2721,15,1,58,4,374,3271
Orissa,7,8,0,2,4,3,1,0,0,17,14,421,2,0,29,4,212,720
Punjab,10,2,2,1,1,1,0,0,0,2,0,26,0,1,11,0,321,377
Rajasthan,5,8,1,0,3,0,3,6,1,8,3,536,2,0,2,1,282,858
Tamil Nadu,0,1,1,0,0,0,0,2,0,15,3,246,7,0,48,9,419,751
Uttar Pradesh,19,12,4,3,3,1,2,13,3,48,1,2487,8,0,5,1,671,3278
West Bengal,41,7,3,0,8,4,4,10,56,28,0,696,25,0,37,4,201,1116
Delhi UT,8,4,2,0,6,5,1,0,2,14,0,1015,2,4,10,3,98,1168
Total (All-India),254,103,19,31,74,41,33,192,83,455,131,14524,213,10,402,73,5353,21917
