Category,States/ UTs/ Cities,Murder - Incidence,Murder - Rate of Crime,Attempt to Commit Murder - Incidence,Attempt to Commit Murder - Rate of Crime,C.H. Not Amounting to Murder - Incidence,C.H. Not Amounting to Murder - Rate of Crime,Rape Total - Incidence,Rape Total - Rate of Crime,Rape Custodial - Incidence,Rape Custodial - Rate of Crime,Rape Others - Incidence,Rape Others - Rate of Crime,Kidnapping & Abduction Total - Incidence,Kidnapping & Abduction Total - Rate of Crime,Kidnapping & Abduction of Women & Girls - Incidence,Kidnapping & Abduction of Women & Girls - Rate of Crime,Kidnapping & Abduction of Others - Incidence,Kidnapping & Abduction of Others - Rate of Crime,Dacoity - Incidence,Dacoity - Rate of Crime,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate of Crime,Robbery - Incidence,Robbery - Rate of Crime,Burglary - Incidence,Burglary - Rate of Crime,Theft Total - Incidence,Theft Total - Rate of Crime,Auto Theft - Incidence,Auto Theft - Rate of Crime,Other Theft - Incidence,Other Theft - Rate of Crime,Riots - Incidence,Riots - Rate of Crime,Criminal Breach of Trust - Incidence,Criminal Breach of Trust - Rate of Crime,Cheating - Incidence,Cheating - Rate of Crime,Counterfeiting - Incidence,Counterfeiting - Rate of Crime,Arson - Incidence,Arson - Rate of Crime,Hurt - Incidence,Hurt - Rate of Crime,Dowry Deaths - Incidence,Dowry Deaths - Rate of Crime,Molestation - Incidence,Molestation - Rate of Crime,Sexual Harassment - Incidence,Sexual Harassment - Rate of Crime,Cruelty by Husband and Relatives - Incidence,Cruelty by Husband and Relatives - Rate of Crime,Importaton of Girls - Incidence,Importaton of Girls - Rate of Crime,Causing Death by Negligence - Incidence,Causing Death by Negligence - Rate of Crime,Other IPC Crimes - Incidence,Other IPC Crimes - Rate of Crime,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate of Crime
State,Andhra Pradesh,2750,3.4,1724,2.2,111,0.1,935,1.2,1,0,934,1.2,1612,2,995,1.2,617,0.8,250,0.3,4,0,794,1,7954,10,23778,29.8,5465,6.8,18313,22.9,2026,2.5,948,1.2,7909,9.9,257,0.3,967,1.2,42179,52.8,443,0.6,3595,4.5,2508,3.1,8696,10.9,3,0,9973,12.5,37707,47.2,157123,196.9
State,Arunachal Pradesh,81,7,37,3.2,5,0.4,35,3,0,0,35,3,58,5,39,3.4,19,1.6,23,2,0,0,77,6.6,263,22.7,531,45.8,119,10.3,412,35.5,23,2,36,3.1,28,2.4,4,0.3,13,1.1,383,33,0,0,67,5.8,0,0,9,0.8,0,0,69,6,562,48.5,2304,198.8
State,Assam,1194,4.2,503,1.8,117,0.4,1238,4.3,0,0,1238,4.3,1751,6.1,1456,5.1,295,1,334,1.2,22,0.1,451,1.6,2255,7.9,6369,22.2,955,3.3,5414,18.9,2760,9.6,487,1.7,873,3,103,0.4,423,1.5,5906,20.6,99,0.3,899,3.1,19,0.1,2206,7.7,3,0,2695,9.4,11299,39.4,42006,146.4
State,Bihar,3471,3.9,3307,3.7,259,0.3,1147,1.3,0,0,1147,1.3,2693,3,929,1,1764,2,1212,1.3,165,0.2,2374,2.6,3117,3.5,10812,12,2134,2.4,8678,9.7,7671,8.5,1181,1.3,1829,2,50,0.1,760,0.8,11939,13.3,1014,1.1,451,0.5,13,0,1574,1.8,74,0.1,2680,3,40057,44.6,97850,108.9
State,Chhattisgarh,1013,4.5,660,2.9,41,0.2,990,4.4,0,0,990,4.4,246,1.1,184,0.8,62,0.3,204,0.9,25,0.1,401,1.8,3621,16,5600,24.8,1619,7.2,3981,17.6,893,4,110,0.5,431,1.9,73,0.3,214,0.9,3734,16.5,100,0.4,1450,6.4,132,0.6,732,3.2,0,0,2004,8.9,20959,92.8,43633,193.2
State,Goa,45,3,15,1,5,0.3,20,1.3,0,0,20,1.3,17,1.1,12,0.8,5,0.3,2,0.1,0,0,28,1.9,265,17.6,495,32.8,185,12.3,310,20.6,45,3,50,3.3,58,3.8,6,0.4,12,0.8,155,10.3,2,0.1,30,2,8,0.5,11,0.7,0,0,209,13.9,641,42.5,2119,140.6
State,Gujarat,1033,1.9,452,0.8,27,0,324,0.6,0,0,324,0.6,1164,2.1,916,1.7,248,0.5,282,0.5,15,0,966,1.8,5332,9.8,17964,33.1,7083,13.1,10881,20,1628,3,1370,2.5,1541,2.8,447,0.8,320,0.6,10503,19.4,48,0.1,802,1.5,104,0.2,4090,7.5,0,0,4120,7.6,60882,112.2,113414,209
State,Haryana,784,3.4,513,2.3,57,0.3,461,2,0,0,461,2,492,2.2,344,1.5,148,0.6,88,0.4,138,0.6,390,1.7,3437,15.1,8694,38.1,5034,22.1,3660,16.1,899,3.9,562,2.5,1204,5.3,31,0.1,119,0.5,4569,20,212,0.9,380,1.7,597,2.6,2075,9.1,0,0,1083,4.8,15879,69.7,42664,187.2
State,Himachal Pradesh,110,1.7,79,1.2,22,0.3,141,2.2,0,0,141,2.2,118,1.8,102,1.6,16,0.3,6,0.1,0,0,22,0.3,696,10.9,696,10.9,166,2.6,530,8.3,558,8.7,82,1.3,163,2.6,6,0.1,97,1.5,1359,21.3,2,0,286,4.5,29,0.5,228,3.6,0,0,480,7.5,7165,112.3,12345,193.5
State,Jammu & Kashmir,647,5.7,905,8,37,0.3,201,1.8,0,0,201,1.8,748,6.6,658,5.8,90,0.8,13,0.1,0,0,116,1,1397,12.3,1901,16.7,504,4.4,1397,12.3,1222,10.7,117,1,403,3.5,29,0.3,240,2.1,355,3.1,5,0,830,7.3,371,3.3,76,0.7,0,0,462,4.1,10040,88.3,20115,176.9
State,Jharkhand,1523,5.3,1084,3.8,87,0.3,753,2.6,5,0,748,2.6,621,2.1,283,1,338,1.2,592,2,49,0.2,732,2.5,1610,5.6,6195,21.4,1181,4.1,5014,17.4,2524,8.7,243,0.8,643,2.2,19,0.1,202,0.7,3078,10.7,257,0.9,293,1,36,0.1,590,2,4,0,1490,5.2,12550,43.4,35175,121.8
State,Karnataka,1609,2.9,1406,2.5,80,0.1,343,0.6,0,0,343,0.6,589,1.1,312,0.6,277,0.5,208,0.4,119,0.2,1202,2.2,5986,10.7,17008,30.5,5920,10.6,11088,19.9,6151,11,434,0.8,2909,5.2,133,0.2,238,0.4,20883,37.5,261,0.5,1585,2.8,71,0.1,1883,3.4,0,0,243,0.4,54239,97.4,117580,211.1
State,Kerala,388,1.2,341,1,88,0.3,478,1.4,0,0,478,1.4,226,0.7,129,0.4,97,0.3,110,0.3,158,0.5,621,1.9,4110,12.3,5454,16.4,1969,5.9,3485,10.5,6535,19.6,361,1.1,3261,9.8,79,0.2,456,1.4,18302,54.9,21,0.1,2339,7,175,0.5,3283,9.8,0,0,34,0.1,57530,172.6,104350,313
State,Madhya Pradesh,2405,3.6,2512,3.8,134,0.2,2921,4.4,0,0,2921,4.4,847,1.3,604,0.9,243,0.4,147,0.2,130,0.2,1557,2.4,11192,17,20685,31.4,6390,9.7,14295,21.7,2573,3.9,613,0.9,1292,2,51,0.1,817,1.2,33803,51.3,739,1.1,6426,9.7,792,1.2,2989,4.5,3,0,4593,7,91951,139.4,189172,286.8
State,Maharashtra,2621,2.5,1614,1.6,98,0.1,1545,1.5,0,0,1545,1.5,1194,1.2,851,0.8,343,0.3,641,0.6,307,0.3,2411,2.3,15615,15.1,46851,45.4,12189,11.8,34662,33.6,6779,6.6,1720,1.7,6391,6.2,385,0.4,1123,1.1,30017,29.1,341,0.3,3228,3.1,919,0.9,6233,6,0,0,9608,9.3,47386,45.9,187027,181.3
State,Manipur,256,10.1,252,9.9,4,0.2,25,1,0,0,25,1,106,4.2,69,2.7,37,1.5,4,0.2,0,0,8,0.3,62,2.4,243,9.6,92,3.6,151,5.9,35,1.4,52,2,122,4.8,10,0.4,155,6.1,295,11.6,0,0,25,1,0,0,20,0.8,0,0,5,0.2,1234,48.6,2913,114.7
State,Meghalaya,134,5.5,35,1.4,2,0.1,63,2.6,0,0,63,2.6,48,2,19,0.8,29,1.2,81,3.3,1,0,95,3.9,148,6,476,19.4,116,4.7,360,14.7,42,1.7,18,0.7,39,1.6,3,0.1,70,2.9,135,5.5,1,0,44,1.8,0,0,3,0.1,0,0,61,2.5,381,15.5,1880,76.7
