Category,States/ UTs/ Cities,"No. of Vehicles Motor Cycles, Scooters - Stolen","No. of Vehicles Motor Cycles, Scooters - Recovered","No. of Vehicles Motor Cycles, Scooters - Coordinated",No. of Vehicles Motor Car / Taxi / Jeep - Stolen,No. of Vehicles Motor Car / Taxi / Jeep - Recovered,No. of Vehicles Motor Car / Taxi / Jeep - Coordinated,No. of Vehicles Buses - Stolen,No. of Vehicles Buses - Recovered,No. of Vehicles Buses - Coordinated,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - Stolen,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - Recovered,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - Coordinated,No. of Vehicles Other Motor Vehicles - Stolen,No. of Vehicles Other Motor Vehicles - Recovered,No. of Vehicles Other Motor Vehicles - Coordinated,No. of Vehicles Total Motor Vehicles - Stolen,No. of Vehicles Total Motor Vehicles - Recovered,No. of Vehicles Total Motor Vehicles - Coordinated
State,Andhra Pradesh,4659,2360,0,347,126,0,0,0,0,60,32,0,399,152,0,5465,2670,0
State,Arunachal Pradesh,117,32,0,2,1,0,0,0,0,0,0,0,0,0,0,119,33,0
State,Assam,551,181,11,247,72,3,1,6,0,134,5,1,24,3,0,957,267,15
State,Bihar,1983,197,0,83,21,0,0,0,0,6,3,0,62,5,0,2134,226,0
State,Chhattisgarh,1426,522,0,83,47,0,0,0,0,0,0,0,110,73,0,1619,642,0
State,Goa,158,49,0,31,9,0,0,0,0,6,3,0,0,0,0,195,61,0
State,Gujarat,6199,1517,353,629,158,34,55,24,0,35,13,15,180,64,11,7098,1776,413
State,Haryana,3696,1227,0,1142,391,0,13,9,0,192,112,0,233,112,0,5276,1851,0
State,Himachal Pradesh,65,27,0,67,40,0,1,1,0,23,13,0,16,13,0,172,94,0
State,Jammu & Kashmir,291,52,7,164,33,4,0,0,0,6,4,0,43,20,0,504,109,11
State,Jharkhand,476,108,6,251,27,3,2,0,0,8,1,1,36,7,0,773,143,10
State,Karnataka,5073,1054,81,606,211,8,4,2,0,70,26,5,224,110,0,5977,1403,94
State,Kerala,1203,367,14,482,112,0,24,11,0,73,22,2,164,50,0,1946,562,16
State,Madhya Pradesh,5741,1740,0,554,225,0,0,0,0,0,0,0,256,131,0,6551,2096,0
State,Maharashtra,9518,2479,319,2129,378,63,13,10,3,266,85,26,287,80,28,12213,3032,439
State,Manipur,90,7,7,2,0,0,0,0,0,0,0,0,0,0,0,92,7,7
State,Meghalaya,23,4,0,90,14,0,0,0,0,2,2,0,4,0,0,119,20,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,170,39,0,71,15,0,0,0,0,0,0,0,7,2,1,248,56,1
State,Orissa,1525,405,105,51,19,4,0,0,0,7,4,0,43,8,1,1626,436,110
State,Punjab,695,319,152,357,147,88,4,5,0,75,26,8,59,26,11,1190,523,259
State,Rajasthan,5425,1027,260,809,247,18,25,11,0,109,50,3,61,20,2,6429,1355,283
State,Sikkim,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,5,4,0
State,Tamil Nadu,3108,2353,2215,93,60,54,1,1,1,24,21,21,357,189,184,3583,2624,2475
State,Tripura,52,6,0,1,0,0,0,0,0,2,2,0,2,2,0,57,10,0
State,Uttar Pradesh,5895,1292,64,1477,306,12,72,30,0,65,34,1,110,42,1,7619,1704,78
State,Uttaranchal,339,100,0,102,20,0,0,0,0,8,2,0,72,8,0,521,130,0
State,West Bengal,2166,398,25,176,56,34,0,0,0,12,5,4,81,11,0,2435,470,63
State,Total (States),60645,17863,3619,10050,2738,325,215,110,4,1183,465,87,2830,1128,239,74923,22304,4274
Union Territory,A & N Islands,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,6,6,0
Union Territory,Chandigarh,368,129,0,201,64,0,0,0,0,4,3,0,6,5,0,579,201,0
Union Territory,D & N Haveli,14,3,0,3,0,0,0,0,0,5,5,0,0,0,0,22,8,0
Union Territory,Daman & Diu,18,5,4,4,0,0,0,0,0,0,0,0,5,2,0,27,7,4
Union Territory,Delhi,4574,997,143,3515,784,85,7,4,0,251,52,10,536,412,17,8883,2249,255
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,224,138,138,9,3,3,0,0,0,0,0,0,2,2,2,235,143,143
Union Territory,Total (UTs),5203,1277,285,3732,851,88,7,4,0,260,60,10,550,422,19,9752,2614,402
Total (All-India),Total (All-India),65848,19140,3904,13782,3589,413,222,114,4,1443,525,97,3380,1550,258,84675,24918,4676
City,Agra,610,71,0,78,15,0,5,4,0,0,0,0,6,1,0,699,91,0
City,Ahmedabad,1944,255,0,268,49,0,52,23,0,0,0,0,0,0,0,2264,327,0
City,Allahabad,127,31,0,36,3,0,0,0,0,0,0,0,0,0,0,163,34,0
City,Amritsar,18,8,69,32,7,22,1,1,0,4,0,5,0,0,0,55,16,96
City,Asansol,93,22,0,0,0,0,0,0,0,0,0,0,0,0,0,93,22,0
City,Bangalore,3095,406,0,450,162,0,1,1,0,15,5,0,192,95,0,3753,669,0
City,Bhopal,609,198,0,60,27,0,0,0,0,3,3,0,0,0,0,672,228,0
City,Chennai,529,247,247,28,10,10,0,0,0,0,0,0,37,30,30,594,287,287
City,Coimbatore,249,188,188,11,8,8,0,0,0,0,0,0,3,2,2,263,198,198
City,Delhi (city),4302,928,132,3418,770,81,7,4,0,155,41,9,517,408,15,8399,2151,237
City,Dhanbad,62,22,40,13,4,9,0,0,0,9,2,7,0,0,0,84,28,56
City,Faridabad,578,87,0,134,73,0,6,5,0,15,11,0,36,13,0,769,189,0
City,Hyderabad,1702,821,0,144,21,0,0,0,0,0,0,0,166,47,0,2012,889,0
City,Indore,1314,248,0,78,23,0,1,1,0,43,8,0,0,0,0,1436,280,0
City,Jabalpur,350,167,0,12,5,0,0,0,0,4,2,0,9,6,0,375,180,0
City,Jaipur,1488,315,0,214,84,0,1,1,0,6,4,0,28,18,0,1737,422,0
City,Jamshedpur,168,27,0,15,2,0,0,0,0,21,5,0,13,3,0,217,37,0
City,Kanpur,319,90,0,124,20,0,5,3,0,0,0,0,78,2,0,526,115,0
City,Kochi,126,38,14,16,4,0,0,0,0,7,2,0,6,5,0,155,49,14
