Category,States/ UTs,Number of Police Personnel - SC,Number of Police Personnel - ST,Number of Police Personnel - Muslim,Number of Police Personnel - Others,Number of Police Personnel - Total
State,Andhra Pradesh,11322,4662,10312,52142,78438
State,Arunachal Pradesh,69,4295,63,1291,5718
State,Assam,2459,5061,5492,39037,52049
State,Bihar,5896,2045,2947,40158,51046
State,Chhattisgarh,1565,4072,201,17512,23350
State,Goa,71,127,69,3280,3547
State,Gujarat,8136,8901,3612,36948,57597
State,Haryana,3894,0,1977,30410,36281
State,Himachal Pradesh,2716,716,178,7737,11347
State,Jammu & Kashmir,1805,2163,34954,26083,65005
State,Jharkhand,NA,NA,NA,NA,NA
State,Karnataka,9441,2429,4042,38494,54406
State,Kerala,6607,512,5919,30056,43094
State,Madhya Pradesh,6428,6364,2100,59315,74207
State,Maharashtra,16310,8921,6409,104466,136106
State,Manipur,211,3214,1408,8763,13596
State,Meghalaya,1386,6725,155,663,8929
State,Mizoram,208,7401,43,440,8092
State,Nagaland,238,11162,30,546,11976
State,Orissa,4274,5938,864,23835,34911
State,Punjab,14091,38,191,56660,70980
State,Rajasthan,9625,7730,1879,43449,62683
State,Sikkim,179,1476,3,1843,3501
State,Tamil Nadu,14603,704,3135,65566,84008
State,Tripura,2703,4891,375,10400,18369
State,Uttar Pradesh,26548,1265,6671,118695,153179
State,Uttaranchal,2778,592,326,8251,11947
State,West Bengal,10813,3327,5730,60169,80039
State,Total (States),164376,104731,99085,886209,1254401
Union Territory,A & N Islands,0,273,233,2238,2744
Union Territory,Chandigarh,636,3,15,3409,4063
Union Territory,D & N Haveli,22,113,3,85,223
Union Territory,Daman & Diu,74,8,10,152,244
Union Territory,Delhi,8371,2995,1234,41566,54166
Union Territory,Lakshadweep,3,194,2,74,273
Union Territory,Pondicherry,462,14,52,1653,2181
Union Territory,Total (UTs),9568,3600,1549,49177,63894
Total (All-India),Total (All-India),173944,108331,100634,935386,1318295
