State,Andhra Pradesh,DG/ Addl.DG/IG/DIG - Sanctioned,DG/ Addl.DG/IG/DIG - Actual,SSP/SP/Addl.SP/ ASP/ Dy.SP - Sanctioned,SSP/SP/Addl.SP/ ASP/ Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,Arunachal Pradesh,5,5,86,78,1145,1090,13136,11701,14372,12874
State,Assam,0,0,27,18,112,78,2901,2433,3040,2529
State,Bihar,0,0,202,185,1000,965,24712,22558,25914,23708
State,Chhattisgarh,4,4,109,35,1031,654,15250,8140,16394,8833
State,Goa,3,3,85,34,944,714,9833,9112,10865,9863
State,Gujarat,0,0,4,3,39,27,676,515,719,545
State,Haryana,0,0,42,41,1501,1349,10752,9455,12295,10845
State,Himachal Pradesh,2,1,43,18,542,509,6506,5334,7093,5862
State,Jammu & Kashmir,4,4,51,35,321,283,5503,2972,5879,3294
State,Jharkhand,4,4,213,141,1077,1042,18006,17265,19300,18452
State,Karnataka,0,0,4,0,144,213,3342,2199,3490,2412
State,Kerala,0,0,7,6,220,178,3964,3588,4191,3772
State,Madhya Pradesh,0,0,59,35,475,302,9185,7541,9719,7878
State,Maharashtra,0,0,0,0,1961,1961,18121,18121,20082,20082
State,Manipur,4,4,79,26,1930,1361,13881,12179,15894,13570
State,Meghalaya,3,3,136,62,384,269,10879,8494,11402,8828
State,Mizoram,0,0,43,42,185,136,3695,3117,3923,3295
State,Nagaland,0,0,52,52,211,211,4213,4213,4476,4476
State,Orissa,0,0,33,33,162,162,6310,6281,6505,6476
State,Punjab,0,0,105,80,625,396,8904,7951,9634,8427
State,Rajasthan,7,7,194,194,1019,1019,17618,17618,18838,18838
State,Sikkim,6,3,91,91,457,291,12142,10418,12696,10803
State,Tamil Nadu,1,1,14,15,122,127,1695,1436,1832,1579
State,Tripura,3,3,73,68,577,542,13838,12495,14491,13108
State,Uttar Pradesh,0,0,113,53,526,316,12135,8619,12774,8988
State,Uttaranchal,13,12,159,112,1138,923,32070,31993,33380,33040
State,West Bengal,0,1,0,11,108,106,2914,2686,3022,2804
State,Total (States),8,8,164,127,2713,1796,21911,17136,24796,19067
Union Territory,A & N Islands,67,63,2188,1595,20669,17020,304092,265570,327016,284248
Union Territory,Chandigarh,1,1,4,2,30,28,581,481,616,512
Union Territory,D & N Haveli,0,0,1,1,14,14,404,404,419,419
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,0,0,0,0,0,0
Union Territory,Lakshadweep,2,2,87,31,775,594,13072,9816,13936,10443
Union Territory,Pondicherry,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,0,2,2,26,18,737,641,765,661
Total (All-India),Total (All-India),3,3,94,36,845,654,14794,11342,15736,12035
TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),70,66,2282,1631,21514,17674,318886,276912,342752,296283
