Category,States/UTs,Total No. of Persons under Trial including those from Previous Year,Number of Persons whose - Cases Compounded or Withdrawn,Number of Persons whose - Trial Completed,Number of Persons whose - Trial Remained Pending,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to all India Total
State,Andhra Pradesh,542040,37569,151108,353363,49709,65.2,3
State,Arunachal Pradesh,18886,200,909,17777,505,94.1,0.2
State,Assam,163275,4263,36731,122281,6402,74.9,1.1
State,Bihar,1464994,6918,118700,1339376,12347,91.4,11.5
State,Chhattisgarh,233741,10832,44220,178689,23144,76.4,1.5
State,Goa,13082,115,1718,11249,369,86,0.1
State,Gujarat,1372180,8021,87515,1276644,20726,93,11
State,Haryana,279043,756,53262,225025,16924,80.6,1.9
State,Himachal Pradesh,103839,3331,13900,86608,2278,83.4,0.7
State,Jammu & Kashmir,153875,4521,20551,128803,4559,83.7,1.1
State,Jharkhand,171572,3182,81838,86552,8421,50.4,0.7
State,Karnataka,464317,19629,135730,308958,25749,66.5,2.7
State,Kerala,669127,12993,125246,530888,45857,79.3,4.6
State,Madhya Pradesh,1487987,113023,217762,1157202,100141,77.8,9.9
State,Maharashtra,2434680,21736,148538,2264406,12928,93,19.5
State,Manipur,3154,13,108,3033,59,96.2,0
State,Meghalaya,11070,44,597,10429,249,94.2,0.1
State,Mizoram,5072,0,3646,1426,3548,28.1,0
State,Nagaland,3225,33,1453,1739,1335,53.9,0
State,Orissa,511367,49,56797,454521,8121,88.9,3.9
State,Punjab,133693,1204,23938,108551,7732,81.2,0.9
State,Rajasthan,975166,31020,127956,816190,71365,83.7,7
State,Sikkim,681,47,210,424,95,62.3,0
State,Tamil Nadu,522049,2738,224369,294942,113750,56.5,2.5
State,Tripura,6750,34,3651,3065,669,45.4,0
State,Uttar Pradesh,1141511,18934,185259,937318,106032,82.1,8.1
State,Uttaranchal,52259,738,6545,44976,3816,86.1,0.4
State,West Bengal,703127,1641,49931,651555,5705,92.7,5.6
State,Total (States),13641762,303584,1922188,11415990,652535,83.7,98.1
Union Territory,A & N Islands,6029,0,285,5744,138,95.3,0
Union Territory,Chandigarh,12291,0,1372,10919,797,88.8,0.1
Union Territory,D & N Haveli,3761,0,383,3378,10,89.8,0
Union Territory,Daman & Diu,1531,26,140,1365,16,89.2,0
Union Territory,Delhi,230892,0,35542,195350,18987,84.6,1.7
Union Territory,Lakshadweep,383,0,11,372,4,97.1,0
Union Territory,Pondicherry,11043,377,3498,7168,2705,64.9,0.1
Union Territory,Total (UTs),265930,403,41231,224296,22657,84.3,1.9
Total (All-India),Total (All-India),13907692,303987,1963419,11640286,675192,83.7,100
