Category,States/ UTs,Pending Investigation from Previous Year,Cases Regd. during the Year,Total Cases for Investigation,Cases Investigated,Cases not Investigated or Investigation Dropped,Cases Transferred to Local Police,Cases Declared False Etc. during Year,Cases Chargesheeted,Cases Pending for Dept. Sanction for Prosecution,Cases Sent Up for Trial and also Reported for Dept. Action,Cases Reported for Regular Departmental Action,Cases Reported for Suitable Action,Cases in which Chargesheets not Laid but Final Report Submitted,Cases Pending Investigation at the end of Year,Cases Resulted in Recovery or Seizure,Value of Property Recovered / Seized (in Rs.'000),Percentage of Cases Charge Sheeted to Total Cases Investigated,Cases Pending Trial from the Previous Year,Cases Sent Up for Trial during the Year,Total Cases for Trial,Cases Withdrawn/ Discharged or other wise Disposed of,Trials Completed during the Year,Cases Convicted,Cases Acquitted or Discharged,Pending Trial at the end of the Year,Percentage of Cases Convicted to Trials Completed,Total Amt. of Fine Imposed during the Year (in Rs.'000)
State,Andhra Pradesh,279,251,530,300,2,0,0,232,43,78,9,0,69,232,184,20861.8,77.3,1023,232,1255,8,148,84,64,1099,56.8,965.8
State,Arunachal Pradesh,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,69,9,78,78,0,0,0,1,22,1,0,0,0,69,0,0,1.3,40,1,41,0,1,1,0,40,100,0
State,Bihar,319,21,340,340,0,0,0,23,0,43,0,0,0,227,6,18.4,6.8,347,30,377,2,3,3,0,372,100,0
State,Chhattisgarh,82,37,119,105,0,0,0,21,37,0,0,0,4,57,36,4766.2,20,137,21,158,0,31,15,16,127,48.4,50
State,Goa,1,2,3,3,0,0,0,1,0,1,0,2,0,2,2,10,33.3,0,1,1,0,0,0,0,1,0,0
State,Gujarat,135,205,340,177,0,0,3,141,33,0,0,0,3,196,175,799.9,79.7,1503,141,1644,0,329,109,220,1315,33.1,571.8
State,Haryana,199,151,350,243,1,0,3,114,26,68,0,0,25,214,41,148.9,46.9,529,114,643,4,107,29,78,532,27.1,254
State,Himachal Pradesh,133,48,181,181,0,0,0,39,20,12,1,0,9,133,20,94,21.5,80,39,119,1,18,5,13,100,27.8,82
State,Jammu & Kashmir,213,65,278,127,0,1,0,44,33,0,26,0,184,151,5,12015.4,34.6,317,44,361,5,32,9,23,324,28.1,771
State,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Karnataka,142,313,455,455,5,1,0,172,81,0,0,0,0,196,39,19463.6,37.8,683,172,855,6,271,42,229,578,15.5,1815.4
State,Kerala,520,143,663,663,0,1,25,117,17,1,7,26,30,531,4,0,17.6,379,117,496,0,55,27,28,441,49.1,1129
State,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
State,Maharashtra,471,437,908,908,0,1,0,368,213,0,12,0,25,536,172,7233.5,40.5,2561,368,2929,11,617,159,458,2301,25.8,696.8
State,Manipur,12,3,15,15,0,0,0,2,0,1,0,0,4,9,0,0,13.3,15,2,17,0,0,0,0,17,0,0
State,Meghalaya,0,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,2,0,0
State,Nagaland,6,1,7,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
