Crime Head,Total No. of Cases for Trial Including Pending Cases from previous year,Cases Withdrawn by Govt.,No. of Cases Compounded or Withdrawn,No. of Cases In Which Trials were completed - Convicted,No. of Cases In Which Trials were completed - Acquitted or Discharged,No. of Cases In Which Trials were completed - Total {(Col.6) + (Col.7)},No. of Cases Pending Trial at the end of the year
Murder,173909,1,204,9329,17620,26949,146756
Attempt to Commit Murder,141639,2,423,7630,17349,24979,116237
C.H. Not Amounting to Murder,18318,0,38,945,1952,2897,15383
Rape - Total,72929,0,304,3645,10670,14315,58310
Rape - (i) Custodial Rape,3,0,0,0,0,0,3
Rape - (ii) Other Rape,72926,0,304,3645,10670,14315,58307
Kidnapping & Abduction - Total,78563,44,515,2546,7849,10395,67653
Kidnapping & Abduction - (i) Of Women & Girls,53949,2,438,1752,5166,6918,46593
Kidnapping & Abduction - (ii) Of Others,24614,42,77,794,2683,3477,21060
Dacoity,34266,1,11,934,3154,4088,30167
Preparation & Assembly For Dacoity,10229,0,3,399,1251,1650,8576
Robbery,89080,2,140,3125,7252,10377,78563
Burglary,246694,13,965,10511,18813,29324,216405
Theft - Total,699492,29,2703,33705,50770,84475,612314
Theft - (i) Auto Theft,124060,5,273,7644,9194,16838,106949
Theft - (ii) Other Theft,575432,24,2430,26061,41576,67637,505365
Riots,401108,202,5927,8956,32597,41553,353628
Criminal Breach of Trust,79329,3,358,1714,4506,6220,72751
Cheating,179500,9,1858,4265,11283,15548,162094
Counterfeiting,5241,8,10,237,421,658,4573
Arson,33889,2,226,1081,3972,5053,28610
Hurt,1122101,848,53689,50958,101348,152306,916106
Dowry Death,29220,6,146,1861,3719,5580,23494
Molestation,146766,9,6039,6115,14264,20379,120348
Sexual Harassment,30189,3,749,4112,3567,7679,21761
Cruelty by Husband and Relatives,228525,1,5169,5739,24127,29866,193490
Importation of Girls,214,0,2,8,15,23,189
Causing Death by Negligence,236593,7,1834,14618,22578,37196,197563
Other IPC Crimes,2933714,10962,74203,257658,224072,481730,2377781
Total Cognizable Crimes Under IPC,6991508,12152,155516,430091,583149,1013240,5822752
