Category,States/Uts/Cities,Incidence,Percentage Contribution to All India Total,Estimated Mid-year Population (In Lakhs)#,Rate of Total Cognizable Crimes,Rank based on Rate of total cognizable crimes,Rank based on Percentage share
State,Andhra Pradesh,20819,13.4,798.1,26.1,2,1
State,Arunachal Pradesh,150,0.1,11.6,12.9,16,24
State,Assam,6027,3.9,286.9,21,5,12
State,Bihar,6019,3.9,898.2,6.7,29,13
State,Chhattisgarh,3599,2.3,225.8,15.9,12,16
State,Goa,121,0.1,15.1,8,27,28
State,Gujarat,6343,4.1,542.7,11.7,19,9
State,Haryana,4161,2.7,227.9,18.3,10,15
State,Himachal Pradesh,793,0.5,63.8,12.4,17,21
State,Jammu & Kashmir,2144,1.4,113.7,18.9,9,18
State,Jharkhand,2544,1.6,288.9,8.8,24,17
State,Karnataka,6057,3.9,557,10.9,20,11
State,Kerala,6762,4.3,333.4,20.3,7,8
State,Madhya Pradesh,14529,9.3,659.5,22,4,3
State,Maharashtra,13370,8.6,1031.6,13,15,4
State,Manipur,140,0.1,25.4,5.5,32,25
State,Meghalaya,131,0.1,24.5,5.3,33,26
State,Mizoram,95,0.1,9.5,10,22,29
State,Nagaland,37,0,21.2,1.7,34,31
State,Orissa,6249,4,387.5,16.1,11,10
State,Punjab,1969,1.3,257.6,7.6,28,19
State,Rajasthan,11657,7.5,616.7,18.9,8,6
State,Sikkim,62,0,5.8,10.8,21,30
State,Tamil Nadu,8648,5.6,648.6,13.3,14,7
State,Tripura,840,0.5,33.9,24.8,3,20
State,Uttar Pradesh,14875,9.6,1814.9,8.2,26,2
State,Uttaranchal,786,0.5,91.2,8.6,25,22
State,West Bengal,11887,7.6,850.6,14,13,5
State,Total (States),150814,97,10841.46,13.9,NA,NA
Union Territory,A & N Islands,22,0,3.9,5.7,31,33
Union Territory,Chandigarh,205,0.1,10,20.5,6,23
Union Territory,D & N Haveli,24,0,2.4,9.8,23,32
Union Territory,Daman & Diu,10,0,1.8,5.7,30,34
Union Territory,Delhi,4351,2.8,157.4,27.6,1,14
Union Territory,Lakshadweep,0,0,0.7,0,NA,NA
Union Territory,Pondicherry,127,0.1,10.3,12.3,18,27
Union Territory,Total (UTs),4739,3,186.45,25.4,NA,NA
Total (All-India),Total (All-India),155553,100,11027.91,14.1,NA,NA
City,Agra,489,2.3,13.2,37,6,15
City,Ahmedabad,1004,4.8,45.2,22.2,17,5
City,Allahabad,102,0.5,10.5,9.7,29,32
City,Amritsar,66,0.3,10.1,6.5,34,35
City,Asansol,377,1.8,10.9,34.6,7,20
City,Bangalore,1488,7.1,56.9,26.2,12,3
City,Bhopal,364,1.7,14.6,25,14,21
City,Chennai,815,3.9,64.3,12.7,27,6
City,Coimbatore,331,1.6,14.5,22.9,16,23
City,Delhi (city),3850,18.3,127.9,30.1,11,1
City,Dhanbad,92,0.4,10.6,8.6,31,33
City,Faridabad,410,2,10.6,38.9,3,18
City,Hyderabad,2057,9.8,55.3,37.2,4,2
City,Indore,522,2.5,16.4,31.8,9,14
City,Jabalpur,415,2,11.2,37.2,5,17
City,Jaipur,782,3.7,23.2,33.6,8,7
City,Jamshedpur,168,0.8,11,15.2,23,30
City,Kanpur,644,3.1,26.9,23.9,15,9
City,Kochi,129,0.6,13.6,9.5,30,31
City,Kolkata,544,2.6,132.2,4.1,35,13
City,Lucknow,582,2.8,22.7,25.7,13,11
City,Ludhiana,215,1,14,15.4,22,26
City,Madurai,261,1.2,12,21.8,18,24
City,Meerut,353,1.7,11.7,30.2,10,22
City,Mumbai,1288,6.1,163.7,7.9,32,4
City,Nagpur,440,2.1,21.2,20.7,20,16
City,Nasik,207,1,11.5,18,21,28
City,Patna,226,1.1,17.1,13.2,26,25
City,Pune,565,2.7,37.6,15,24,12
City,Rajkot,211,1,10,21.1,19,27
City,Surat,379,1.8,28.1,13.5,25,19
City,Vadodara,189,0.9,14.9,12.7,28,29
City,Varanasi,86,0.4,12.1,7.1,33,34
City,Vijayawada,613,2.9,10.1,60.6,1,10
City,Vishakhapatnam,733,3.5,13.3,55.2,2,8
City,Total (Cities),20997,100,1078.8,19.5,NA,NA
