Crime Head (Col.1),Total No. of persons under Trial including those from previous year (Col.2),No. of Persons whose - Cases Compounded or Withdrawn (Col.3),No. of Persons whose - Trial Completed (Col.4),No. of Persons whose - Trial Remained Pending (Col.5),No. of Persons Convicted (Col.6),Percentage of Persons - whose Trails Remained Pending (Col.7) =  (Col.(6)× 100/ Col(3)},Percentage of Persons - Convicted to Trials Completed (Col.8) = (Col.(7) × 100 / Col(5))
Arms Act,401972,1525,62231,338216,35779,84.1,57.5
Narcotic Drugs & Psy. Substances Act,147884,327,26608,120949,15424,81.8,58
Gambling Act,1137158,3262,327141,806755,268681,70.9,82.1
Excise Act,548992,5973,127772,415247,95004,75.6,74.4
Prohibition Act,2347770,26994,234135,2086641,83277,88.9,35.6
Explosive & Explosive Substances Act,33162,22,4837,28303,2266,85.3,46.8
Immoral Traffic (P) Act,35312,45,9423,25844,7075,73.2,75.1
Railways Act,25049,68,4590,20391,3801,81.4,82.8
Registration of Foreigners Act,7721,7,1167,6547,961,84.8,82.3
Protection of Civil Rights Act - Total,6825,19,1044,5762,223,84.4,21.4
Protection of Civil Rights Act - (i) PCR Act for SCs,6537,9,1013,5515,223,84.4,22
Protection of Civil Rights Act - (ii) PCR Act for STs,288,10,31,247,0,85.8,0
Indian Passport Act,4905,714,884,3307,510,67.4,57.7
Essential Commodities Act,49526,65,4579,44882,978,90.6,21.4
Terrorist & Disruptive Activities Act,5452,0,167,5285,25,96.9,15
Antiquity & Art Treasure Act,263,0,46,217,19,82.5,41.3
Dowry Prohibition Act,31162,561,5462,25139,1256,80.7,23
Child Marriage Restraint Act,1885,7,230,1648,86,87.4,37.4
Indecent Representation of Women (P) Act,4263,64,2848,1351,2711,31.7,95.2
Copyrights Act,30851,171,4809,25871,2225,83.9,46.3
Sati Prevention Act,18,0,0,18,0,100,0
SC/ST (Prevention of Atrocities) Act - Total,104206,497,18222,85487,4394,82,24.1
SC/ST (Prevention of Atrocities) Act - (i) Attrocities Act for SCs,93560,419,16041,77100,3942,82.4,24.6
SC/ST (Prevention of Atrocities) Act - (ii) Attrocities Act for STs,10646,78,2181,8387,452,78.8,20.7
Forest Act,32255,89,7120,25046,4981,77.6,70
Other SLL Crimes,3742100,9073,1944697,1788330,1740381,47.8,89.5
Total Cognizable Crimes Under SLL,8698731,49483,2788012,5861236,2270057,67.4,81.4
