Category,States/ UTs,No. of Complaints Received/ Alleged During the Year,Complaints Received/Cases Registered No. of Inquiry Instituted - Departmental,Complaints Received/Cases Registered No. of Inquiry Instituted - Magisterial,Complaints Received/Cases Registered No. of Inquiry Instituted - Judicial,Complaints Received/Cases Registered Complaints / Cases Declared False/Unsustantiated,Complaints Received/Cases Registered No. of Cases Registered during the Year,Complaints Received/Cases Registered No. of Cases - Reported for Regular Deptt. Action,Complaints Received/Cases Registered No. of Cases - Sent Up for Trials/ Chargesheeted,Police Personnel Involved/Action Taken - Police Personnel Involved/Action Taken,Police Personnel Involved/Action Taken - No. of Police Personnel in whose Cases withdrawn or Otherwise Disposed of,Police Personnel Involved/Action Taken - No. of Personnel in whose Cases Trial was Completed,Police Personnel Involved/Action Taken - No. of Police Personnel - Convicted,Police Personnel Involved/Action Taken - No. of Police Personnel - Acquitted,Departmental Action/Punishment - No. of Police Personnel - Against whom Disciplinary Action Initiated,Departmental Action/Punishment - No. of Police Personnel in whose Cases Withdrawn or Otherwise Disposed of,Departmental Action/Punishment - No. of Police Personnel in whose Cases Trial Was Completed,Departmental Action/Punishment - No. of Police Personnel - Dismissed/ Removed from Service,Departmental Action/Punishment - No. of Police Personnel - Major Punishment Awarded,Departmental Action/Punishment - No. of Police Personnel - Minor Punishment Awarded
State,Andhra Pradesh,7453,633,0,74,663,6271,609,6220,99,5,7,2,5,2334,682,14,33,271,1667
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,8,0,1,7
State,Assam,20,37,0,6,0,28,35,13,14,0,0,0,0,22,0,0,4,4,60
State,Bihar,45,0,10,36,5,13,1,29,93,19,1,0,1,858,39,567,7,294,267
State,Chhattisgarh,1006,284,4,18,727,40,4,1982,54,37,36,30,6,69,2,30,4,13,7
State,Goa,20,2,0,0,18,3,0,0,0,0,0,0,0,205,174,2,0,1,131
State,Gujarat,4214,518,0,6,410,267,1755,198,247,15,43,31,12,1191,164,1147,62,255,1099
State,Haryana,1234,1025,0,5,1189,94,8,8,12,0,3,0,3,11,0,3,0,0,0
State,Himachal Pradesh,210,18,2,1,195,3,0,4,5,1,1,1,0,47,5,16,2,12,31
State,Jammu & Kashmir,2517,2307,0,34,664,34,123,6,345,172,3,0,3,2478,686,40,75,969,663
State,Jharkhand,8,1,0,7,4,1,0,0,0,0,0,0,0,525,52,149,13,114,46
State,Karnataka,261,226,1,6,15,65,61,38,47,2,15,2,13,888,332,657,16,48,675
State,Kerala,1982,1902,4,4,803,186,146,41,42,2,7,1,6,620,104,117,15,48,204
State,Madhya Pradesh,19748,5184,603,0,16834,588,52,18,40,13,6,5,1,339,129,393,30,66,275
State,Maharashtra,4401,546,8,9,3216,434,314,254,266,6,37,13,24,330,16,239,63,75,101
State,Manipur,4,3,0,0,0,4,4,0,0,0,0,0,0,8,0,0,0,0,2
State,Meghalaya,33,27,6,0,0,6,4,0,0,1,0,0,0,81,1,7,9,24,170
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,8,2,0,1,0,4,1,4,4,1,1,1,0,2,0,0,2,1,0
State,Orissa,53,6,21,26,4,55,14,30,35,8,1,0,1,260,62,54,7,171,215
State,Punjab,3798,2641,11,1,3047,98,54,22,30,10,11,4,7,1695,191,378,203,1294,2439
State,Rajasthan,1067,267,0,0,800,116,41,48,74,0,2,1,1,4503,1018,2884,87,362,2435
State,Sikkim,17,17,0,0,0,0,17,0,0,0,0,0,0,17,0,5,0,2,3
State,Tamil Nadu,136,85,25,26,4,126,109,47,157,74,43,5,38,2771,206,1952,60,399,1493
State,Tripura,62,57,1,4,1,10,56,6,9,1,1,0,1,294,18,246,7,22,268
State,Uttar Pradesh,5284,1363,13,2,3906,1378,1324,54,71,5,5,1,4,1787,184,1603,50,244,1309
State,Uttaranchal,908,898,1,9,196,9,703,9,9,0,0,0,0,703,235,420,16,46,358
State,West Bengal,44,32,0,13,0,24,21,9,10,1,2,0,2,41,1,0,1,1,19
State,Total (States),54533,18081,710,288,32701,9857,5456,9040,1663,373,225,97,128,22114,4302,10931,766,4737,13944
Union Territory,A & N Islands,167,55,3,0,138,19,3,6,4,0,0,0,0,28,5,8,0,1,5
Union Territory,Chandigarh,192,192,0,0,168,0,0,0,0,0,0,0,0,112,138,0,3,49,177
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,6665,612,0,0,1583,86,0,0,0,0,0,0,0,211,0,0,87,364,1728
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,3,0,0,0,0,3,0,1,1,0,0,0,0,38,2,0,0,0,0
Union Territory,Total (UTs),7027,859,3,0,1889,108,3,7,5,0,0,0,0,389,145,8,90,414,1910
Total (All-India),Total (All-India),61560,18940,713,288,34590,9965,5459,9047,1668,373,225,97,128,22503,4447,10939,856,5151,15854
