Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
Arms Act,77402,255,77657,99.7,0.3
Narcotic Drugs & Psychotropic Substances Act,32019,1876,33895,94.5,5.5
Gambling Act,388285,601,388886,99.8,0.2
Excise Act,155056,10053,165109,93.9,6.1
Prohibition Act,267743,72694,340437,78.6,21.4
Explosive & Explosive Substances Act,5041,67,5108,98.7,1.3
Immoral Traffic (P) Act,3547,9118,12665,28,72
Railways Act,342,1,343,99.7,0.3
Registration of Foreigners Act,2041,757,2798,72.9,27.1
Protection of Civil Rights Act - Total,613,22,635,96.5,3.5
Protection of Civil Rights Act - (i) PCR Act for SCs,562,22,584,96.2,3.8
Protection of Civil Rights Act - (ii) PCR Act for STs,51,0,51,100,0
Indian Passport Act,1494,326,1820,82.1,17.9
Essential Commodities Act,9953,93,10046,99.1,0.9
Terrorist & Disruptive Activities Act,170,8,178,95.5,4.5
Antiquity & Art Treasure Act,39,0,39,100,0
Dowry Prohibition Act,5995,1202,7197,83.3,16.7
Child Marriage Restraint Act,312,99,411,75.9,24.1
Indecent Representation of Women (P) Act,2408,568,2976,80.9,19.1
Copyrights Act,8739,21,8760,99.8,0.2
Sati Prevention Act,18,0,18,100,0
SC/ST (Prevention of Atrocities) Act - Total,16518,556,17074,96.7,3.3
SC/ST (Prevention of Atrocities) Act - (i) Attrocities Act for SCs,14718,466,15184,96.9,3.1
SC/ST (Prevention of Atrocities) Act - (ii) Attrocities Act for STs,1800,90,1890,95.2,4.8
Forest Act,7639,7,7646,99.9,0.1
Other SLL Crimes,2347884,56317,2404201,97.7,2.3
Total Cognizable Crimes under SLL,3333258,154641,3487899,95.6,4.4
