Category,States/UTs,Total No. of persons under Arrest* including those from previous year,Number of Persons Released before Trial,Number of Persons Charge Sheeted,Number of Persons under investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to all India Total
State,Andhra Pradesh,290255,9549,214244,66462,22.9,11.9
State,Arunachal Pradesh,3986,1096,1627,1263,31.7,0.2
State,Assam,129468,24393,41281,63794,49.3,11.4
State,Bihar,265059,19120,154046,91893,34.7,16.4
State,Chhattisgarh,56647,92,55521,1034,1.8,0.2
State,Goa,3831,371,1809,1651,43.1,0.3
State,Gujarat,165177,32,155170,9975,6,1.8
State,Haryana,62348,11,58364,3973,6.4,0.7
State,Himachal Pradesh,20553,207,18237,2109,10.3,0.4
State,Jammu & Kashmir,27833,800,26877,156,0.6,0
State,Jharkhand,64811,10172,27176,27463,42.4,4.9
State,Karnataka,157304,3679,139483,14142,9,2.5
State,Kerala,180553,2660,145835,32058,17.8,5.7
State,Madhya Pradesh,317671,45,314888,2738,0.9,0.5
State,Maharashtra,339761,4868,280432,54461,16,9.7
State,Manipur,2972,1303,133,1536,51.7,0.3
State,Meghalaya,4531,522,858,3151,69.5,0.6
State,Mizoram,4404,0,2552,1852,42.1,0.3
State,Nagaland,2005,22,1242,741,37,0.1
State,Orissa,86475,84,78257,8134,9.4,1.5
State,Punjab,59618,1975,36377,21266,35.7,3.8
State,Rajasthan,179745,15,178877,853,0.5,0.2
State,Sikkim,1021,452,292,277,27.1,0
State,Tamil Nadu,243491,5102,204651,33738,13.9,6
State,Tripura,6572,1610,3586,1376,20.9,0.2
State,Uttar Pradesh,233901,8357,199576,25968,11.1,4.6
State,Uttaranchal,16144,2186,11091,2867,17.8,0.5
State,West Bengal,158267,25145,82282,50840,32.1,9.1
State,Total (States),3084403,123868,2434764,525771,17,94.1
Union Territory,A & N Islands,1157,0,731,426,36.8,0.1
Union Territory,Chandigarh,3478,184,2368,926,26.6,0.2
Union Territory,D & N Haveli,850,20,681,149,17.5,0
Union Territory,Daman & Diu,331,5,293,33,10,0
Union Territory,Delhi,80776,5926,44057,30793,38.1,5.5
Union Territory,Lakshadweep,66,0,18,48,72.7,0
Union Territory,Pondicherry,6894,0,6159,735,10.7,0.1
Union Territory,Total (UTs),93552,6135,54307,33110,35.4,5.9
Total (All-India),Total (All-India),3177955,130003,2489071,558881,17.6,100
