Category,States/ UTs/ Cities,No. of Cases in which Offenders were known to the Victims,No. of Cases in which Offenders were Parents / Close Family Members,No. of Cases in which Offenders were Relatives,No. of Cases in which Offenders were Neighbours,No. of Cases in which Offenders were Other Known Persons
State,Andhra Pradesh,935,18,98,399,420
State,Arunachal Pradesh,35,0,0,0,35
State,Assam,1182,7,40,444,691
State,Bihar,1147,10,0,508,629
State,Chhattisgarh,981,110,137,254,480
State,Goa,17,1,1,6,9
State,Gujarat,314,19,9,59,227
State,Haryana,457,15,7,204,231
State,Himachal Pradesh,139,5,8,43,83
State,Jammu & Kashmir,201,0,26,60,115
State,Jharkhand,525,120,23,153,229
State,Karnataka,298,5,29,100,164
State,Kerala,475,12,44,217,202
State,Madhya Pradesh,2820,141,230,999,1450
State,Maharashtra,1487,38,89,524,836
State,Manipur,25,1,0,1,23
State,Meghalaya,51,4,1,18,28
State,Mizoram,0,0,0,0,0
State,Nagaland,16,0,0,0,16
State,Orissa,659,7,40,106,506
State,Punjab,378,50,13,131,184
State,Rajasthan,961,33,52,177,699
State,Sikkim,18,1,0,0,17
State,Tamil Nadu,566,11,71,210,274
State,Tripura,162,0,7,108,47
State,Uttar Pradesh,1147,70,77,400,600
State,Uttaranchal,133,3,4,26,100
State,West Bengal,49,36,1,5,7
State,Total (States),15178,717,1007,5152,8302
Union Territory,A & N Islands,4,0,0,1,3
Union Territory,Chandigarh,33,1,0,11,21
Union Territory,D & N Haveli,5,0,0,2,3
Union Territory,Daman & Diu,2,0,0,0,2
Union Territory,Delhi,641,32,23,350,236
Union Territory,Lakshadweep,0,0,0,0,0
Union Territory,Pondicherry,6,0,0,5,1
Union Territory,Total (UTs),691,33,23,369,266
Total (All-India),Total (All-India),15869,750,1030,5521,8568
City,Agra,3,0,2,1,0
City,Ahmedabad,35,8,0,21,6
City,Allahabad,5,0,1,1,3
City,Amritsar,4,1,0,1,2
City,Asansol,0,0,0,0,0
City,Bangalore,38,5,1,8,24
City,Bhopal,54,3,9,21,21
City,Chennai,43,2,0,0,41
City,Coimbatore,6,0,0,5,1
City,Delhi (city),552,29,15,279,229
City,Dhanbad,1,1,0,0,0
City,Faridabad,18,1,0,8,9
City,Hyderabad,67,6,18,9,34
City,Indore,71,0,1,60,10
City,Jabalpur,49,0,0,25,24
City,Jaipur,22,2,1,6,13
City,Jamshedpur,20,1,4,7,8
City,Kanpur,18,1,2,5,10
City,Kochi,7,0,0,2,5
City,Kolkata,13,0,1,5,7
City,Lucknow,28,6,0,20,2
City,Ludhiana,39,0,2,5,32
City,Madurai,5,0,0,0,5
City,Meerut,12,0,0,10,2
City,Mumbai,150,5,10,56,79
City,Nagpur,52,4,4,23,21
City,Nasik,21,2,1,2,16
City,Patna,27,0,0,20,7
City,Pune,77,2,9,58,8
City,Rajkot,7,1,0,0,6
City,Surat,23,0,0,7,16
City,Vadodara,5,1,0,2,2
City,Varanasi,6,0,0,2,4
City,Vijayawada,32,0,0,0,32
City,Vishakhapatnam,28,0,0,27,1
City,Total (Cities),1538,81,81,696,680
