Category (Col.1),States/ UTs (Col.2),Total No. of Cases for Trial Including Pending Cases from previous year (Col.3),Cases Withdrawn by Govt. (Col.4),No. of Cases Compounded or Withdrawn (Col.5),No. of Cases In which Trials were completed - Convicted (Col.6),No. of Cases In which Trials were completed - Acquitted or Discharged (Col.7),No. of Cases In which Trials were completed - Total {(Col.6) + (Col.7)} (Col.8),No. of Cases Pending Trial at the end of the year (Col.9),Pendency Percentage (Col.10),Percentage of Pendency to All India Total (Col.11),Conviction Rate {(Col.6)/(Col.8)} × 100 (Col.12)
State,ANDHRA PRADESH,535299,0,1688,503977,7693,511670,21941,4.1,0.5,98.5
State,ARUNACHAL PRADESH,535,0,0,5,8,13,522,97.6,0,38.5
State,ASSAM,9847,0,23,301,968,1269,8555,86.9,0.2,23.7
State,BIHAR,42989,0,35,1610,2968,4578,38376,89.3,0.8,35.2
State,CHHATTISGARH,259879,0,10937,145898,7767,153665,95277,36.7,2,94.9
State,GOA,8930,0,0,2654,681,3335,5595,62.7,0.1,79.6
State,GUJARAT,1451407,3,1733,28048,58469,86517,1363157,93.9,29.1,32.4
State,HARYANA,130963,0,0,15818,12339,28157,102806,78.5,2.2,56.2
State,HIMACHAL PRADESH,24857,1,197,504,3571,4075,20585,82.8,0.4,12.4
State,JAMMU & KASHMIR,15921,0,26,330,1218,1548,14347,90.1,0.3,21.3
State,JHARKHAND,9486,144,75,367,1430,1797,7614,80.3,0.2,20.4
State,KARNATAKA,36705,1,115,7908,5563,13471,23119,63,0.5,58.7
State,KERALA,132791,7,771,32282,7608,39890,92130,69.4,2,80.9
State,MADHYA PRADESH,327920,1875,927,212199,15527,227726,99267,30.3,2.1,93.2
State,MAHARASHTRA,1199991,673,19495,11733,77512,89245,1091251,90.9,23.3,13.1
State,MANIPUR,1897,0,25,31,16,47,1825,96.2,0,66
State,MEGHALAYA,1067,0,21,50,25,75,971,91,0,66.7
State,MIZORAM,1776,0,0,690,154,844,932,52.5,0,81.8
State,NAGALAND,2025,15,58,905,370,1275,692,34.2,0,71
State,ORISSA,49407,0,0,1193,4206,5399,44008,89.1,0.9,22.1
State,PUNJAB,93745,0,59,13776,4346,18122,75564,80.6,1.6,76
State,RAJASTHAN,105831,0,267,23487,3463,26950,78614,74.3,1.7,87.2
State,SIKKIM,240,0,0,204,5,209,31,12.9,0,97.6
State,TAMIL NADU,402050,355,9465,236351,56927,293278,99307,24.7,2.1,80.6
State,TRIPURA,402,0,0,2,99,101,301,74.9,0,2
State,UTTAR PRADESH,2070423,1,224,778894,112297,891191,1179008,56.9,25.1,87.4
State,UTTARANCHAL,164375,0,3,109057,543,109600,54772,33.3,1.2,99.5
State,WEST BENGAL,50396,0,501,5410,3033,8443,41452,82.3,0.9,64.1
State,TOTAL (STATES),7131154,3075,46645,2133684,388806,2522490,4562019,64,97.3,84.6
Union Territory,A & N ISLANDS,19733,0,0,3208,3,3211,16522,83.7,0.4,99.9
Union Territory,CHANDIGARH,1698,0,0,538,28,566,1132,66.7,0,95.1
Union Territory,D & N HAVELI,104,0,0,2,10,12,92,88.5,0,16.7
Union Territory,DAMAN & DIU,28,0,0,0,2,2,26,92.9,0,0
Union Territory,DELHI,118035,0,0,4912,4534,9446,108589,92,2.3,52
Union Territory,LAKSHADWEEP,4,0,0,0,1,1,3,75,0,0
Union Territory,PONDICHERRY,1495,4,0,1081,52,1133,362,24.2,0,95.4
Union Territory,TOTAL (UTs),141097,4,0,9741,4630,14371,126726,89.8,2.7,67.8
TOTAL (ALL-INDIA),TOTAL (ALL-INDIA),7272251,3079,46645,2143425,393436,2536861,4688745,64.5,100,84.5
