States/UTs,District,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping & Abduction - Total,Kidnapping & Abduction of Women & Girls,Kidnapping & Abduction Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft Total,Auto theft,Other theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
Andhra Pradesh,Adilabad,108,48,13,53,0,53,65,46,19,9,0,20,191,329,53,276,68,13,173,4,30,1273,21,144,77,280,0,276,1838,5033
Andhra Pradesh,Anantapur,172,125,3,16,0,16,60,30,30,17,0,21,178,439,203,236,102,15,96,7,59,1007,12,173,57,137,0,349,1500,4545
Andhra Pradesh,Chittoor,105,40,0,35,0,35,72,58,14,9,0,24,281,1269,87,1182,87,32,222,10,30,891,9,91,223,202,0,541,2573,6746
Andhra Pradesh,Cuddapah,96,0,0,21,0,21,36,31,5,9,0,11,152,297,79,218,66,21,114,7,34,783,7,116,18,95,0,343,1846,4072
Andhra Pradesh,Cyberabad,150,88,10,44,0,44,151,58,93,26,0,95,1139,2287,563,1724,44,83,950,5,37,3033,34,119,96,701,3,898,2086,12079
Andhra Pradesh,East Godavari,110,130,0,27,0,27,69,3,66,3,0,28,403,1286,210,1076,98,119,265,24,35,2530,15,102,119,368,0,545,1986,8262
Andhra Pradesh,Guntakal Rly.,12,0,0,0,0,0,1,1,0,1,0,4,0,129,0,129,1,0,5,0,0,5,4,1,0,0,0,1,61,225
Andhra Pradesh,Guntur,165,88,1,55,0,55,87,56,31,14,0,35,293,1266,267,999,110,47,412,14,61,1480,16,166,203,366,0,495,2362,7736
Andhra Pradesh,Hyderabad City,108,130,4,67,0,67,137,70,67,8,3,125,1161,5022,2012,3010,96,94,1880,17,40,4227,27,119,348,1309,0,514,1840,17276
Andhra Pradesh,Karimnagar,164,96,1,84,0,84,131,91,40,10,0,37,310,740,16,724,174,61,630,3,65,2936,52,328,143,839,0,357,1714,8875
Andhra Pradesh,Khammam,110,69,3,21,0,21,66,40,26,9,0,25,208,567,96,471,151,30,166,5,48,1065,14,150,240,313,0,394,2103,5757
Andhra Pradesh,Krishna,69,74,0,27,0,27,45,26,19,3,0,17,155,653,64,589,44,17,202,4,45,2176,11,209,104,337,0,318,825,5335
Andhra Pradesh,Kurnool,140,95,6,29,0,29,42,30,12,16,0,16,179,373,87,286,125,13,242,12,28,1159,9,221,124,233,0,369,1835,5266
Andhra Pradesh,Mahaboobnagar,212,102,16,62,0,62,59,47,12,21,0,43,277,575,56,519,112,20,107,8,57,1713,17,140,7,237,0,536,1303,5624
Andhra Pradesh,Medak,133,45,10,36,0,36,38,27,11,15,0,24,213,424,77,347,32,22,108,14,35,1478,28,88,35,209,0,462,575,4024
Andhra Pradesh,Nalgonda,138,46,6,49,0,49,51,31,20,13,0,37,248,480,78,402,102,40,243,6,62,1274,30,223,95,344,0,603,2480,6570
Andhra Pradesh,Nellore,86,73,3,33,0,33,74,65,9,6,0,26,205,759,152,607,66,31,166,7,39,1961,11,205,84,166,0,310,972,5283
Andhra Pradesh,Nizamabad,88,38,16,26,0,26,57,32,25,15,0,41,292,494,90,404,49,21,183,10,36,2025,16,88,41,410,0,283,830,5059
Andhra Pradesh,Prakasham,106,82,6,27,0,27,52,43,9,10,0,19,181,406,71,335,56,22,188,10,28,1317,7,169,27,156,0,320,1154,4343
Andhra Pradesh,Ranga Reddy,62,26,4,15,0,15,16,14,2,7,0,9,138,160,63,97,23,13,51,3,42,867,22,45,13,119,0,126,366,2127
Andhra Pradesh,Secunderabad Rly.,11,1,0,0,0,0,4,0,4,2,0,2,0,407,0,407,0,0,6,10,0,16,2,1,1,0,0,2,43,508
Andhra Pradesh,Srikakulam,36,0,2,15,1,14,17,16,1,1,0,11,101,211,5,206,18,18,58,11,28,1200,9,51,40,137,0,191,531,2686
Andhra Pradesh,Vijayawada,41,40,4,32,0,32,87,49,38,3,0,31,456,1724,419,1305,9,23,443,8,22,1513,8,64,122,296,0,242,623,5791
Andhra Pradesh,Vijayawada Rly.,5,2,0,0,0,0,1,0,1,0,0,0,0,261,0,261,0,0,3,0,0,5,0,2,0,0,0,4,33,316
Andhra Pradesh,Visakha Rural,55,17,0,18,0,18,8,8,0,2,0,12,95,162,0,162,47,14,47,5,17,1331,7,36,9,153,0,309,343,2687
Andhra Pradesh,Visakhapatnam,27,48,0,28,0,28,37,15,22,6,1,19,393,987,298,689,31,58,279,24,8,495,2,45,86,361,0,184,1336,4455
Andhra Pradesh,Vizianagaram,43,9,1,12,0,12,9,9,0,6,0,6,87,217,2,215,12,10,58,2,3,400,7,41,28,186,0,194,1229,2560
Andhra Pradesh,Warangal,117,93,2,34,0,34,82,64,18,7,0,29,318,650,181,469,249,15,300,17,45,1615,29,226,50,332,0,353,2120,6683
Andhra Pradesh,West Godavari,81,119,0,69,0,69,58,35,23,2,0,27,300,1204,236,968,54,96,312,10,33,2404,17,232,118,410,0,454,1200,7200
Andhra Pradesh,Total,2750,1724,111,935,1,934,1612,995,617,250,4,794,7954,23778,5465,18313,2026,948,7909,257,967,42179,443,3595,2508,8696,3,9973,37707,157123
Arunachal Pradesh,Changlang,9,6,4,2,0,2,8,5,3,0,0,4,17,25,0,25,0,0,0,0,2,26,0,1,0,1,0,3,40,148
Arunachal Pradesh,Dibang VAlley,4,4,0,0,0,0,5,4,1,3,0,1,13,37,1,36,0,0,0,0,1,18,0,5,0,0,0,5,32,128
Arunachal Pradesh,K/Kumey,4,7,0,1,0,1,2,2,0,0,0,0,9,8,0,8,0,4,2,0,0,4,0,0,0,0,0,1,11,53
Arunachal Pradesh,Kameng East,4,2,0,2,0,2,4,3,1,3,0,3,12,18,5,13,0,2,1,0,0,13,0,5,0,2,0,2,31,104
Arunachal Pradesh,Kameng West,6,0,0,0,0,0,1,1,0,1,0,4,10,25,0,25,0,3,2,0,0,21,0,2,0,0,0,10,26,111
Arunachal Pradesh,Lohit,14,5,0,3,0,3,7,4,3,1,0,5,20,22,0,22,0,3,2,1,1,20,0,7,0,1,0,11,35,158
Arunachal Pradesh,Papum Pare,10,4,0,6,0,6,10,7,3,3,0,16,47,180,85,95,11,12,10,2,2,70,0,4,0,2,0,11,96,496
Arunachal Pradesh,Siang East,3,3,0,13,0,13,6,5,1,3,0,19,34,66,18,48,2,1,5,0,0,64,0,15,0,1,0,3,75,313
Arunachal Pradesh,Siang Upper,5,0,0,2,0,2,1,1,0,0,0,0,8,16,2,14,0,2,2,0,2,22,0,8,0,0,0,1,11,80
Arunachal Pradesh,Siang West,4,1,1,3,0,3,5,4,1,2,0,6,31,51,6,45,4,3,2,0,1,33,0,5,0,0,0,3,75,230
Arunachal Pradesh,Subansiri Lower,5,0,0,0,0,0,3,3,0,0,0,4,19,12,2,10,0,1,0,0,1,15,0,4,0,0,0,6,49,119
Arunachal Pradesh,Subansiri Upper,4,3,0,2,0,2,3,0,3,3,0,10,16,28,0,28,5,2,2,0,3,55,0,5,0,1,0,8,30,180
Arunachal Pradesh,Tawang,2,0,0,1,0,1,0,0,0,0,0,1,8,18,0,18,0,1,0,0,0,6,0,1,0,1,0,2,7,48
Arunachal Pradesh,Tirap,3,2,0,0,0,0,2,0,2,4,0,3,17,17,0,17,1,2,0,1,0,12,0,5,0,0,0,2,43,114
Arunachal Pradesh,Upper Dibang VAlley,4,0,0,0,0,0,1,0,1,0,0,1,2,8,0,8,0,0,0,0,0,4,0,0,0,0,0,1,1,22
Arunachal Pradesh,Total,81,37,5,35,0,35,58,39,19,23,0,77,263,531,119,412,23,36,28,4,13,383,0,67,0,9,0,69,562,2304
Assam,Barpeta,38,4,0,56,0,56,69,66,3,27,2,17,145,137,2,135,178,9,20,2,4,265,8,25,0,105,0,47,823,1981
Assam,Baska,21,11,0,9,0,9,24,15,9,5,1,8,11,32,1,31,6,3,3,1,8,76,0,8,0,8,0,10,61,306
Assam,Bongaigaon,19,3,0,38,0,38,31,28,3,7,0,6,48,80,4,76,32,5,9,3,1,100,3,15,0,66,0,25,334,825
Assam,C.I.D.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,15
Assam,Cachar,51,44,2,51,0,51,110,99,11,19,2,20,193,406,4,402,377,38,72,4,57,240,4,165,0,334,0,373,1368,3930
Assam,Chirang,17,0,0,17,0,17,16,16,0,4,0,3,14,22,0,22,6,0,3,0,0,23,7,6,0,16,0,9,160,323
Assam,Darrang,25,17,0,47,0,47,33,30,3,20,0,8,79,105,2,103,20,6,14,8,11,243,4,65,0,45,0,75,331,1156
Assam,Dhemaji,20,16,1,52,0,52,45,20,25,3,0,9,22,121,3,118,22,0,18,3,10,207,4,31,0,67,0,30,262,943
Assam,Dhubri,40,22,1,101,0,101,84,63,21,14,3,10,60,145,6,139,571,29,65,4,22,358,10,56,0,201,0,241,248,2285
Assam,Dibrugarh,113,24,7,57,0,57,75,51,24,6,0,23,93,402,28,374,38,25,44,1,21,422,4,41,0,53,0,219,427,2095
Assam,G.R.P.,4,1,0,2,0,2,5,2,3,4,0,5,4,105,0,105,9,2,3,0,0,17,0,4,0,0,0,4,121,290
Assam,Goalpara,31,5,0,40,0,40,73,69,4,14,0,12,50,127,2,125,93,13,10,3,7,241,3,2,0,142,2,46,248,1162
Assam,Golaghat,61,18,3,54,0,54,87,70,17,10,2,28,69,261,25,236,0,15,55,13,19,329,0,27,0,91,0,96,183,1421
Assam,Guwahati City,39,129,71,38,0,38,147,93,54,6,8,96,462,1389,491,898,60,90,172,15,15,969,6,37,0,114,0,370,1418,5651
Assam,Hailakandi,18,4,5,18,0,18,35,33,2,12,1,6,54,66,1,65,134,5,20,0,14,37,1,6,1,32,0,24,395,888
Assam,Jorhat,51,10,3,29,0,29,44,40,4,0,0,10,54,195,44,151,17,19,19,5,12,123,0,40,0,42,0,66,242,981
Assam,Kamrup,31,18,16,73,0,73,86,53,33,20,0,13,96,210,103,107,70,40,27,3,15,40,0,26,0,0,0,66,41,891
Assam,Karbi Anglong,76,15,0,8,0,8,39,15,24,12,0,11,26,92,8,84,37,5,6,1,48,50,2,4,1,10,0,52,190,685
Assam,Karimganj,30,25,0,28,0,28,31,29,2,4,1,5,70,156,11,145,209,14,14,3,19,128,9,8,0,71,0,42,216,1083
Assam,Kokrajhar,46,2,0,36,0,36,44,29,15,8,0,14,32,83,6,77,87,6,25,1,4,196,2,17,0,53,0,89,183,928
Assam,Lakhimpur,36,8,1,69,0,69,112,110,2,4,0,6,1,280,61,219,61,14,52,5,21,423,4,34,0,125,0,116,243,1615
Assam,Morigaon,22,6,1,52,0,52,47,47,0,1,0,6,16,139,2,137,72,4,25,2,5,125,3,67,9,65,0,43,271,981
Assam,N.c.hills,11,7,0,1,0,1,10,8,2,1,0,11,16,50,1,49,5,5,3,0,1,23,0,2,0,1,0,17,56,220
Assam,Nagaon,88,59,5,149,0,149,185,181,4,56,2,42,203,405,83,322,286,59,68,9,41,606,2,27,8,291,0,309,645,3545
Assam,Nalbari,17,9,0,27,0,27,38,29,9,7,0,6,44,97,4,93,10,4,10,0,12,185,2,39,0,19,0,38,186,750
Assam,R.P.O.,10,4,0,8,0,8,5,5,0,4,0,3,0,13,0,13,18,0,1,0,0,3,0,0,0,0,0,0,74,143
Assam,Sibsagar,61,21,0,38,0,38,73,73,0,12,0,9,78,277,22,255,59,22,39,2,17,119,2,68,0,81,0,69,588,1635
Assam,Sonitpur,87,7,0,77,0,77,108,106,2,26,0,27,177,494,17,477,258,32,54,11,8,222,3,2,0,145,1,160,906,2805
Assam,Tinsukia,92,9,1,42,0,42,75,61,14,17,0,25,89,374,20,354,9,20,11,0,15,38,10,20,0,16,0,38,858,1759
Assam,Udalguri,39,5,0,21,0,21,20,15,5,11,0,12,49,106,4,102,16,3,4,4,16,98,6,57,0,13,0,21,213,714
Assam,Total,1194,503,117,1238,0,1238,1751,1456,295,334,22,451,2255,6369,955,5414,2760,487,873,103,423,5906,99,899,19,2206,3,2695,11299,42006
Bihar,Araria,68,12,3,29,0,29,43,39,4,37,3,42,25,138,23,115,300,19,51,1,4,114,9,6,0,19,1,24,795,1743
Bihar,Arwal,28,0,0,1,0,1,9,0,9,10,0,14,9,47,0,47,30,3,7,0,0,55,11,0,0,1,0,30,257,512
Bihar,Aurangabad,60,164,4,17,0,17,33,23,10,19,0,27,104,243,5,238,193,0,9,0,8,1091,29,0,0,9,0,18,255,2283
Bihar,Bagaha,40,91,12,8,0,8,85,13,72,1,0,4,20,99,1,98,141,13,30,0,9,298,3,11,0,6,0,11,63,945
Bihar,Banka,58,34,3,43,0,43,44,25,19,32,3,15,54,114,10,104,196,19,13,2,8,12,13,1,0,10,0,28,651,1353
Bihar,Begusarai,128,53,3,20,0,20,65,20,45,11,3,56,53,253,9,244,160,53,53,4,9,259,25,13,2,39,0,120,1062,2444
Bihar,Bettiah,76,107,6,51,0,51,114,24,90,33,2,33,80,306,13,293,304,33,93,0,20,1389,19,6,0,41,0,40,322,3075
Bihar,Bhabhua,58,64,5,14,0,14,41,14,27,21,0,21,39,151,9,142,82,33,36,1,33,130,16,1,0,5,0,65,439,1255
Bihar,Bhagalpur,93,52,8,75,0,75,101,52,49,14,0,58,119,394,83,311,254,66,67,4,25,29,18,15,0,55,0,87,1570,3104
Bihar,Bhojpur,158,188,0,14,0,14,38,36,2,32,1,46,118,293,49,244,194,52,14,0,46,512,38,34,0,44,0,69,962,2853
Bihar,Buxar,68,108,2,6,0,6,30,14,16,35,0,35,53,312,14,298,153,26,78,0,23,362,30,14,0,58,7,38,206,1644
Bihar,Darbhanga,44,78,6,65,0,65,54,22,32,27,1,20,66,285,14,271,211,63,96,0,27,89,33,31,0,137,0,66,1741,3140
Bihar,Gaya,158,175,6,22,0,22,77,20,57,112,16,129,145,410,39,371,405,20,23,0,32,532,8,28,0,11,0,40,1069,3418
Bihar,Gopalganj,74,209,6,24,0,24,65,51,14,10,3,53,64,205,16,189,188,77,81,0,9,4,25,2,6,49,0,52,1337,2543
Bihar,Jamalpur Rly.,7,1,0,0,0,0,3,1,2,13,1,7,0,108,6,102,3,0,7,0,0,0,0,1,0,0,0,0,44,195
Bihar,Jamui,93,52,2,33,0,33,46,13,33,39,3,44,49,102,4,98,109,6,29,0,59,205,22,20,0,48,0,21,427,1409
Bihar,Jehanabad,52,52,2,16,0,16,19,2,17,35,0,35,60,150,18,132,95,3,14,0,13,81,7,14,0,17,0,31,495,1191
Bihar,Katihar,78,41,1,88,0,88,61,53,8,19,4,34,36,146,19,127,124,15,34,2,16,129,26,10,0,55,0,50,816,1785
Bihar,Katihar Rly.,11,0,0,2,0,2,7,4,3,2,2,13,4,214,5,209,8,0,20,0,0,0,1,7,0,0,0,0,141,432
Bihar,Khagaria,48,41,0,14,0,14,35,15,20,12,0,39,20,14,5,9,140,5,4,0,10,120,12,5,0,12,0,100,808,1439
Bihar,Kishanganj,17,23,2,61,0,61,84,81,3,10,8,10,36,122,17,105,95,27,24,1,7,102,3,2,0,30,0,15,338,1017
Bihar,Lakhisarai,57,26,1,3,0,3,38,17,21,8,3,33,22,81,5,76,56,8,13,0,10,36,8,6,0,6,0,43,382,840
Bihar,Madhepura,52,24,2,15,0,15,13,9,4,17,1,38,24,50,6,44,100,6,16,1,5,119,10,6,0,11,0,38,589,1137
Bihar,Madhubani,69,108,7,42,0,42,66,0,66,45,2,31,99,196,0,196,313,54,19,0,23,867,17,35,0,26,0,27,789,2835
Bihar,Motihari,111,159,15,24,0,24,134,38,96,52,8,67,108,437,21,416,366,87,71,0,30,1043,51,13,0,43,8,76,1661,4564
Bihar,Munger,95,29,1,18,0,18,54,11,43,19,0,64,38,219,37,182,154,9,32,1,8,70,11,10,0,16,0,41,860,1749
Bihar,Muzaffarpur,131,22,11,80,0,80,225,14,211,48,4,95,248,763,170,593,407,126,107,4,47,685,67,17,0,104,0,153,2019,5363
Bihar,Muzaffarpur Rly.,26,0,0,1,0,1,11,2,9,10,0,15,9,275,18,257,19,0,14,0,0,13,0,0,0,0,0,8,182,583
Bihar,Nalanda,150,100,19,25,0,25,94,21,73,39,10,89,68,312,22,290,169,47,67,3,21,661,65,10,1,92,4,142,812,3000
Bihar,Naugachia,43,29,1,6,0,6,36,5,31,12,2,40,18,65,2,63,109,2,18,2,0,0,9,0,0,6,0,0,601,999
Bihar,Nawadah,83,87,5,23,0,23,41,11,30,16,7,30,54,117,20,97,266,17,40,4,10,149,22,13,0,32,0,77,639,1732
Bihar,Patna,436,87,25,57,0,57,275,59,216,127,39,633,521,1356,1127,229,484,47,199,3,46,392,85,5,2,189,0,452,6380,11840
Bihar,Patna Rly.,15,6,2,0,0,0,2,0,2,15,5,27,3,601,62,539,6,1,21,2,0,0,2,6,0,0,0,0,236,950
Bihar,Purnea,113,35,6,39,0,39,60,7,53,38,6,95,72,218,34,184,152,8,20,0,9,22,6,6,0,16,0,55,1193,2169
Bihar,Rohtas,107,218,13,18,0,18,29,7,22,23,0,26,111,315,21,294,137,2,14,10,23,85,37,12,0,7,0,205,1992,3384
Bihar,Saharsa,17,88,3,11,0,11,40,2,38,6,3,28,46,112,4,108,185,26,34,1,10,102,5,19,0,12,6,33,654,1441
Bihar,Samastipur,121,184,30,28,0,28,97,4,93,19,17,61,88,291,46,245,302,46,57,0,59,306,40,10,0,73,48,54,1521,3452
Bihar,Saran,125,345,21,32,0,32,85,43,42,52,0,24,165,321,51,270,170,12,70,1,26,1198,76,4,1,58,0,107,340,3233
Bihar,Sheikhpura,33,0,0,1,0,1,23,3,20,4,0,14,9,51,2,49,58,0,11,0,0,0,12,0,0,17,0,0,450,683
Bihar,Sheohar,11,7,1,9,0,9,26,14,12,15,0,6,12,28,1,27,78,5,6,0,3,23,1,2,0,10,0,7,243,493
Bihar,Sitamarhi,63,25,4,32,0,32,74,51,23,21,1,18,64,206,26,180,245,51,29,1,12,93,32,12,0,64,0,39,1601,2687
Bihar,Siwan,93,43,3,27,0,27,59,33,26,50,1,119,71,212,37,175,182,15,70,0,23,253,31,8,1,60,0,66,803,2190
Bihar,Supaul,34,32,8,40,0,40,24,5,19,38,2,36,19,103,10,93,223,7,9,0,5,3,7,0,0,12,0,15,607,1224
Bihar,Vaishali,69,108,10,13,0,13,133,51,82,14,4,50,94,377,53,324,105,72,109,2,32,306,72,36,0,74,0,137,1705,3522
Bihar,Total,3471,3307,259,1147,0,1147,2693,929,1764,1212,165,2374,3117,10812,2134,8678,7671,1181,1829,50,760,11939,1014,451,13,1574,74,2680,40057,97850
Chhattisgarh,Balrampur,29,16,5,36,0,36,5,1,4,16,2,14,44,19,4,15,24,2,0,0,6,40,0,20,5,13,0,19,206,521
Chhattisgarh,Bilaspur,94,54,11,77,0,77,36,36,0,4,2,50,530,779,235,544,152,8,56,14,19,368,18,154,19,117,0,197,2718,5477
