Category,States/UTs,No. of Police Personnel died due to Natural Death while in Service - 18-25 Years,No. of Police Personnel died due to Natural Death while in Service - 25-35 Years,No. of Police Personnel died due to Natural Death while in Service - 35-45 Years,No. of Police Personnel died due to Natural Death while in Service - 45-55 Years,No. of Police Personnel died due to Natural Death while in Service - Above 55 Years,No. of Police Personnel died due to Natural Death while in Service - Total,No. of Police Personnel Committed Suicide while in Service - 18-25 Years,No. of Police Personnel Committed Suicide while in Service - 25-35 Years,No. of Police Personnel Committed Suicide while in Service - 35-45 Years,No. of Police Personnel Committed Suicide while in Service - 45-55 Years,No. of Police Personnel Committed Suicide while in Service - Above 55 Years,No. of Police Personnel Committed Suicide while in Service - Total
State,Andhra Pradesh,1,28,47,107,12,195,0,1,6,2,0,9
State,Arunachal Pradesh,0,0,2,0,0,2,0,0,0,0,0,0
State,Assam,0,7,12,9,1,29,0,0,0,0,0,0
State,Bihar,0,8,37,22,8,75,0,1,0,0,0,1
State,Chhattisgarh,1,2,19,22,5,49,0,0,0,0,0,0
State,Goa,0,3,2,6,2,13,0,0,0,0,0,0
State,Gujarat,0,12,43,61,12,128,1,1,8,4,0,14
State,Haryana,1,7,29,55,4,96,0,2,3,2,0,7
State,Himachal Pradesh,0,1,7,10,1,19,0,0,0,0,0,0
State,Jammu & Kashmir,1,7,5,6,1,20,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0
State,Karnataka,2,20,37,72,18,149,0,3,7,1,1,12
State,Kerala,0,2,15,28,0,45,0,2,5,7,0,14
State,Madhya Pradesh,1,14,47,42,9,113,0,3,5,8,1,17
State,Maharashtra,5,44,116,198,30,393,0,4,14,6,2,26
State,Manipur,0,1,9,5,4,19,0,0,0,0,0,0
State,Meghalaya,0,1,14,1,0,16,0,0,0,0,0,0
State,Mizoram,0,2,8,0,0,10,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,0,1,10,11,3,25,1,0,0,0,0,1
State,Punjab,2,32,65,52,16,167,0,5,11,10,3,29
State,Rajasthan,1,9,23,24,12,69,0,2,0,0,0,2
State,Sikkim,0,2,1,5,0,8,0,0,0,0,0,0
State,Tamil Nadu,0,8,45,105,33,191,0,8,8,8,0,24
State,Tripura,1,11,14,15,12,53,0,0,1,1,0,2
State,Uttar Pradesh,0,7,44,49,20,120,0,0,0,0,0,0
State,Uttaranchal,0,0,6,7,0,13,0,0,2,1,0,3
State,West Bengal,3,7,28,102,65,205,0,1,2,2,0,5
State,Total (States),19,236,685,1014,268,2222,2,33,72,52,7,166
Union Territory,A & N Islands,1,0,4,5,0,10,1,0,0,0,0,1
Union Territory,Chandigarh,1,1,4,2,1,9,0,0,2,1,0,3
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,17,52,72,36,177,0,3,3,0,0,6
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,0,0,5,5,1,11,0,0,0,0,0,0
Union Territory,Total (UTs),2,18,65,84,38,207,1,3,5,1,0,10
Total (All-India),Total (All-India),21,254,750,1098,306,2429,3,36,77,53,7,176
