Category,States/UTs/Cities,Incidence of Total Cognizable Crimes,Percentage Contribution to All-India Total,Estimated mid-Year Population (In Lakhs),Rate of Total Cognizable Crimes,Rank of Criminality * 
State,Andhra Pradesh,157123,8.6,798.09,196.9,12
State,Arunachal Pradesh,2304,0.1,11.59,198.8,11
State,Assam,42006,2.3,286.92,146.4,20
State,Bihar,97850,5.4,898.2,108.9,26
State,Chhattisgarh,43633,2.4,225.82,193.2,14
State,Goa,2119,0.1,15.07,140.6,21
State,Gujarat,113414,6.2,542.74,209,10
State,Haryana,42664,2.3,227.92,187.2,15
State,Himachal Pradesh,12345,0.7,63.81,193.5,13
State,Jammu & Kashmir,20115,1.1,113.71,176.9,18
State,Jharkhand,35175,1.9,288.85,121.8,24
State,Karnataka,117580,6.5,557.02,211.1,9
State,Kerala,104350,5.7,333.38,313,4
State,Madhya Pradesh,189172,10.4,659.52,286.8,5
State,Maharashtra,187027,10.3,1031.59,181.3,16
State,Manipur,2913,0.2,25.39,114.7,25
State,Meghalaya,1880,0.1,24.52,76.7,32
State,Mizoram,2156,0.1,9.47,227.7,8
State,Nagaland,1049,0.1,21.17,49.6,35
State,Orissa,51685,2.8,387.53,133.4,23
State,Punjab,27136,1.5,257.64,105.3,27
State,Rajasthan,140917,7.7,616.68,228.5,7
State,Sikkim,552,0,5.75,96,29
State,Tamil Nadu,162360,8.9,648.56,250.3,6
State,Tripura,3356,0.2,33.9,99,28
State,Uttar Pradesh,122108,6.7,1814.88,67.3,33
State,Uttaranchal,8033,0.4,91.19,88.1,30
State,West Bengal,66406,3.6,850.55,78.1,31
State,Total (States),1757428,96.4,10841.46,162.1,NA
Union Territory,A & N Islands,682,0,3.88,175.8,19
Union Territory,Chandigarh,3133,0.2,9.98,313.9,3
Union Territory,D & N Haveli,434,0,2.44,177.9,17
Union Territory,Daman & Diu,243,0,1.75,138.9,22
Union Territory,Delhi,56065,3.1,157.43,356.1,2
Union Territory,Lakshadweep,42,0,0.65,64.6,34
Union Territory,Pondicherry,4575,0.3,10.32,443.3,1
Union Territory,Total (UTs),65174,3.6,186.45,349.6,NA
TOTAL (ALL-INDIA),Total (All-India),1822602,100,11027.91,165.3,NA
City,Agra,3248,1,13.21,245.9,22
City,Ahmedabad,17468,5.6,45.19,386.5,12
City,Allahabad,1564,0.5,10.5,149,30
City,Amritsar,931,0.3,10.11,92.1,34
City,Asansol,1217,0.4,10.91,111.5,32
City,Bangalore,29042,9.2,56.87,510.7,5
City,Bhopal,8092,2.6,14.55,556.2,3
City,Chennai,20127,6.4,64.25,313.3,16
City,Coimbatore,3845,1.2,14.46,265.9,21
City,Delhi (city),51010,16.2,127.91,398.8,10
City,Dhanbad,1758,0.6,10.64,165.2,29
City,Faridabad,3153,1,10.55,298.9,18
City,Hyderabad,17276,5.5,55.34,312.2,17
City,Indore,12556,4,16.39,766.1,1
City,Jabalpur,6082,1.9,11.17,544.5,4
City,Jaipur,11790,3.7,23.24,507.3,6
City,Jamshedpur,2538,0.8,11.02,230.3,24
City,Kanpur,3718,1.2,26.9,138.2,31
City,Kochi,5930,1.9,13.55,437.6,9
City,Kolkata,9391,3,132.17,71.1,35
City,Lucknow,6147,2,22.67,271.2,20
City,Ludhiana,2541,0.8,13.95,182.2,28
City,Madurai,3384,1.1,11.95,283.2,19
City,Meerut,2439,0.8,11.67,209,25
City,Mumbai,31432,10,163.68,192,26
City,Nagpur,9605,3.1,21.23,452.4,8
City,Nasik,2776,0.9,11.52,241,23
City,Patna,7888,2.5,17.07,462.1,7
City,Pune,11817,3.8,37.56,314.6,15
City,Rajkot,3934,1.3,10.02,392.6,11
City,Surat,5273,1.7,28.11,187.6,27
City,Vadodara,5276,1.7,14.92,353.6,13
City,Varanasi,1214,0.4,12.12,100.2,33
City,Vijayawada,5791,1.8,10.11,572.8,2
City,Vishakhapatnam,4455,1.4,13.29,335.2,14
City,Total (Cities),314708,100,1078.8,291.7,NA
