Crime Head,Total No. of Cases for Trial Including Pending Cases from previous year,Cases Withdrawn by Govt.,No. of Cases Compounded Or Withdrawn,No. of Cases In Which Trials Were Completed - Convicted,No. of Cases In Which Trials Were Completed - Acquitted Or Discharged,No. of Cases In Which Trials Were Completed - Total,No. of Cases - Pending Trial at the end of the year
Arms Act,372388,1071,638,35716,23208,58924,312826
Narcotic Drugs & Psychotropic Substances Act,131160,0,139,13485,8644,22129,108892
Gambling Act,480166,165,906,148577,26259,174836,304424
Excise Act,514382,751,1428,92459,27576,120035,392919
Prohibition Act,2158987,891,24009,78227,137159,215386,1919592
Explosive & Explosive Substances Act,24245,18,17,1828,1697,3525,20703
Immoral Traffic (P) Act,12913,0,24,4456,965,5421,7468
Railways Act,21182,0,73,5437,508,5945,15164
Registration of Foreigners Act,5657,0,0,622,71,693,4964
Protection of Civil Rights Act - Total,3356,0,3,101,385,486,2867
Protection of Civil Rights Act - (i) PCR Act for SCs,3153,0,3,98,376,474,2676
Protection of Civil Rights Act - (ii) PCR Act for STs,203,0,0,3,9,12,191
Indian Passport Act,1707,0,2,211,197,408,1297
Essential Commodities Act,35585,0,76,700,2506,3206,32303
Terrorist & Disruptive Activities Act,2166,0,0,8,122,130,2036
Antiquity & Art Treasure Act,143,0,0,10,21,31,112
Dowry Prohibition Act,11825,0,107,484,1414,1898,9820
Child Marriage Restraint Act,438,0,2,24,41,65,371
Indecent Representation of Women (P) Act,3612,0,0,2654,160,2814,798
Copyrights Act,21892,0,87,1724,1896,3620,18185
Sati Prevention Act,1,0,0,0,0,0,1
SC/ ST (Prevention of Atrocities) Act - Total,47688,24,294,2012,5787,7799,39595
SC/ ST (Prevention of Atrocities) Act - (i) Attrocities Act for SCs,41668,1,252,1764,4820,6584,34832
SC/ ST (Prevention of Atrocities) Act - (ii) Attrocities Act for STs,6020,23,42,248,967,1215,4763
Forest Act,16459,8,30,2587,993,3580,12849
Other SLL Crimes,3406299,151,18810,1752103,153827,1905930,1481559
Total Cognizable Crimes Under SLL,7272251,3079,46645,2143425,393436,2536861,4688745
