Category,States/UTs,Estimated Mid Year Population (In Lakhs)#,Murder - I,Murder - R,Murder - P,Rape - I,Rape - R,Rape - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Dacoity - I,Dacoity - R,Dacoity - P,Robbery - I,Robbery - R,Robbery - P,Arson - I,Arson - R,Arson - P,Hurt - I,Hurt - R,Hurt - P,Prot.of Civil Rights Act - I,Prot.of Civil Rights Act - R,Prot.of Civil Rights Act - P,SC/ST Prev.of Attrocities Act - I,SC/ST Prev.of Attrocities Act - R,SC/ST Prev.of Attrocities Act - P,Other Offences - I,Other Offences - R,Other Offences - P,Total - I,Total - R,Total - P
State,Andhra Pradesh,798.1,12,0,7.3,34,0,5.3,2,0,2.8,0,0,0,1,0,2,1,0,2.6,70,0.1,9.1,0,0,0,196,0.2,15.3,199,0.2,7.9,515,0.6,9
State,Arunachal Pradesh,11.6,1,0.1,0.6,3,0.3,0.5,1,0.1,1.4,1,0.1,3.7,2,0.2,4.1,0,0,0,25,2.2,3.3,0,0,0,0,0,0,21,1.8,0.8,54,4.7,0.9
State,Assam,286.9,23,0.1,14,19,0.1,3,21,0.1,29.2,4,0,14.8,14,0,28.6,5,0,13.2,63,0.2,8.2,0,0,0,0,0,0,67,0.2,2.7,216,0.8,3.8
State,Bihar,898.2,0,0,0,2,0,0.3,3,0,4.2,0,0,0,2,0,4.1,0,0,0,11,0,1.4,0,0,0,59,0.1,4.6,5,0,0.2,82,0.1,1.4
State,Chhattisgarh,225.8,20,0.1,12.2,104,0.5,16.3,9,0,12.5,0,0,0,0,0,0,0,0,0,81,0.4,10.6,0,0,0,93,0.4,7.2,190,0.8,7.6,497,2.2,8.7
State,Goa,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0,1,0.1,0
State,Gujarat,542.7,4,0,2.4,19,0,3,6,0,8.3,17,0,63,20,0,40.8,2,0,5.3,32,0.1,4.2,0,0,0,73,0.1,5.7,64,0.1,2.5,237,0.4,4.1
State,Haryana,227.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,63.8,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0.2,5,0.1,0.2,10,0.2,0.2
State,Jammu & Kashmir,113.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,288.9,13,0,7.9,20,0.1,3.1,4,0,5.6,0,0,0,0,0,0,3,0,7.9,30,0.1,3.9,160,0.6,0,152,0.5,11.8,101,0.3,4,483,1.7,8.5
State,Karnataka,557,5,0,3,6,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.9,0,0,0,85,0.2,6.6,58,0.1,2.3,161,0.3,2.8
State,Kerala,333.4,2,0,1.2,24,0.1,3.8,0,0,0,0,0,0,1,0,2,0,0,0,19,0.1,2.5,0,0,0,8,0,0.6,28,0.1,1.1,82,0.2,1.4
State,Madhya Pradesh,659.5,48,0.1,29.3,294,0.4,45.9,14,0,19.4,1,0,3.7,3,0,6.1,15,0,39.5,199,0.3,25.9,0,0,0,252,0.4,19.6,789,1.2,31.4,1615,2.4,28.3
State,Maharashtra,1031.6,10,0,6.1,41,0,6.4,4,0,5.6,1,0,3.7,2,0,4.1,0,0,0,7,0,0.9,0,0,0,52,0.1,4.1,107,0.1,4.3,224,0.2,3.9
State,Manipur,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,387.5,15,0,9.1,30,0.1,4.7,4,0,5.6,2,0,7.4,2,0,4.1,5,0,13.2,96,0.2,12.5,0,0,0,204,0.5,15.9,244,0.6,9.7,602,1.6,10.5
State,Punjab,257.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,616.7,11,0,6.7,29,0,4.5,3,0,4.2,0,0,0,1,0,2,5,0,13.2,117,0.2,15.3,0,0,0,91,0.1,7.1,606,1,24.1,863,1.4,15.1
State,Sikkim,5.8,0,0,0,3,0.5,0.5,0,0,0,1,0.2,3.7,1,0.2,2,2,0.3,5.3,8,1.4,1,0,0,0,0,0,0,7,1.2,0.3,22,3.8,0.4
State,Tamil Nadu,648.6,0,0,0,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.8,1,0,0,13,0,0.2
State,Tripura,33.9,0,0,0,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,10,0.3,0.4,12,0.4,0.2
State,Uttar Pradesh,1814.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.3,0,0,0,0,0,0,4,0,0.2,6,0,0.1
State,Uttaranchal,91.2,0,0,0,0,0,0,1,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
State,West Bengal,850.6,0,0,0,7,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.2,2,0,0.1,12,0,0.2
