Category,States/ UTs,Motor Vehicles,Motor Cycle,Car,Jeep,One Tonner,Three Tonner,Others,Wireless Equipment,H.F. / V.H.F.,Walkie - Talkie,Other Wireless Equipments
State,Andhra Pradesh,6199,2383,416,2306,593,71,430,14004,8617,5188,199
State,Arunachal Pradesh,701,307,261,0,89,34,10,147,68,69,10
State,Assam,3926,1070,156,364,2011,325,0,5968,232,5660,76
State,Bihar,3906,1197,127,1369,341,180,692,8760,6442,1419,899
State,Chhattisgarh,3883,67,67,482,717,0,2550,4088,2096,1871,121
State,Goa,332,175,13,99,0,0,45,2444,886,550,1008
State,Gujarat,4583,1902,227,1291,584,486,93,11029,8933,2050,46
State,Haryana,527,72,350,0,0,0,105,584,294,290,0
State,Himachal Pradesh,566,200,49,111,30,0,176,1993,962,1024,7
State,Jammu & Kashmir,4079,334,654,1674,823,398,196,13264,5712,6983,569
State,Jharkhand,1251,313,22,440,269,70,137,2813,1556,1203,54
State,Karnataka,5148,1932,207,1800,75,37,1097,20459,6742,10620,3097
State,Kerala,3726,1523,144,1325,42,441,251,8119,3493,2052,2574
State,Madhya Pradesh,5170,1648,325,1792,834,505,66,25101,8805,16237,59
State,Maharashtra,6347,2002,327,2401,509,478,630,10222,4175,3369,2678
State,Manipur,1082,100,33,608,191,122,28,4700,1672,1243,1785
State,Meghalaya,663,55,27,311,122,148,0,1373,544,769,60
State,Mizoram,593,146,6,230,91,29,91,1107,505,570,32
State,Nagaland,393,68,10,129,44,34,108,248,97,98,53
State,Orissa,2818,757,144,1222,458,229,8,2596,2028,545,23
State,Punjab,2088,707,106,472,312,131,360,5677,1863,3125,689
State,Rajasthan,4776,2336,147,1438,476,240,139,14815,11080,3735,0
State,Sikkim,255,46,25,138,46,0,0,781,158,233,390
State,Tamil Nadu,10202,4107,337,3439,0,0,2319,14892,5890,8859,143
State,Tripura,1157,209,31,539,161,0,217,4088,2290,1760,38
State,Uttar Pradesh,6341,1077,410,3176,349,1329,0,35025,17637,16489,899
State,Uttaranchal,658,100,42,64,66,140,246,520,100,90,330
State,West Bengal,5758,2041,676,1606,678,462,295,8182,4615,2893,674
State,Total (States),87128,26874,5339,28826,9911,5889,10289,222999,107492,98994,16513
Union Territory,A & N Islands,180,115,8,26,15,16,0,49,0,0,49
Union Territory,Chandigarh,269,138,13,67,30,17,4,1035,250,785,0
Union Territory,D & N Haveli,28,11,4,2,8,1,2,98,56,40,2
Union Territory,Daman & Diu,29,17,1,7,1,1,2,119,93,20,6
Union Territory,Delhi,3591,1782,256,896,0,0,657,18126,5869,12168,89
Union Territory,Lakshadweep,19,9,0,10,0,0,0,301,136,165,0
Union Territory,Pondicherry,338,206,15,84,0,22,11,762,427,335,0
Union Territory,Total (UTs),4454,2278,297,1092,54,57,676,20490,6831,13513,146
Total (All-India),Total (All-India),91582,29152,5636,29918,9965,5946,10965,243489,114323,112507,16659
