Category,States/UTs/ Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Trains - Number,Railways Running Trains - Value,Others in Railways - Number,Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Andhra Pradesh,6920,1197.1,150,65.9,4,0.3,797,200.4,235,53.5,562,146.9,9,5.1,1872,461.7,14026,2586.1,23778,4516.6
State,Arunachal Pradesh,241,77.9,10,9.9,0,0,0,0,0,0,0,0,0,0,99,26.7,181,236.9,531,351.4
State,Assam,2845,515.6,214,19.8,4,1.6,66,11.3,10,2.7,56,8.6,2,2.2,1054,62.8,2184,550.2,6369,1163.4
State,Bihar,5369,423,211,22.3,1,0.1,1198,94.1,848,79.6,350,14.5,3,0.2,887,92.1,3143,481.5,10812,1113.3
State,Chhattisgarh,1401,691.7,144,52.1,0,0,275,42.1,135,22.1,140,20,7,10.1,498,123,3275,1058.4,5600,1977.4
State,Goa,70,35.7,9,1.8,0,0,7,1.7,3,1.2,4,0.6,1,0,70,70.6,338,187.2,495,297
State,Gujarat,4137,1214.2,95,48.9,28,4.4,917,177.5,300,115.4,617,62.1,22,17.5,3021,724.8,9744,2697.5,17964,4884.9
State,Haryana,2121,825.3,210,91.6,0,0,195,33.2,39,8.4,156,24.9,2,6.3,1142,398.3,5024,1650.4,8694,3005.2
State,Himachal Pradesh,126,45.8,26,82.4,0,0,0,0,0,0,0,0,0,0,51,19,493,276.8,696,424
State,Jammu & Kashmir,488,161.3,34,12.1,0,0,0,0,0,0,0,0,0,0,126,54.5,1253,376.8,1901,604.8
State,Jharkhand,3554,199.1,96,11.6,0,0,162,12.4,76,4.6,86,7.8,4,0,857,35.3,1522,658.5,6195,917
State,Karnataka,3661,1077.4,54,26.6,5,0.4,480,102,402,100.4,78,1.6,7,25.7,1829,901.6,10972,2512.8,17008,4646.4
State,Kerala,1664,1230.3,98,40.2,2,11.1,158,67.6,124,62.7,34,4.9,1,0,393,188.6,3138,1131,5454,2668.8
State,Madhya Pradesh,6560,1160.7,249,89.5,35,2.3,1673,220.9,1061,173.2,612,47.6,11,6.9,2190,533.5,9967,1794.4,20685,3808.1
State,Maharashtra,8032,2729.4,649,403.6,10,0.3,2655,441.8,1124,223.5,1531,218.3,28,10.8,3398,1454.7,32079,15898.4,46851,20939.1
State,Manipur,29,6.3,16,26.7,0,0,0,0,0,0,0,0,2,0.8,96,48.1,100,44.7,243,126.6
State,Meghalaya,133,30.7,10,19,0,0,0,0,0,0,0,0,0,0,20,8.9,313,129.9,476,188.4
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,29.6,777,29.6
State,Nagaland,101,19.6,61,7.7,0,0,0,0,0,0,0,0,8,0.3,41,8.7,83,29.3,294,65.7
State,Orissa,1700,457.3,74,17.8,0,0,404,52.3,183,16.2,221,36.2,0,0,1576,349.7,2989,998.9,6743,1876.1
State,Punjab,716,494.5,32,21.2,0,0,29,26.5,11,11,18,15.6,1,0,374,231.2,1772,1145.4,2924,1918.8
State,Rajasthan,2355,551.9,63,130.8,6,0.1,459,58.4,328,41.6,131,16.7,0,0,1528,576.8,13487,4096.1,17898,5414.1
State,Sikkim,27,8,0,0,0,0,0,0,0,0,0,0,0,0,3,2,51,15.9,81,25.9
State,Tamil Nadu,4179,595.8,115,14.7,6,0.7,169,18.1,106,13.7,63,4.4,4,0.4,1995,252.1,9383,1506.6,15851,2388.5
State,Tripura,184,14.6,0,0,0,0,0,0,0,0,0,0,0,0,61,18.8,80,36.6,325,69.9
State,Uttar Pradesh,4338,1141.3,4129,1243.8,0,0,1108,112.9,459,42.3,649,70.6,1,0.2,904,275.9,10215,2227.4,20695,5001.3
State,Uttaranchal,682,156.2,33,14.5,0,0,0,0,0,0,0,0,1,0.4,108,34.8,806,246.1,1630,452
State,West Bengal,7671,1410,110,26.8,0,0,676,28.2,521,22.8,155,5.3,0,0,1031,275,2636,796.1,12124,2536.1
State,Total (States),69304,16470.8,6892,2501.4,101,21.2,11428,1701.5,5965,995,5463,706.5,114,86.9,25224,7229.1,140031,43399.2,253094,71410.2
Union Territory,A & N Islands,20,10.8,0,0,0,0,0,0,0,0,0,0,0,0,31,23.3,41,20.3,92,54.3
Union Territory,Chandigarh,216,49,0,0,0,0,0,0,0,0,0,0,0,0,173,24.5,984,444.3,1373,517.7
Union Territory,D & N Haveli,16,27.7,0,0,1,0,0,0,0,0,0,0,0,0,29,25.3,28,10,74,63
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14.8,37,24.5,50,39.3
Union Territory,Delhi,1453,2472.5,133,53.1,0,0,648,185.2,83,3.8,565,181.4,0,0,333,655,15388,6635.5,17955,10001.4
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.4,7,2.4
Union Territory,Pondicherry,84,21.1,0,0,0,0,0,0,0,0,0,0,0,0,38,4.6,344,58.6,466,84.2
Union Territory,Total (UTs),1789,2581.1,133,53.1,1,0,648,185.2,83,3.8,565,181.4,0,0,617,747.4,16829,7195.6,20017,10762.4
Total (All-India),Total (All-India),71093,19051.9,7025,2554.5,102,21.3,12076,1886.7,6048,998.8,6028,887.9,114,86.9,25841,7976.5,156860,50594.8,273111,82172.6
City,Agra,,,,,,,,,,,,,,,,,,,,
City,Ahmedabad,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Trains - Number,Railways Running Trains - Value,Others in Railways - Number,Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
City,Allahabad,259,467.3,78,65.5,0,0,0,0,0,0,0,0,0,0,0,0,657,121.9,994,654.7
City,Amritsar,1423,322.2,0,0,0,0,0,0,0,0,0,0,8,9.9,1883,236.2,2045,743,5359,1311.3
City,Asansol,279,67.5,14,7.5,0,0,0,0,0,0,0,0,0,0,8,1.1,10,0.2,311,76.3
City,Bangalore,21,12.1,5,1.8,0,0,0,0,0,0,0,0,0,0,27,69.1,48,22.2,101,105.2
City,Bhopal,142,9.6,0,0,0,0,0,0,0,0,0,0,0,0,12,3.2,4,0.8,158,13.7
City,Chennai,2309,752,18,3,0,0,0,0,0,0,0,0,5,17.4,1162,574.3,6123,757.9,9617,2104.6
City,Coimbatore,374,44.2,0,0,0,0,0,0,0,0,0,0,0,0,54,18.1,881,188,1309,250.3
City,Delhi (city),1340,247.3,0,0,0,0,0,0,0,0,0,0,0,0,417,65.8,1306,285.9,3063,598.9
City,Dhanbad,101,20.2,0,0,0,0,0,0,0,0,0,0,0,0,461,71.3,334,47.4,896,138.8
City,Faridabad,1067,2312,133,53.1,0,0,648,185.2,83,3.8,565,181.4,0,0,300,506.3,14749,5148.6,16897,8205.2
City,Hyderabad,153,45,3,0.7,0,0,0,0,0,0,0,0,0,0,23,4.1,90,18.7,269,68.6
City,Indore,458,147.3,0,0,0,0,0,0,0,0,0,0,0,0,167,54.8,219,95,844,297.1
City,Jabalpur,844,198.8,0,0,0,0,0,0,0,0,0,0,0,0,301,165.5,3877,874.1,5022,1238.4
City,Jaipur,941,261.4,0,0,0,0,0,0,0,0,0,0,0,0,184,174.3,1279,105.6,2404,541.3
City,Jamshedpur,315,105.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,81,571,186.2
City,Kanpur,490,118,0,0,0,0,0,0,0,0,0,0,0,0,303,147,2526,883.6,3319,1148.7
City,Kochi,430,13.3,0,0,0,0,0,0,0,0,0,0,0,0,119,5.1,84,0.4,633,18.8
City,Kolkata,112,30.5,21,6.9,0,0,0,0,0,0,0,0,0,0,62,15.7,608,175.8,803,228.7
City,Lucknow,118,80.3,0,0,0,0,0,0,0,0,0,0,0,0,46,18.6,283,103.6,447,202.5
City,Ludhiana,781,213.2,0,0,0,0,0,0,0,0,0,0,0,0,389,164.2,1469,712.3,2639,1089.7
City,Madurai,211,28.3,895,245.8,0,0,0,0,0,0,0,0,0,0,0,0,709,112.5,1815,386.7
City,Meerut,130,74.4,0,0,0,0,0,0,0,0,0,0,0,0,26,2,202,226.9,358,303.3
City,Mumbai,19,1.3,0,0,1,0.1,0,0,0,0,0,0,0,0,21,0.9,389,60.8,430,63.1
City,Nagpur,129,3.2,474,123.6,0,0,0,0,0,0,0,0,0,0,3,0.2,112,12.2,718,139.2
City,Nasik,1956,1361.9,378,318.6,0,0,0,0,0,0,0,0,5,1.9,1302,780.6,8262,8219.6,11903,10682.5
City,Patna,374,48.2,0,0,0,0,0,0,0,0,0,0,0,0,165,50.8,2194,598.2,2733,697.2
City,Pune,169,22.7,0,0,0,0,0,0,0,0,0,0,2,1.5,80,19.8,585,243.9,836,287.9
City,Rajkot,962,92.3,0,0,0,0,0,0,0,0,0,0,0,0,24,5.7,16,96.4,1002,194.4
City,Surat,443,168.8,0,0,0,0,0,0,0,0,0,0,6,1.3,528,198.3,3345,1065.1,4322,1433.5
City,Vadodara,92,12.5,0,0,0,0,0,0,0,0,0,0,0,0,57,11.6,840,192.1,989,216.2
City,Varanasi,801,333.3,0,0,0,0,42,7.2,0,0,42,7.2,0,0,65,45.7,889,268.9,1797,655.1
City,Vijayawada,423,76.8,2,0.3,0,0,0,0,0,0,0,0,2,2,121,16.3,793,222.5,1341,317.9
City,Vishakhapatnam,52,12.8,170,18,0,0,0,0,0,0,0,0,0,0,0,0,82,7.8,304,38.6
City,VIJAYAWADA,989,158.6,0,0,4,0.3,0,0,0,0,0,0,2,0.5,174,16.5,555,89.9,1724,265.8
City,VISHAKHAPATNAM,133,61.8,0,0,0,0,0,0,0,0,0,0,2,4.5,35,15,817,105,987,186.3
